from_regime,CUSTOM,HIGH_VOL,NORMAL,RISK_OFF,WATCH
CUSTOM,0.9228346456692913,0.0,0.03700787401574803,0.007086614173228346,0.03307086614173228
HIGH_VOL,0.0,0.88,0.006666666666666667,0.02666666666666667,0.08666666666666667
NORMAL,0.04580896686159844,0.0,0.9083820662768031,0.0,0.04580896686159844
RISK_OFF,0.08333333333333333,0.0,0.0,0.9015151515151515,0.015151515151515152
WATCH,0.05269922879177378,0.02313624678663239,0.05784061696658098,0.0,0.8663239074550129
