start_date,trough_date,recovery_date,depth,duration_days,days_to_trough,avg_stock_weight,avg_prob_high_vol,avg_prob_down_risk,trough_regime
2021-11-17,2022-12-23,2023-11-16,-0.2707800696328547,502,277,0.5958648111332008,0.6177989556339597,0.488441115565375,EXTREME_RISK
2025-02-14,2025-04-04,2025-07-24,-0.12237997242008414,109,34,0.5707272727272729,0.5746481664207206,0.42368780193631145,EXTREME_RISK
2024-07-08,2024-09-04,2024-12-04,-0.1073759233475986,105,41,0.7554716981132074,0.42223672232374004,0.3955439834369297,HIGH_VOL
2015-07-16,2016-06-23,2016-08-10,-0.10598351334189948,270,237,0.621549815498155,0.6033009016706194,0.3973121565311527,NORMAL
2020-02-14,2020-03-16,2020-05-06,-0.10081786887732735,56,20,0.45894736842105266,0.8025417213934872,0.506359811912937,EXTREME_RISK
2025-10-27,2026-03-26,2026-04-20,-0.09297961186501669,119,103,0.6911666666666666,0.5387839775096259,0.5272986183188721,HIGH_VOL
2018-08-29,2018-12-20,2019-03-11,-0.08285279978120375,131,78,0.5071212121212122,0.6787998565044016,0.4053983580873624,EXTREME_RISK
2018-01-24,2018-04-23,2018-07-23,-0.08226455322575088,124,61,0.5891200000000003,0.6277967575451018,0.4471869310854367,RISK_OFF
2021-02-10,2021-03-04,2021-06-10,-0.06518018182006258,83,15,0.6107142857142858,0.5575838468264501,0.4381972235189502,RISK_OFF
2020-08-31,2020-10-28,2020-12-29,-0.06325135386946379,83,41,0.4521428571428572,0.7678340278016945,0.5660467126997465,RISK_OFF
