prob_col,actual_col,positive_value,prob_bin,count,actual_rate,avg_prob,avg_strategy_return_net,ann_return_est,avg_stock_weight,avg_turnover
prob_high_vol,actual_risk,고변동,"(-0.001, 0.1]",25,0.24,0.09574950443252485,-0.0016810613023552196,-0.3490016289377812,0.8103999999999999,0.0
prob_high_vol,actual_risk,고변동,"(0.1, 0.2]",536,0.17537313432835822,0.15142247950160836,0.0007519500040825459,0.20222330204150452,0.8005783582089553,0.0051119402985074615
prob_high_vol,actual_risk,고변동,"(0.2, 0.3]",570,0.21403508771929824,0.24648647164092455,0.0006793801586605894,0.18035139638029207,0.7823684210526317,0.009263157894736843
prob_high_vol,actual_risk,고변동,"(0.3, 0.4]",380,0.28421052631578947,0.3455184528118391,6.529676774617937e-07,-0.006511964546926929,0.7654736842105263,0.018368421052631576
prob_high_vol,actual_risk,고변동,"(0.4, 0.5]",368,0.35597826086956524,0.4453178200906958,0.0008533773001799972,0.22943839061096494,0.7661956521739129,0.02108695652173913
prob_high_vol,actual_risk,고변동,"(0.5, 0.6]",303,0.504950495049505,0.5525846114030558,0.0006203328042997862,0.15798930090997088,0.7193399339933992,0.04316831683168317
prob_high_vol,actual_risk,고변동,"(0.6, 0.7]",334,0.5508982035928144,0.6481133893339908,0.00011826246768859906,0.02069265172110657,0.6459880239520956,0.09065868263473054
prob_high_vol,actual_risk,고변동,"(0.7, 0.8]",300,0.6833333333333333,0.7479939746094533,0.0010733658081179451,0.3023821190127345,0.4728666666666667,0.05800000000000001
prob_high_vol,actual_risk,고변동,"(0.8, 0.9]",330,0.8363636363636363,0.8526609784149266,3.956389034331266e-05,0.004974030193585888,0.37163636363636365,0.030545454545454525
prob_high_vol,actual_risk,고변동,"(0.9, 1.0]",211,0.9289099526066351,0.9194225319880395,0.0006223198694812721,0.15930250384001687,0.30056872037914706,0.0022748815165876757
prob_overall_risk,actual_risk,고변동,"(-0.001, 0.1]",25,0.24,0.09574950443252485,-0.0016810613023552196,-0.3490016289377812,0.8103999999999999,0.0
