period,strategy_net,strategy_gross,stock_buy_hold,bond,cash,avg_stock_weight,turnover_sum,max_drawdown_inside_period
2013-01-31,-0.004559456455669575,-0.00428044592025012,-0.005534670441008749,-0.0009366537263009178,-0.00021868156512383496,0.917142857142857,0.28,-0.014812763245297789
2013-02-28,0.015460684895101995,0.01570375349438735,0.018050357562059194,0.009104459062661885,-9.992007221626409e-16,0.8536842105263157,0.24,-0.023163554235203776
2013-03-31,0.01870909204136617,0.018870176718491782,0.02245521413474494,0.00341120536145878,0.00021872939720868345,0.82,0.15999999999999992,-0.009240185849540228
2013-04-30,0.028885962747660532,0.028885962747660532,0.032445361647443605,0.017856464809547168,-4.440892098500626e-16,0.82,0.0,-0.03246465332431103
2013-05-31,0.015555888631944681,0.015555888631944681,0.024130211078662755,-0.03528804139609998,-6.661338147750939e-16,0.82,0.0,-0.01620348277568684
2013-06-30,-0.015117097214406239,-0.014960122354656158,-0.014151416970286101,-0.02361395946589473,-0.000218681565123946,0.8039999999999999,0.15999999999999992,-0.04409514855494434
2013-07-31,0.05450063478302347,0.0553454660992756,0.07290209575405204,-0.0046766748736701835,4.440892098500626e-16,0.8590909090909089,0.8,-0.01754472073401714
2013-08-31,-0.004889542212877518,-0.004889542212877518,-0.0033783259249845488,-0.022690771821277322,8.881784197001252e-16,0.8599999999999999,0.0,-0.021934722493653247
2013-09-30,0.038109468314007966,0.038109468314007966,0.04144467287264142,0.0271026509648149,6.661338147750939e-16,0.86,0.0,-0.0066213100694637594
2013-10-31,0.03585379855660631,0.03585379855660631,0.0411800702027163,0.004714966416096145,-0.00043673520945775035,0.8599999999999999,0.0,-0.02637409464100049
2013-11-30,0.02504440580120093,0.02504440580120093,0.02990502448389276,-0.007693897986511877,0.00021789423577267542,0.86,0.0,-0.015933699905063436
2013-12-31,0.013731335012519885,0.014137114260668326,0.017622672134953943,-0.015166861820877897,-0.0002178467682162344,0.8085714285714286,0.3999999999999999,-0.01328893410160703
2014-01-31,-0.011145403625562822,-0.010667959750695122,-0.019967212451723726,0.029681560098649307,-5.551115123125783e-16,0.7895238095238096,0.47999999999999976,-0.03627643000608605
2014-02-28,0.04500121697839643,0.04575454178292082,0.07392494839159025,-0.001606463100310318,-0.0002185147224429418,0.66,0.72,-0.006620304082064266
2014-03-31,-0.016559045288058294,-0.016124308113915187,-0.012834146450510953,-0.009225542205675064,-5.551115123125783e-16,0.7561904761904761,0.43999999999999995,-0.0334371099054106
2014-04-30,-0.015350815242888838,-0.01313492081067058,-0.021802776460693063,0.018483665407892147,-5.551115123125783e-16,0.620952380952381,2.24,-0.02728426569694642
2014-05-31,0.041031162965373014,0.04165689534856387,0.04217654432663975,0.004127615953472663,-0.0002185624815629339,0.9038095238095238,0.5999999999999999,-0.01357770705154604
2014-06-30,0.03747067488154476,0.03747067488154476,0.04579406997002122,0.00010290187153461083,0.00021861026156244634,0.82,0.0,-0.006975330778942634
2014-07-31,0.0033791306028756463,0.0033791306028756463,0.0023137327115163586,0.011665468851940197,-0.0002185624815624898,0.82,0.0,-0.02176541390463993
2014-08-31,0.026661456654277105,0.027563879052590945,0.04364244789174121,0.007238378161995795,0.0,0.7285714285714286,0.8799999999999999,-0.004652348925951122
2014-09-30,-0.012870660290173697,-0.012432886101050311,-0.020493924326355994,-0.00019167938428288345,0.0,0.7990476190476191,0.43999999999999995,-0.01768312498656821
2014-10-31,0.055338546487705864,0.05609490053135735,0.0426911676284949,0.009432699982226067,-0.00021871372122361787,0.6956521739130437,0.72,-0.03320916914037464
2014-11-30,0.032246516710116024,0.03294637271092937,0.038180550010104675,0.006382353137905916,-0.0002183476382080496,0.8673684210526316,0.6799999999999999,-0.00996856331597673
2014-12-31,-0.03394376855789494,-0.03317551806583674,-0.03251965932411027,0.019557249044323433,0.0,0.75,0.8,-0.04297282984683093
2015-01-31,0.01563776210949519,0.017050901304278332,0.015084248791829902,0.02146132858536909,0.0,0.6860000000000002,1.4000000000000004,-0.02480347340003397
2015-02-28,0.050547857191159506,0.050963779834023004,0.05740095505759668,-0.0246268184477183,-0.00021818831452591336,0.9347368421052632,0.3999999999999999,-0.008930264552088119
2015-03-31,-0.02149123667027797,-0.020707713274795925,-0.03222396703365571,0.020250164705726048,-0.00021896062342641187,0.7754545454545455,0.8,-0.02794138328952367
2015-04-30,0.029673252074614354,0.030449309714441597,0.03909754531765697,-0.0156636641128568,-6.661338147750939e-16,0.7304761904761904,0.76,-0.02356007965639806
2015-05-31,0.005450830294741582,0.005572030494117142,0.0076905916044878175,-0.008004130856459235,-4.440892098500626e-16,0.7880000000000001,0.12000000000000009,-0.009468875437445012
2015-06-30,-0.014303348911424263,-0.014303348911424263,-0.017005051635329727,-0.006710746342854401,-0.0002188014773710778,0.8000000000000003,0.0,-0.028701816467615493
2015-07-31,0.034162355168257275,0.0346648623213488,0.03186706346155477,0.014746881276933355,-0.00021853864348397867,0.963636363636364,0.48,-0.03235510723731627
2015-08-31,-0.02741362182535989,-0.025361752964736306,-0.06724154024165707,0.004689669932552043,0.0,0.701904761904762,2.12,-0.07723767111709834
2015-09-30,0.010466869982515892,0.010466869982515892,0.0034944650106409902,0.019692660435226106,0.0,0.30000000000000004,0.0,-0.016219529752769857
2015-10-31,0.06160851434014947,0.06265399419231965,0.10575883801480979,-0.017337388246663976,-0.00021920798580099543,0.5045454545454547,1.0,-0.005382778015438849
2015-11-30,-0.0025393949928055326,-0.0018204981324437819,-0.004869014247744552,0.0037202277171726195,-0.0002186343394561252,0.59,0.72,-0.02842908672596889
2015-12-31,-0.02650965204164224,-0.02495572631708587,-0.04199365242613429,-0.0030572126558432444,0.00021868215088161058,0.588181818181818,1.6,-0.032354735430810355
2016-01-31,-0.021515375819734617,-0.02013512050709121,-0.06550176408671549,0.034145717950990306,-0.000437579533421939,0.4189473684210526,1.4000000000000001,-0.028041136384776122
2016-02-29,0.00868444921348166,0.009410057386959103,0.03602567421755998,0.0004151115766533042,0.00021904104184211626,0.366,0.7199999999999994,-0.01887096776905295
2016-03-31,0.03866405269618434,0.04028380641314544,0.04191752787738401,0.009858595685740879,0.00021868215088205467,0.7827272727272728,1.56,-0.009009872603655489
2016-04-30,-0.029531778701514355,-0.029298236376981368,-0.03829371577566387,0.0005572109108706869,0.0004378903879325158,0.7571428571428572,0.2400000000000002,-0.0378940231524193
2016-05-31,0.04517197017108465,0.04558981464845746,0.0458715113152226,-0.0012386898630143417,-0.0002185386434842007,0.96,0.3999999999999999,-0.018309633137047476
2016-06-30,-0.02499777065334896,-0.024607192051382176,-0.025989349308383147,0.03639980324619341,0.0004374836124934056,0.9872727272727274,0.3999999999999999,-0.07213218882134742
2016-07-31,0.05854326751493977,0.05926401521070468,0.07019197703662616,-0.01145830535594039,-7.771561172376096e-16,0.9039999999999999,0.6799999999999999,-0.006740632236642008
2016-08-31,0.01568631303347634,0.01568631303347634,0.018789086948768796,-0.005301907656184768,0.00021900857768009097,0.8599999999999999,0.0,-0.009421565370711482
2016-09-30,0.006350931772023394,0.0068734984579341685,0.013204801936339106,-0.0035072075426880733,-4.440892098500626e-16,0.6876190476190475,0.52,-0.02742058969064254
2016-10-31,-0.021553806161526357,-0.020967597584217734,-0.026949183431490553,-0.005096303465752627,0.00021823593105474437,0.7780952380952381,0.5999999999999999,-0.027529018933320937
2016-11-30,-0.011368191312144948,-0.010300027445911186,0.004514487319196903,-0.04454716515566726,-0.00019634878209429107,0.8,1.08,-0.029174041770726467
2016-12-31,0.0428488008680179,0.04314167741991737,0.04187919410159968,-0.0011742111768632268,0.00041544670821891394,0.9390476190476188,0.28,-0.015807590316646913
2017-01-31,0.036647783494862196,0.036647783494862196,0.04268236639395151,-1.1402966725970742e-05,6.581469747724e-05,0.86,0.0,-0.008115157672264228
2017-02-28,0.03729226972318078,0.03729226972318078,0.04356847831194699,-0.0011120734359429951,4.3459675784340845e-05,0.86,0.0,-0.004579092760154002
2017-03-31,0.012711174612637155,0.012953883414173806,0.015335870958493647,0.014258142947821906,0.0003068947538278355,0.8182608695652173,0.24,-0.012734968500392019
2017-04-30,0.028036853932358774,0.02836544179907441,0.03712932867248808,0.0074669169752799025,0.00037165696217567046,0.7610526315789474,0.31999999999999984,-0.008693703619526372
2017-05-31,0.038874568586056535,0.03912392864347036,0.043876944114213945,0.012258226059521649,0.0005907284686030856,0.8545454545454544,0.24,-0.021127842175984513
2017-06-30,-0.032447022603180775,-0.031594326153120966,-0.03872402169233158,-0.011820114577461127,0.0007655405084905365,0.6799999999999998,0.8800000000000001,-0.03694530692183862
