trial_id,horizon,ret_eps_k,strength_eps,strength_method,feature_set,model_type,train_filter,eval_filter,min_train_rows,retrain_every_n_days,max_train_rows,drop_sideways_train,fold_count,skipped_folds,avg_train_rows,feature_count,eval_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss,class_counts_json,UP_STRENGTHENING_base_rate,UP_STRENGTHENING_count,UP_STRENGTHENING_roc_auc,UP_STRENGTHENING_pr_auc,UP_STRENGTHENING_pr_lift,UP_WEAKENING_base_rate,UP_WEAKENING_count,UP_WEAKENING_roc_auc,UP_WEAKENING_pr_auc,UP_WEAKENING_pr_lift,DOWN_STRENGTHENING_base_rate,DOWN_STRENGTHENING_count,DOWN_STRENGTHENING_roc_auc,DOWN_STRENGTHENING_pr_auc,DOWN_STRENGTHENING_pr_lift,DOWN_WEAKENING_base_rate,DOWN_WEAKENING_count,DOWN_WEAKENING_roc_auc,DOWN_WEAKENING_pr_auc,DOWN_WEAKENING_pr_lift,SIDEWAYS_base_rate,SIDEWAYS_count,SIDEWAYS_roc_auc,SIDEWAYS_pr_auc,SIDEWAYS_pr_lift,macro_ovr_roc_auc,macro_ovr_pr_lift,UP_STRENGTHENING_precision,UP_STRENGTHENING_recall,UP_STRENGTHENING_f1,UP_STRENGTHENING_support,UP_WEAKENING_precision,UP_WEAKENING_recall,UP_WEAKENING_f1,UP_WEAKENING_support,DOWN_STRENGTHENING_precision,DOWN_STRENGTHENING_recall,DOWN_STRENGTHENING_f1,DOWN_STRENGTHENING_support,DOWN_WEAKENING_precision,DOWN_WEAKENING_recall,DOWN_WEAKENING_f1,DOWN_WEAKENING_support,SIDEWAYS_precision,SIDEWAYS_recall,SIDEWAYS_f1,SIDEWAYS_support,score,error
ds0001,20,0.2,0.0,score_delta,strength_core,xgb,all,all,756,20,1260,False,131,0,1205.5877862595419,24,2599,0.357829934590227,0.3142191823285014,0.2978148617209994,0.3692552016350538,1.4393119619712638,"{""UP_STRENGTHENING"": 569, ""UP_WEAKENING"": 1038, ""DOWN_STRENGTHENING"": 465, ""DOWN_WEAKENING"": 194, ""SIDEWAYS"": 333}",0.21893035782993459,569.0,0.8359978183140417,0.5467340519410493,0.3278036941111147,0.3993843786071566,1038.0,0.7519696750884701,0.6307811047696696,0.23139672616251306,0.1789149672951135,465.0,0.5206573550604147,0.17686524260953573,-0.002049724685577764,0.07464409388226241,194.0,0.6366418758171335,0.10725868761624952,0.032614593733987104,0.1281262023855329,333.0,0.5386142983230362,0.14347378297567762,0.01534758059014471,0.6567762045206192,0.12102257398243639,0.48671328671328673,0.6115992970123023,0.5420560747663551,569.0,0.6032689450222882,0.3911368015414258,0.4745762711864407,1038.0,0.1680327868852459,0.17634408602150536,0.1720881427072403,465.0,0.10874200426439233,0.26288659793814434,0.15384615384615385,194.0,0.16929133858267717,0.12912912912912913,0.1465076660988075,333.0,1.2966945086555632,
ds0002,20,0.2,0.0,score_delta,strength_core,xgb,bull_trend,all,756,20,1260,False,131,0,743.2824427480916,24,2599,0.357829934590227,0.3208410395925259,0.2971516253448657,0.3598365131123367,1.5029094148348623,"{""UP_STRENGTHENING"": 569, ""UP_WEAKENING"": 1038, ""DOWN_STRENGTHENING"": 465, ""DOWN_WEAKENING"": 194, ""SIDEWAYS"": 333}",0.21893035782993459,569.0,0.8367761261222264,0.5063777746761893,0.2874474168462547,0.3993843786071566,1038.0,0.7137969213450692,0.5921166376709186,0.192732259063762,0.1789149672951135,465.0,0.4802591931956748,0.1762381274266464,-0.00267683986846709,0.07464409388226241,194.0,0.5263679619349722,0.0877808357388917,0.013136741856629289,0.1281262023855329,333.0,0.5147161724831628,0.1425259251791386,0.014399722793605685,0.6143832750162211,0.10100786013835691,0.5140758873929009,0.7381370826010545,0.6060606060606061,569.0,0.599271402550091,0.31695568400770713,0.41461877756773785,1038.0,0.1637239165329053,0.21935483870967742,0.1875,465.0,0.10361445783132531,0.22164948453608246,0.1412151067323481,194.0,0.18461538461538463,0.10810810810810811,0.13636363636363635,333.0,1.2076459143309393,
ds0003,20,0.2,0.0,score_delta,strength_core,xgb,bear_stress,all,756,20,1260,False,42,89,342.8333333333333,24,819,0.31868131868131866,0.3126167620782171,0.2477806536328429,0.28538924728819887,1.8710043250299073,"{""UP_STRENGTHENING"": 181, ""UP_WEAKENING"": 321, ""DOWN_STRENGTHENING"": 154, ""DOWN_WEAKENING"": 55, ""SIDEWAYS"": 108}",0.221001221001221,181.0,0.6733576958381683,0.5203440308236791,0.2993428098224581,0.39194139194139194,321.0,0.5231705638754395,0.45938265033452386,0.06744125839313192,0.18803418803418803,154.0,0.5652768284347232,0.1990971237369572,0.011062935702769172,0.06715506715506715,55.0,0.6669681104236078,0.15348484189933767,0.08632977474427052,0.13186813186813187,108.0,0.5849351461165806,0.1510912169873183,0.01922308511918644,0.602741668937704,0.09667997275636322,0.7424242424242424,0.27071823204419887,0.3967611336032389,181.0,0.5575221238938053,0.19626168224299065,0.2903225806451613,321.0,0.24731182795698925,0.8961038961038961,0.38764044943820225,154.0,0.13924050632911392,0.2,0.16417910447761194,55.0,0.0,0.0,0.0,108.0,1.1149561133253587,
ds0004,20,0.2,0.0,score_delta,strength_core,xgb,recovery,all,756,20,1260,False,0,131,0.0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,insufficient_eval_rows_or_classes
ds0005,20,0.2,0.0,score_delta,strength_core,xgb,high_vol,all,756,20,1260,False,111,20,392.8378378378378,24,2199,0.3956343792633015,0.2959667481176004,0.2919596711496276,0.37944650569879623,1.4523134394350365,"{""UP_STRENGTHENING"": 472, ""UP_WEAKENING"": 861, ""DOWN_STRENGTHENING"": 413, ""DOWN_WEAKENING"": 171, ""SIDEWAYS"": 282}",0.2146430195543429,472.0,0.8067924194988862,0.5107407295705771,0.29609771001623425,0.39154160982264663,861.0,0.6750120223815946,0.5272781363685478,0.13573652654590118,0.18781264211005003,413.0,0.5349354272807876,0.18931431412028407,0.0015016720102340453,0.07776261937244201,171.0,0.6625402263054085,0.15231660525554083,0.07455398588309882,0.12824010914051842,282.0,0.5248467426571513,0.1458940762248787,0.01765396708436029,0.6408253676247657,0.10510877230796571,0.5284280936454849,0.3347457627118644,0.4098573281452659,472.0,0.5268518518518519,0.6608594657375145,0.5862957238536837,861.0,0.18613861386138614,0.22760290556900725,0.2047930283224401,413.0,0.1782178217821782,0.21052631578947367,0.19302949061662197,171.0,0.11504424778761062,0.04609929078014184,0.06582278481012659,282.0,1.2273778835058125,
ds0006,20,0.2,0.0,score_delta,strength_core,xgb,major_only,all,756,20,1260,False,131,0,1119.2519083969466,24,2599,0.3636013851481339,0.32873688846670673,0.30885471676589293,0.3775936201747588,1.4461828209799579,"{""UP_STRENGTHENING"": 569, ""UP_WEAKENING"": 1038, ""DOWN_STRENGTHENING"": 465, ""DOWN_WEAKENING"": 194, ""SIDEWAYS"": 333}",0.21893035782993459,569.0,0.83927987048404,0.5375539006685907,0.31862354283865607,0.3993843786071566,1038.0,0.752161921301868,0.6272600902730063,0.22787571166584975,0.1789149672951135,465.0,0.5146158962421017,0.1754204087122647,-0.0034945585828488057,0.07464409388226241,194.0,0.6454958527123474,0.1122003115184377,0.037556217636175296,0.1281262023855329,333.0,0.533911669834,0.14141936300012506,0.013293160614592153,0.6570930421148714,0.1187708148344849,0.5126676602086438,0.6045694200351494,0.5548387096774193,569.0,0.6180981595092024,0.3882466281310212,0.47692307692307695,1038.0,0.1834319526627219,0.2,0.19135802469135801,465.0,0.12650602409638553,0.3247422680412371,0.18208092485549132,194.0,0.15498154981549817,0.12612612612612611,0.1390728476821192,333.0,1.3044540519688896,
ds0007,20,0.2,0.0,score_delta,compact_mixed,xgb,all,all,756,20,1260,False,131,0,1205.5877862595419,27,2599,0.367064255482878,0.32474320987328703,0.3065897167120442,0.37728317197510197,1.4250675335164156,"{""UP_STRENGTHENING"": 569, ""UP_WEAKENING"": 1038, ""DOWN_STRENGTHENING"": 465, ""DOWN_WEAKENING"": 194, ""SIDEWAYS"": 333}",0.21893035782993459,569.0,0.8447756413031245,0.5716301336950365,0.35269977586510187,0.3993843786071566,1038.0,0.7490912277713387,0.6215573070926629,0.2221729284855063,0.1789149672951135,465.0,0.5509558504902702,0.1908742404715318,0.011959273176418289,0.07464409388226241,194.0,0.6542040851319202,0.11158432234169037,0.03694022845942796,0.1281262023855329,333.0,0.5407817349564923,0.1474968778347833,0.01937067544925039,0.6679617079306291,0.12862857628714094,0.49164345403899723,0.6203866432337434,0.5485625485625486,569.0,0.6094224924012158,0.38631984585741813,0.47287735849056606,1038.0,0.20475319926873858,0.24086021505376345,0.22134387351778656,465.0,0.11206896551724138,0.26804123711340205,0.1580547112462006,194.0,0.16981132075471697,0.10810810810810811,0.13211009174311927,333.0,1.4056399587374557,
ds0008,20,0.2,0.0,score_delta,compact_mixed,xgb,bull_trend,all,756,20,1260,False,131,0,743.2824427480916,27,2599,0.36821854559445943,0.3246911661002826,0.3018790879451258,0.3677814099401636,1.4971618606737644,"{""UP_STRENGTHENING"": 569, ""UP_WEAKENING"": 1038, ""DOWN_STRENGTHENING"": 465, ""DOWN_WEAKENING"": 194, ""SIDEWAYS"": 333}",0.21893035782993459,569.0,0.8397573307245448,0.5063420805155836,0.287411722685649,0.3993843786071566,1038.0,0.6968255614021445,0.5747601803064093,0.1753758016992527,0.1789149672951135,465.0,0.49251191663895355,0.18127633791463416,0.0023613706195206585,0.07464409388226241,194.0,0.5147469833036843,0.08647682274042981,0.011832728858167399,0.1281262023855329,333.0,0.5203683383295035,0.14593953789121228,0.017813335505679373,0.6128420260797661,0.09895899187365383,0.5164433617539586,0.7451669595782073,0.6100719424460431,569.0,0.5792988313856428,0.33429672447013487,0.4239462431276726,1038.0,0.19652173913043477,0.24301075268817204,0.2173076923076923,465.0,0.09921671018276762,0.1958762886597938,0.1317157712305026,194.0,0.1583710407239819,0.10510510510510511,0.1263537906137184,333.0,1.23907021999011,
ds0009,20,0.2,0.0,score_delta,compact_mixed,xgb,bear_stress,all,756,20,1260,False,42,89,342.8333333333333,27,819,0.3052503052503053,0.3020790262903135,0.22748254713764532,0.26141466039188854,1.8018255697635948,"{""UP_STRENGTHENING"": 181, ""UP_WEAKENING"": 321, ""DOWN_STRENGTHENING"": 154, ""DOWN_WEAKENING"": 55, ""SIDEWAYS"": 108}",0.221001221001221,181.0,0.6567398119122257,0.4352819889438933,0.2142807679426723,0.39194139194139194,321.0,0.5927667054510878,0.48450753412898867,0.09256614218759673,0.18803418803418803,154.0,0.6256469094814959,0.2586474442940085,0.07061325625982046,0.06715506715506715,55.0,0.6566277962874821,0.17517279069727898,0.10801772354221183,0.13186813186813187,108.0,0.5743019742668126,0.14844823963585208,0.016580107767720204,0.6212166394798209,0.10041159954000431,0.56,0.23204419889502761,0.328125,181.0,0.5544554455445545,0.17445482866043613,0.26540284360189575,321.0,0.25539568345323743,0.922077922077922,0.4,154.0,0.11904761904761904,0.18181818181818182,0.14388489208633093,55.0,0.0,0.0,0.0,108.0,1.1149151890430296,
ds0010,20,0.2,0.0,score_delta,compact_mixed,xgb,recovery,all,756,20,1260,False,0,131,0.0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,insufficient_eval_rows_or_classes
