prob_col,bin,count,avg_prob,actual_rate,ann_return_est,avg_stock_weight
prob_high_vol,"(-0.001, 0.1]",317,0.06874812923551198,0.06624605678233439,0.3041925430200052,0.894944486733486
prob_high_vol,"(0.1, 0.2]",254,0.14345879512595267,0.16141732283464566,0.5479006483647328,0.8841495837533385
prob_high_vol,"(0.2, 0.3]",423,0.25491547971612954,0.23404255319148937,0.17362258198785563,0.8362796108686759
prob_high_vol,"(0.3, 0.4]",658,0.3495089084255108,0.20364741641337386,0.8122524844204648,0.8503432318694525
prob_high_vol,"(0.4, 0.5]",575,0.4452121742118386,0.23304347826086957,0.8212279605977335,0.8443537976798831
prob_high_vol,"(0.5, 0.6]",434,0.5520073167753905,0.3456221198156682,0.3012898210101127,0.7354046829978228
prob_high_vol,"(0.6, 0.7]",316,0.6492927679850957,0.17405063291139242,0.47680324502392724,0.5691986862411311
prob_high_vol,"(0.7, 0.8]",341,0.7466112812356128,0.31378299120234604,0.7635375059118872,0.4549466736815073
prob_high_vol,"(0.8, 0.9]",32,0.8371661333122908,0.6875,1.8119269431701475,0.2531322462756375
prob_high_vol,"(0.9, 1.0]",7,0.9055119995575573,1.0,0.4724775614944603,0.12970890103498361
