feature,importance
atr_pct_60,0.04754595367435729
ma200_slope_60,0.04637748040918228
vol_rank_60_252,0.04608000088297655
realized_vol_60,0.0449405938152026
ma_gap_50_200,0.04320982346657367
atr_rank_252,0.042408900871147626
drawdown_120,0.04096412681356336
atr_pct_10,0.03810641751212554
price_ma_120_gap,0.037481378990563405
ma_gap_60_120,0.03630990325215693
positive_return_ratio_60,0.03590745943551059
return_120d,0.034237465666672955
vol_rank_20_252,0.03354476375785549
downside_vol_20,0.033426930781750554
downside_vol_60,0.03342445587687322
atr_pct_14,0.028473825376291256
close_to_120d_high,0.028456690366816733
ma_gap_20_60,0.02784387372533041
return_60d_over_vol60,0.02742568181366124
down_volume_ratio_20,0.02505113422639866
drawdown_60,0.02466202561075972
return_60d,0.02088894759638614
realized_vol_20,0.02005506647684801
price_position_120,0.019680632278323174
close_to_60d_high,0.019437810307187317
return_20d_over_hvol,0.018104531938226615
price_ma_20_gap,0.016457074803951303
high_volume_down_ratio_20,0.016384142579766305
drawdown_60_over_vol60,0.01525760255654191
return_20d,0.01385416957428442
true_range_pct,0.013081275598368549
positive_return_ratio_20,0.012569045812814636
return_10d,0.011368448462798796
atr_pct_20,0.008817728475947757
volume_ratio_20,0.007523384266399029
price_ma_60_gap,0.006268640739052037
volume_zscore_20,0.006118092737449086
trend_slope_60,0.004829664772326967
price_position_20,0.004049591678895254
price_position_60,0.0038872569128747337
trend_slope_20,0.002275319374372474
drawdown_20,0.001769491281788961
return_5d,0.0010542257686879124
close_to_20d_high,0.00038897373870147014
