start_date,trough_date,recovery_date,depth,duration_days,days_to_trough,avg_stock_weight,avg_prob_high_vol,avg_risk_score,trough_regime
2021-11-26,2022-10-12,2023-05-15,-0.5130721119094344,535,320,0.5838868969128165,0.4667536161960078,0.5346512288088776,NORMAL
2018-09-28,2019-08-13,2020-02-07,-0.37660799972147896,497,319,0.6323527149523396,0.5098028457163098,0.5391039300486928,NORMAL
2024-06-17,2025-04-02,2025-07-11,-0.3122699017018734,389,289,0.7227524878711455,0.4016364522182914,0.44703036031054433,HIGH_VOL
2020-02-18,2020-03-10,2020-06-08,-0.265021906558653,111,21,0.6080395281548154,0.6221449118005822,0.5769385149763894,WATCH
2015-12-03,2016-02-04,2016-04-11,-0.2189118481346468,130,63,0.8068125758097705,0.4192091473613304,0.41167352648596794,NORMAL
2021-02-12,2021-03-04,2021-05-28,-0.21520120132095,105,20,0.7852616425122553,0.3361293280116017,0.4056371321103052,WATCH
2015-03-19,2015-07-07,2015-10-12,-0.17677070005190143,207,110,0.7158072218041059,0.3608651215379038,0.3990820587890862,HIGH_VOL
2025-10-28,2026-03-26,2026-04-23,-0.1620694330078598,177,149,0.7225984047753344,0.4457277160304777,0.4925288953936376,WATCH
2024-03-22,2024-04-17,2024-05-21,-0.15987353369613921,60,26,0.7806278551210898,0.3755111777031462,0.37517982227884716,CUSTOM_UP
2023-08-30,2023-10-18,2023-12-14,-0.1515808105403682,106,49,0.8277893934432647,0.3889421679969999,0.42538430447433573,WATCH
