Date,Open,High,Low,Close,Volume
2013-01-02,0.28939042057386244,0.29330731977295416,0.2882383897819778,0.29307690262794495,478836000
2013-01-03,0.29307697658613624,0.2965330698339379,0.2898513005414898,0.2933073937892914,298888000
2013-01-04,0.2937681132980561,0.3039060002876661,0.29284649969290033,0.3029843866825104,524968000
2013-01-07,0.30275389926339846,0.303675512654601,0.29215520793170435,0.29422885179519653,610732000
2013-01-08,0.29492011411387425,0.29584175509209554,0.2857038691311209,0.28777751326560974,466424000
2013-01-09,0.2900815526999854,0.29146400033008246,0.27948288824668155,0.2813261151313782,695020000
2013-01-10,0.2838606524578486,0.28524310037606526,0.280174142986991,0.2817870080471039,506368000
2013-01-11,0.28293897985534955,0.28316936948264937,0.27856124733775867,0.2813261151313782,513172000
2013-01-14,0.2831693272439342,0.2831693272439342,0.27786998207446734,0.2810956835746765,305684000
2013-01-15,0.27971338489367387,0.27971338489367387,0.2744140369061785,0.2760268747806549,375888000
2013-01-16,0.2755659792068734,0.2808653254890552,0.2755659792068734,0.2785612642765045,337376000
2013-01-17,0.27948285468727224,0.2833997525467858,0.27879163095522363,0.28224772214889526,580736000
2013-01-18,0.28224779250559584,0.28224779250559584,0.27694844586100203,0.28040453791618347,397088000
2013-01-22,0.2801740684527885,0.282708546473083,0.277639617899067,0.2790220379829407,308224000
2013-01-23,0.2799437376901644,0.2801741273526241,0.276487645554061,0.2794829308986664,421808000
2013-01-24,0.2785613096395032,0.282017402021145,0.2771788617002142,0.2808653712272644,396980000
2013-01-25,0.28132603177520316,0.286164569580322,0.2799436120212881,0.285934180021286,393920000
2013-01-28,0.2873167508062252,0.2923857083014964,0.2866255268326354,0.29054245352745056,422492000
2013-01-29,0.28939047516603555,0.29008167179829286,0.2831694857430331,0.28432151675224304,388872000
2013-01-30,0.2845519373506108,0.2884688373355452,0.2829390994117068,0.2838607132434845,287592000
2013-01-31,0.28386078106408136,0.28708648517916735,0.2806351044155881,0.28247833251953125,470544000
2013-02-01,0.2847820963945303,0.2859341539509357,0.2824780362148472,0.28501251339912415,288816000
