period,strategy_net,strategy_gross,stock_buy_hold,bond,cash,avg_stock_weight,turnover_sum,max_drawdown_inside_period
2013-12-31,0.19424851812940291,0.19806471367026623,0.25855595211453,-0.048573955744888986,-0.0006548048059540346,0.8110317460317461,3.1999999999999997,-0.043187146078167093
2014-12-31,0.07043236281075704,0.07617959302125277,0.08555848613752692,0.0992714452018475,-0.0008737485560742497,0.8233333333333334,5.359999999999999,-0.059317694061334914
2015-12-31,-0.02392106062174204,-0.014878316088971721,0.0030867260036990807,0.007801109848240451,-0.0010932184539684808,0.807063492063492,9.239999999999998,-0.1349402141240631
2016-12-31,0.12893068288131038,0.1375950911266901,0.1911853113297699,0.006686184969813658,0.001314085364152895,0.7142857142857144,7.64,-0.03676649101111995
2017-12-31,0.2170660940758391,0.2195954150005608,0.2783560929863791,0.022514890376748697,0.006780772310163163,0.7592828685258964,2.0799999999999996,-0.017299347889279892
2018-12-31,-0.042289339782179414,-0.03053321716605073,-0.07007527142906667,0.022378116531537096,0.017261952300061445,0.6722709163346614,12.16,-0.11443435362464949
2019-12-31,0.22208894023877956,0.23188078403242618,0.2915036111373981,0.08164705544221262,0.020430598499398656,0.7822222222222225,8.0,-0.046913282336052964
2020-12-31,0.05954707241333024,0.06855639511312828,0.08427525380737011,0.08546422854062219,0.0035472221974695017,0.5460869565217391,8.44,-0.14172138061682094
2021-12-31,0.1394113977776057,0.14447291853745003,0.2312404005963702,-0.040778116001742526,-0.000874198840178364,0.7365873015873016,4.44,-0.051580390703371726
2022-12-31,-0.12399251547763235,-0.11238102751081214,-0.07824484535828646,-0.12980236217149743,0.01404524174773747,0.6368127490039841,13.16,-0.18479740701398595
2023-12-31,0.13744079594749103,0.14056565809902333,0.1477414715368519,0.019191278814677748,0.04990807683175924,0.8596800000000001,2.76,-0.077706429049203
2024-12-31,0.11118053414742057,0.11620059290256024,0.16092121443968743,-0.006076484663051329,0.05181548140254799,0.778968253968254,4.52,-0.048954209038087226
2025-12-31,0.1299374144643488,0.13858424856016405,0.16447606459003583,0.08385139936470987,0.041585100365572725,0.7612000000000001,7.64,-0.13106102492057792
2026-12-31,0.024190664925290983,0.02588219370040168,0.01924353721326444,-0.005333643136359534,0.012215733166663911,0.8165517241379308,1.64,-0.07684291552541855
