,pred_UP_STRENGTHENING,pred_UP_WEAKENING,pred_DOWN_STRENGTHENING,pred_DOWN_WEAKENING,pred_SIDEWAYS
true_UP_STRENGTHENING,44,2,44,28,0
true_UP_WEAKENING,0,0,7,0,0
true_DOWN_STRENGTHENING,0,3,27,1,0
true_DOWN_WEAKENING,1,0,6,4,0
true_SIDEWAYS,1,1,8,9,0
