trial_id,horizon,ret_eps_k,strength_eps,strength_method,feature_set,model_type,train_filter,eval_filter,min_train_rows,retrain_every_n_days,max_train_rows,drop_sideways_train,fold_count,skipped_folds,avg_train_rows,feature_count,eval_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,log_loss,class_counts_json,UP_STRENGTHENING_base_rate,UP_STRENGTHENING_count,UP_STRENGTHENING_roc_auc,UP_STRENGTHENING_pr_auc,UP_STRENGTHENING_pr_lift,UP_WEAKENING_base_rate,UP_WEAKENING_count,UP_WEAKENING_roc_auc,UP_WEAKENING_pr_auc,UP_WEAKENING_pr_lift,DOWN_STRENGTHENING_base_rate,DOWN_STRENGTHENING_count,DOWN_STRENGTHENING_roc_auc,DOWN_STRENGTHENING_pr_auc,DOWN_STRENGTHENING_pr_lift,DOWN_WEAKENING_base_rate,DOWN_WEAKENING_count,DOWN_WEAKENING_roc_auc,DOWN_WEAKENING_pr_auc,DOWN_WEAKENING_pr_lift,SIDEWAYS_base_rate,SIDEWAYS_count,SIDEWAYS_roc_auc,SIDEWAYS_pr_auc,SIDEWAYS_pr_lift,macro_ovr_roc_auc,macro_ovr_pr_lift,UP_STRENGTHENING_precision,UP_STRENGTHENING_recall,UP_STRENGTHENING_f1,UP_STRENGTHENING_support,UP_WEAKENING_precision,UP_WEAKENING_recall,UP_WEAKENING_f1,UP_WEAKENING_support,DOWN_STRENGTHENING_precision,DOWN_STRENGTHENING_recall,DOWN_STRENGTHENING_f1,DOWN_STRENGTHENING_support,DOWN_WEAKENING_precision,DOWN_WEAKENING_recall,DOWN_WEAKENING_f1,DOWN_WEAKENING_support,SIDEWAYS_precision,SIDEWAYS_recall,SIDEWAYS_f1,SIDEWAYS_support,score,error
ds0017,20,0.2,0.0,hybrid_delta,compact_mixed,xgb,bear_stress,bear_stress,756,20,1260,False,42,89,342.8333333333333,27,186,0.4032258064516129,0.3214970923008102,0.22531063046479521,0.4225118635848562,1.379518572673231,"{""UP_STRENGTHENING"": 118, ""UP_WEAKENING"": 7, ""DOWN_STRENGTHENING"": 31, ""DOWN_WEAKENING"": 11, ""SIDEWAYS"": 19}",0.6344086021505376,118.0,0.7542372881355931,0.8785026407275658,0.24409403857702816,0.03763440860215054,7.0,0.6919393455706304,0.06560372155489513,0.027969312952744595,0.16666666666666666,31.0,0.7979188345473465,0.3764604135117622,0.20979374684509552,0.05913978494623656,11.0,0.6425974025974027,0.09451424042834854,0.035374455482111974,0.10215053763440861,19.0,0.5001575795776867,0.10135304961136565,-0.0007974880230429554,0.6773700900857319,0.10328681316678745,0.9565217391304348,0.3728813559322034,0.5365853658536586,118.0,0.0,0.0,0.0,7.0,0.29347826086956524,0.8709677419354839,0.43902439024390244,31.0,0.09523809523809523,0.36363636363636365,0.1509433962264151,11.0,0.0,0.0,0.0,19.0,1.6357187995980846,
ds0012,20,0.2,0.0,hybrid_delta,strength_core,xgb,bear_stress,bear_stress,756,20,1260,False,42,89,342.8333333333333,24,186,0.4032258064516129,0.3991749092897262,0.24919035108669693,0.4079714220410847,1.3878127619153273,"{""UP_STRENGTHENING"": 118, ""UP_WEAKENING"": 7, ""DOWN_STRENGTHENING"": 31, ""DOWN_WEAKENING"": 11, ""SIDEWAYS"": 19}",0.6344086021505376,118.0,0.7260717846460618,0.8492506831029447,0.2148420809524071,0.03763440860215054,7.0,0.4980047885075818,0.04940806640110085,0.011773657798950309,0.16666666666666666,31.0,0.7065556711758585,0.27454977256768076,0.1078831059010141,0.05913978494623656,11.0,0.7605194805194805,0.1442686469452969,0.08512886199906033,0.10215053763440861,19.0,0.5880869839268831,0.11955420906057004,0.017403671426161435,0.6558477417551731,0.08740627561551866,1.0,0.3389830508474576,0.5063291139240507,118.0,0.0,0.0,0.0,7.0,0.26262626262626265,0.8387096774193549,0.4,31.0,0.21428571428571427,0.8181818181818182,0.33962264150943394,11.0,0.0,0.0,0.0,19.0,1.4228910386150255,
ds0010,20,0.2,0.0,score_delta,compact_mixed,xgb,major_only,major_only,756,20,1260,False,131,0,1119.2519083969466,27,2367,0.35952682720743556,0.329562181519523,0.30977574047491085,0.37651353065943305,1.4454574860085436,"{""UP_STRENGTHENING"": 440, ""UP_WEAKENING"": 1013, ""DOWN_STRENGTHENING"": 420, ""DOWN_WEAKENING"": 189, ""SIDEWAYS"": 305}",0.18588931136459655,440.0,0.8530163466528282,0.535360186071587,0.34947087470699045,0.42796789184621886,1013.0,0.73604004660244,0.6311652475332126,0.2031973556869937,0.17743979721166034,420.0,0.5238596619952552,0.1782037823550967,0.0007639851434363687,0.07984790874524715,189.0,0.6458597519203579,0.11499698291217217,0.03514907416692502,0.12885509083227714,305.0,0.5440881843189009,0.1467859127597732,0.017930821927496066,0.6605727982979565,0.12130242232636831,0.47686832740213525,0.6090909090909091,0.5349301397205589,440.0,0.6481481481481481,0.3800592300098717,0.4791537025513379,1013.0,0.2054263565891473,0.2523809523809524,0.2264957264957265,420.0,0.11403508771929824,0.2751322751322751,0.16124031007751938,189.0,0.16736401673640167,0.13114754098360656,0.14705882352941177,305.0,1.3721285439935078,
ds0005,20,0.2,0.0,score_delta,strength_core,xgb,major_only,major_only,756,20,1260,False,131,0,1119.2519083969466,24,2367,0.3523447401774398,0.32239013185164045,0.30085961659032445,0.3694243930369115,1.4566594024799027,"{""UP_STRENGTHENING"": 440, ""UP_WEAKENING"": 1013, ""DOWN_STRENGTHENING"": 420, ""DOWN_WEAKENING"": 189, ""SIDEWAYS"": 305}",0.18588931136459655,440.0,0.8450040100014152,0.5041024921947733,0.3182131808301768,0.42796789184621886,1013.0,0.7438378625869604,0.6415401131880505,0.21357222134183163,0.17743979721166034,420.0,0.5042391224594615,0.16992492550030902,-0.0075148717113513175,0.07984790874524715,189.0,0.6354502213088072,0.11393097288202612,0.03408306413677897,0.12885509083227714,305.0,0.5335453403507657,0.1412687333611279,0.012413642528850771,0.6524153113414821,0.11415344742525738,0.47574626865671643,0.5795454545454546,0.5225409836065574,440.0,0.634493670886076,0.39585389930898324,0.48753799392097263,1013.0,0.17467248908296942,0.19047619047619047,0.18223234624145787,420.0,0.12550607287449392,0.328042328042328,0.1815519765739385,189.0,0.145748987854251,0.1180327868852459,0.13043478260869565,305.0,1.276967024827138,
ds0001,20,0.2,0.0,score_delta,strength_core,xgb,bull_trend,bull_trend,756,20,1260,False,131,0,743.2824427480916,24,1523,0.3263296126066973,0.3603726527636554,0.2995256306679326,0.35973298935993214,1.47714841958515,"{""UP_STRENGTHENING"": 108, ""UP_WEAKENING"": 859, ""DOWN_STRENGTHENING"": 271, ""DOWN_WEAKENING"": 104, ""SIDEWAYS"": 181}",0.07091267235718976,108.0,0.8660646512236618,0.35182110773496894,0.2809084353777792,0.5640183847669075,859.0,0.6526449219462249,0.688173744497995,0.12415535973108749,0.17793827971109652,271.0,0.4988210744727256,0.1716264901465367,-0.006311789564559828,0.06828627708470125,104.0,0.6487911313492709,0.10093809820111335,0.0326518211164121,0.11884438608010506,181.0,0.5517616157956706,0.1437559240709887,0.024911537990883637,0.6436166789575107,0.09126307293032052,0.4277456647398844,0.6851851851851852,0.5266903914590747,108.0,0.6950354609929078,0.34225844004656575,0.45865834633385333,859.0,0.16620498614958448,0.22140221402214022,0.189873417721519,271.0,0.10473815461346633,0.40384615384615385,0.16633663366336635,104.0,0.16363636363636364,0.14917127071823205,0.15606936416184972,181.0,1.2769473323047809,
ds0006,20,0.2,0.0,score_delta,compact_mixed,xgb,bull_trend,bull_trend,756,20,1260,False,131,0,743.2824427480916,27,1523,0.32764281024294156,0.35724660286546756,0.29657141277919363,0.3592175459093329,1.4822631584011576,"{""UP_STRENGTHENING"": 108, ""UP_WEAKENING"": 859, ""DOWN_STRENGTHENING"": 271, ""DOWN_WEAKENING"": 104, ""SIDEWAYS"": 181}",0.07091267235718976,108.0,0.8624852767962309,0.3293765821580787,0.25846390980088896,0.5640183847669075,859.0,0.6415241875534735,0.6819502661079873,0.11793188134107979,0.17793827971109652,271.0,0.50562200110819,0.176108329978173,-0.0018299497329235248,0.06828627708470125,104.0,0.6405275925624763,0.10004697096948953,0.03176069388478828,0.11884438608010506,181.0,0.5532519287613935,0.14821721743013422,0.02937283135002916,0.6406821973563528,0.08713987332877254,0.40437158469945356,0.6851851851851852,0.5085910652920962,108.0,0.6813953488372093,0.3410942956926659,0.4546159813809154,859.0,0.19596541786743515,0.25092250922509224,0.22006472491909385,271.0,0.10133333333333333,0.36538461538461536,0.15866388308977036,104.0,0.13829787234042554,0.143646408839779,0.14092140921409213,181.0,1.2537447605587015,
ds0007,20,0.2,0.0,score_delta,compact_mixed,xgb,bear_stress,bear_stress,756,20,1260,False,42,89,342.8333333333333,27,186,0.3118279569892473,0.2887878787878788,0.2127313381492948,0.3355477693812858,1.5343533467210884,"{""UP_STRENGTHENING"": 110, ""UP_WEAKENING"": 15, ""DOWN_STRENGTHENING"": 20, ""DOWN_WEAKENING"": 22, ""SIDEWAYS"": 19}",0.5913978494623656,110.0,0.730023923444976,0.7948982000429052,0.2035003505805396,0.08064516129032258,15.0,0.6444444444444445,0.14793017199604164,0.06728501070571906,0.10752688172043011,20.0,0.6698795180722892,0.15743776410651777,0.049910882386087665,0.11827956989247312,22.0,0.6263858093126387,0.2647551689838653,0.14647559909139218,0.10215053763440861,19.0,0.510557831705011,0.10200984212871006,-0.00014069550569854872,0.6362583053958718,0.093406229451608,0.813953488372093,0.3181818181818182,0.45751633986928103,110.0,0.1111111111111111,0.06666666666666667,0.08333333333333333,15.0,0.22413793103448276,0.65,0.3333333333333333,20.0,0.1232876712328767,0.4090909090909091,0.18947368421052632,22.0,0.0,0.0,0.0,19.0,1.1592725658266236,
ds0002,20,0.2,0.0,score_delta,strength_core,xgb,bear_stress,bear_stress,756,20,1260,False,42,89,342.8333333333333,24,186,0.3225806451612903,0.27424242424242423,0.21099421479727082,0.35735637941125636,1.567004168110522,"{""UP_STRENGTHENING"": 110, ""UP_WEAKENING"": 15, ""DOWN_STRENGTHENING"": 20, ""DOWN_WEAKENING"": 22, ""SIDEWAYS"": 19}",0.5913978494623656,110.0,0.7007177033492822,0.813158007919663,0.22176015845729735,0.08064516129032258,15.0,0.6436647173489278,0.13675788278569934,0.05611272149537676,0.10752688172043011,20.0,0.6186746987951808,0.1391837840155532,0.03165690229512309,0.11827956989247312,22.0,0.6205654101995566,0.2132910339728248,0.09501146408035169,0.10215053763440861,19.0,0.5767412543334385,0.11934966187240774,0.01719912423799913,0.6320727568052772,0.08434807411322962,0.8666666666666667,0.35454545454545455,0.5032258064516129,110.0,0.09090909090909091,0.06666666666666667,0.07692307692307693,15.0,0.16666666666666666,0.45,0.24324324324324326,20.0,0.1506849315068493,0.5,0.23157894736842105,22.0,0.0,0.0,0.0,19.0,1.0592069522016465,
ds0004,20,0.2,0.0,score_delta,strength_core,xgb,high_vol,high_vol,756,20,1260,False,111,20,392.8378378378378,24,686,0.27988338192419826,0.2592056395836121,0.2537992569646378,0.28667631762496754,1.603091349021004,"{""UP_STRENGTHENING"": 238, ""UP_WEAKENING"": 141, ""DOWN_STRENGTHENING"": 130, ""DOWN_WEAKENING"": 77, ""SIDEWAYS"": 100}",0.3469387755102041,238.0,0.6893382352941176,0.5174982701450012,0.17055949463479708,0.2055393586005831,141.0,0.6317652417203461,0.3077599503483447,0.1022205917477616,0.18950437317784258,130.0,0.5252628666297731,0.1835344316430867,-0.005969941534755885,0.11224489795918367,77.0,0.6827245004584905,0.21426614420737172,0.10202124624818805,0.1457725947521866,100.0,0.5250682593856656,0.1815951660870957,0.0358225713349091,0.6108318206976786,0.08093079248617999,0.48677248677248675,0.3865546218487395,0.4309133489461358,238.0,0.2900763358778626,0.2695035460992908,0.27941176470588236,141.0,0.15060240963855423,0.19230769230769232,0.16891891891891891,130.0,0.22608695652173913,0.33766233766233766,0.2708333333333333,77.0,0.12941176470588237,0.11,0.11891891891891893,100.0,0.8773766064409554,
ds0009,20,0.2,0.0,score_delta,compact_mixed,xgb,high_vol,high_vol,756,20,1260,False,111,20,392.8378378378378,27,686,0.282798833819242,0.2584967014629092,0.2589416615536353,0.28846822713621095,1.5909910180540947,"{""UP_STRENGTHENING"": 238, ""UP_WEAKENING"": 141, ""DOWN_STRENGTHENING"": 130, ""DOWN_WEAKENING"": 77, ""SIDEWAYS"": 100}",0.3469387755102041,238.0,0.6661258253301321,0.504786933684852,0.15784815817464787,0.2055393586005831,141.0,0.6366842344980155,0.2957217257272915,0.09018236712670841,0.18950437317784258,130.0,0.5365938018815717,0.1892593954206115,-0.0002449777572310907,0.11224489795918367,77.0,0.7034738660354424,0.23009307809574334,0.11784818013655966,0.1457725947521866,100.0,0.537542662116041,0.21469462148734333,0.06892202673515674,0.6160840779722405,0.08691115088316832,0.4413145539906103,0.3949579831932773,0.41685144124168516,238.0,0.3140495867768595,0.2695035460992908,0.2900763358778626,141.0,0.15822784810126583,0.19230769230769232,0.1736111111111111,130.0,0.2558139534883721,0.2857142857142857,0.26993865030674846,77.0,0.1388888888888889,0.15,0.14423076923076922,100.0,0.8685801393125299,
