from_regime,CUSTOM,EXTREME_RISK,HIGH_VOL,NORMAL,RISK_OFF,WATCH
CUSTOM,0.9378640776699029,0.0,0.0,0.03559870550161812,0.009708737864077669,0.016828478964401296
EXTREME_RISK,0.0,0.933579335793358,0.0,0.0,0.06273062730627306,0.0036900369003690036
HIGH_VOL,0.0,0.0,0.8278145695364238,0.033112582781456956,0.0728476821192053,0.06622516556291391
NORMAL,0.09076175040518639,0.0,0.0,0.8427876823338736,0.0,0.06645056726094004
RISK_OFF,0.050793650793650794,0.05714285714285714,0.0031746031746031746,0.0,0.8571428571428571,0.031746031746031744
WATCH,0.05470459518599562,0.0,0.05470459518599562,0.0787746170678337,0.00437636761487965,0.8074398249452954
