allocation_regime,count,pct,ann_return_est,ann_vol_est,mean_daily_return,win_rate,avg_stock_weight,avg_bond_weight,avg_cash_weight,avg_turnover,annual_turnover_est,rebalance_ratio,emergency_rebalance_ratio,avg_prob_high_vol,avg_prob_down_risk,actual_high_vol_rate,actual_down_high_vol_rate
CUSTOM,1693,0.5046199701937407,0.1452111469973092,0.1492158766939943,0.0005825513078163566,0.5729474305965742,0.9863555818074426,0.010233313644418202,0.0034111045481394005,0.0,0.0,0.09568812758417011,0.0,0.2844219590054739,0.4736912442296759,0.25103366804489075,0.12522150029533372
WATCH,839,0.25007451564828614,0.16809061636974088,0.16817583239580716,0.0006728907862040428,0.5578069129916567,0.9004767580452923,0.07464243146603096,0.024880810488676998,0.009821215733015493,2.474946364719904,0.10965435041716329,0.0,0.4518107078804592,0.49451675849346555,0.42073897497020263,0.20143027413587605
RISK_OFF,688,0.20506706408345754,0.24973101852704027,0.2202260864265593,0.0009810968853548323,0.5479651162790697,0.6799999999999998,0.20799999999999993,0.11199999999999997,0.01383720930232558,3.4869767441860464,0.15988372093023256,0.08866279069767442,0.829405071328813,0.5084914164417674,0.8226744186046512,0.35174418604651164
NORMAL,135,0.040238450074515646,0.21024958878291744,0.1495882362131529,0.0008017629579617004,0.5777777777777777,0.9225185185185186,0.058111111111111065,0.019370370370370357,0.015407407407407404,3.882666666666666,0.13333333333333333,0.0,0.3535723189402707,0.46801327226190137,0.4074074074074074,0.25925925925925924
