policy1_signal_regime,mid_trend_state,ph_rank_bin_756,count,start_date,end_date,avg_stock_weight,avg_signal_stock_weight,avg_base_stock_weight,avg_ph_raw,avg_ph_ewma,avg_ph_rank,strategy_ann_return,strategy_mdd,bh_ann_return,bh_mdd,bh_gap_ann_return
EXTREME_RISK,BEAR,70_85,1,2022-10-20,2022-10-20,0.35,0.35,0.58,0.8815397381782533,0.8969357142038307,0.8373015873015873,1.2830592902559115,0.0,14.756180978529729,0.0,-13.473121688273817
EXTREME_RISK,BEAR,85_95,74,2020-03-27,2025-04-08,0.35770270270270277,0.3500000000000001,0.4799999999999999,0.8948162116311693,0.873004574698745,0.9109377234377234,-0.0033641576254155314,-0.055423829087816734,-0.006569084751432475,-0.15231265715603848,0.003204927126016943
EXTREME_RISK,BEAR,95_100,176,2015-01-30,2026-03-30,0.3710227272727273,0.35687500000000005,0.37999999999999995,0.8793586646460674,0.8552537408965787,0.9796774287958148,0.01907632896406164,-0.04617405949883313,0.035026965987322356,-0.12174510938736627,-0.015950637023260716
EXTREME_RISK,BULL,85_95,21,2019-05-24,2021-03-09,0.4961904761904762,0.5199999999999999,0.5199999999999999,0.8937979228439785,0.8544677427086727,0.9223985890652557,-0.00742810035077246,-0.07351094405581038,-0.024692548288304028,-0.1594485141708134,0.01726444793753157
EXTREME_RISK,BULL,95_100,46,2015-01-06,2021-03-10,0.43913043478260894,0.4321739130434786,0.42000000000000026,0.8653503036369451,0.7930875138279402,0.9759396121465514,0.015139698544613056,-0.01832483316129052,0.03065276040148479,-0.039165259503003425,-0.015513061856871735
EXTREME_RISK,NEUTRAL,85_95,2,2019-09-03,2021-03-08,0.45000000000000007,0.4800000000000001,0.48,0.8937202990055085,0.8690437503702335,0.9272486772486772,0.001922234613797924,-0.0008302779315155773,0.010171792872997187,-0.002854218620158222,-0.008249558259199263
EXTREME_RISK,NEUTRAL,95_100,14,2015-01-28,2020-03-10,0.602857142857143,0.5671428571428571,0.37999999999999995,0.8795046965990749,0.7976655836178742,0.98972708121938,-0.007054938896662977,-0.060477492668227883,-0.01867942729858263,-0.13125317754389287,0.011624488401919653
HIGH_VOL,BEAR,70_85,128,2015-07-09,2026-03-19,0.5823437499999998,0.5796874999999998,0.58,0.7898210717714391,0.7817312510022473,0.7874775021742897,0.005830661852138208,-0.16203644813313323,0.012195491057648056,-0.23300090236023063,-0.006364829205509848
HIGH_VOL,BULL,70_85,214,2015-01-02,2026-01-20,0.6802803738317756,0.6542990654205609,0.6200000000000002,0.6751266004952872,0.6326834061851232,0.7670718686727176,0.004181928286835612,-0.11420808062902865,0.00067621770076709,-0.14906672616689987,0.0035057105860685223
HIGH_VOL,NEUTRAL,70_85,37,2015-07-08,2026-02-25,0.7991891891891892,0.8070270270270269,0.5799999999999997,0.7154462370518092,0.6840709907165756,0.7664857995585864,0.009484596711634152,-0.04290304277900636,0.01267449472155402,-0.04648833267689334,-0.003189898009919867
NORMAL,BEAR,00_30,24,2022-07-29,2023-11-02,0.9266666666666667,0.9466666666666667,0.7200000000000001,0.3584065170027316,0.4112147781499851,0.19042107583774248,-0.0010183508528958107,-0.04414604853863391,-0.007385026747736445,-0.04780867060703553,0.006366675894840634
NORMAL,BEAR,30_50,17,2016-06-15,2026-03-17,0.8629411764705882,0.9035294117647058,0.72,0.4744088850915432,0.5101439349765795,0.3721599751011516,0.0036179439608665653,-0.02409965953747062,0.005379325351877906,-0.024475891148042717,-0.0017613813910113407
NORMAL,BEAR,raw_fallback,7,2014-05-07,2014-05-20,1.0,1.0,0.68,0.4917818197182247,0.4996235201141209,,1.6671493015654186,-0.003623445570089756,1.6671493015654186,-0.003623445570089756,0.0
NORMAL,BULL,00_30,770,2015-02-13,2026-05-07,0.8752207792207793,0.8920779220779222,0.8800000000000002,0.22893756075484023,0.26098416349922593,0.14775574558350305,0.04133427314038163,-0.12243099797524659,0.04562949312786957,-0.13973495450160256,-0.0042952199874879415
NORMAL,BULL,30_50,571,2015-02-11,2026-04-24,0.8481611208406306,0.8458143607705781,0.8200000000000003,0.39189020646328265,0.4056875983819859,0.4005840191761243,0.014362312968402735,-0.2470508013324294,0.012196042349293723,-0.3129150644490799,0.002166270619109012
NORMAL,BULL,raw_fallback,427,2013-01-02,2014-12-31,0.8197189695550352,0.8348946135831382,0.8323653395784543,0.2347767889438594,0.23362912407820802,,0.11530479140226668,-0.05928096113868275,0.14183269719720726,-0.0764066901911642,-0.026527905794940576
NORMAL,NEUTRAL,00_30,11,2016-06-07,2024-04-24,0.9563636363636365,0.9472727272727273,0.78,0.3209014295177026,0.3780113886943472,0.18001443001443002,0.004265108800943107,-0.014523239954001732,0.00433297104287278,-0.014505154820095956,-6.78622419296726e-05
NORMAL,NEUTRAL,30_50,11,2016-06-13,2024-09-13,0.952727272727273,0.938181818181818,0.78,0.3736949640241537,0.42380980166751153,0.3781866281866282,-0.0019096422194968543,-0.04830671512678575,-0.001731880905986194,-0.04830671512678575,-0.00017776131351066038
NORMAL,NEUTRAL,raw_fallback,8,2013-02-25,2014-05-23,0.9475,0.9475,0.72,0.3586703252978623,0.4231315962408211,,0.01708741451681095,-0.013938187276769542,0.01809171586070235,-0.013938187276769654,-0.0010043013438914006
RISK_OFF,BEAR,85_95,103,2015-09-16,2026-04-07,0.4962135922330098,0.5044660194174758,0.4799999999999999,0.7957366420806035,0.7833498626326683,0.8942381459301305,-0.0016971659495179647,-0.0826958268635094,0.0023083351257771056,-0.141477719967402,-0.00400550107529507
RISK_OFF,BEAR,raw_fallback,5,2014-04-11,2014-04-17,0.5,0.42000000000000004,0.42000000000000004,0.8213760697841644,0.781072157363359,,0.9813487477149521,-0.0016100270817036577,4.0270675420966855,0.0,-3.0457187943817337
RISK_OFF,BULL,85_95,87,2015-01-08,2026-02-11,0.5608045977011493,0.5480459770114943,0.5200000000000002,0.761754870774417,0.6773715079396482,0.8889358691680621,0.006501648287176254,-0.06781914354448937,0.008329636026844112,-0.10351137088692375,-0.0018279877396678579
RISK_OFF,BULL,raw_fallback,1,2014-04-22,2014-04-22,0.42,0.6500000000000001,0.42,0.721928060054779,0.7754537020404317,,1.6716381722963058,0.0,10.015756319833262,0.0,-8.344118147536957
RISK_OFF,NEUTRAL,85_95,23,2015-02-02,2026-02-18,0.6034782608695654,0.6608695652173912,0.4800000000000001,0.7767175403626069,0.6993344062291492,0.894882183911044,0.0047990545399752005,-0.009753965768649953,0.01034482095547462,-0.011989999327482792,-0.00554576641549942
RISK_OFF,NEUTRAL,raw_fallback,3,2014-04-21,2014-04-24,0.42,0.8000000000000002,0.42,0.7408534576495489,0.7703295359204873,,-0.4933855029887735,-0.0061955997171371235,-0.8385016717117146,-0.01598318502927154,0.34511616872294115
