asset_class,ph_rank_bin_756,mid_trend_state,count,start_date,end_date,avg_stock_weight,avg_signal_stock_weight,avg_base_stock_weight,avg_ph_raw,avg_ph_ewma,avg_ph_rank,strategy_ann_return,strategy_mdd,bh_ann_return,bh_mdd,bh_gap_ann_return
broad_index,00_30,BEAR,24,2022-07-29,2023-11-02,0.9266666666666667,0.9466666666666667,0.7200000000000001,0.3584065170027316,0.4112147781499851,0.19042107583774248,-0.0010183508528958107,-0.04414604853863391,-0.007385026747736445,-0.04780867060703553,0.006366675894840634
broad_index,00_30,BULL,770,2015-02-13,2026-05-07,0.8752207792207793,0.8920779220779222,0.8800000000000002,0.22893756075484023,0.26098416349922593,0.14775574558350305,0.04133427314038163,-0.12243099797524659,0.04562949312786957,-0.13973495450160256,-0.0042952199874879415
broad_index,00_30,NEUTRAL,11,2016-06-07,2024-04-24,0.9563636363636365,0.9472727272727273,0.78,0.3209014295177026,0.3780113886943472,0.18001443001443002,0.004265108800943107,-0.014523239954001732,0.00433297104287278,-0.014505154820095956,-6.78622419296726e-05
broad_index,30_50,BEAR,17,2016-06-15,2026-03-17,0.8629411764705882,0.9035294117647058,0.72,0.4744088850915432,0.5101439349765795,0.3721599751011516,0.0036179439608665653,-0.02409965953747062,0.005379325351877906,-0.024475891148042717,-0.0017613813910113407
broad_index,30_50,BULL,571,2015-02-11,2026-04-24,0.8481611208406306,0.8458143607705781,0.8200000000000003,0.39189020646328265,0.4056875983819859,0.4005840191761243,0.014362312968402735,-0.2470508013324294,0.012196042349293723,-0.3129150644490799,0.002166270619109012
broad_index,30_50,NEUTRAL,11,2016-06-13,2024-09-13,0.952727272727273,0.938181818181818,0.78,0.3736949640241537,0.42380980166751153,0.3781866281866282,-0.0019096422194968543,-0.04830671512678575,-0.001731880905986194,-0.04830671512678575,-0.00017776131351066038
broad_index,50_70,BEAR,48,2016-06-22,2026-04-08,0.726875,0.9054166666666666,0.68,0.6697516329586506,0.7016602307524643,0.6151895943562611,0.005292106573475008,-0.08115836958678846,0.0017109503922914104,-0.12659104268920307,0.003581156181183598
broad_index,50_70,BULL,437,2015-03-06,2026-04-14,0.7788100686498857,0.7622425629290618,0.72,0.5347703522450591,0.5233803762194185,0.6061436737295767,0.022173440106734832,-0.0659800672223646,0.027983747691398664,-0.08601174352248675,-0.005810307584663832
broad_index,50_70,NEUTRAL,38,2016-03-23,2026-04-13,0.9052631578947368,0.9405263157894738,0.68,0.5945999959189642,0.6297760540350958,0.6080827067669172,0.008429649049507937,-0.042644985273422864,0.008787560021286556,-0.04163952477266364,-0.00035791097177861886
broad_index,70_85,BEAR,129,2015-07-09,2026-03-19,0.5805426356589146,0.577906976744186,0.58,0.7905320691854454,0.782624308856523,0.7878637353923307,0.006138820604794759,-0.15928689701256227,0.013231628713781696,-0.22456278038959654,-0.007092808108986937
broad_index,70_85,BULL,214,2015-01-02,2026-01-20,0.6802803738317756,0.6542990654205609,0.6200000000000002,0.6751266004952872,0.6326834061851232,0.7670718686727176,0.004181928286835612,-0.11420808062902865,0.00067621770076709,-0.14906672616689987,0.0035057105860685223
broad_index,70_85,NEUTRAL,37,2015-07-08,2026-02-25,0.7991891891891892,0.8070270270270269,0.5799999999999997,0.7154462370518092,0.6840709907165756,0.7664857995585864,0.009484596711634152,-0.04290304277900636,0.01267449472155402,-0.04648833267689334,-0.003189898009919867
broad_index,85_95,BEAR,177,2015-09-16,2026-04-07,0.4383050847457627,0.4398870056497176,0.48000000000000004,0.8371597389548512,0.8208326236094461,0.9012198901988416,-0.0032994146092804044,-0.09390973737090613,-0.0008355239270468884,-0.16414156813284364,-0.002463890682233516
broad_index,85_95,BULL,108,2015-01-08,2026-02-11,0.5482407407407407,0.5425925925925926,0.52,0.7874299086768318,0.711806886922514,0.8954425091480718,0.0052893194450478465,-0.08037380593948773,0.004262573098008593,-0.1950858227784832,0.0010267463470392535
broad_index,85_95,NEUTRAL,25,2015-02-02,2026-02-18,0.5912,0.6464,0.48,0.786077761054039,0.7129111537604359,0.8974715033780547,0.005063130449447284,-0.009753965768649953,0.011744961363216344,-0.013653160900286565,-0.00668183091376906
broad_index,95_100,BEAR,176,2015-01-30,2026-03-30,0.3710227272727273,0.35687500000000005,0.37999999999999995,0.8793586646460674,0.8552537408965787,0.9796774287958148,0.01907632896406164,-0.04617405949883313,0.035026965987322356,-0.12174510938736627,-0.015950637023260716
broad_index,95_100,BULL,46,2015-01-06,2021-03-10,0.43913043478260894,0.4321739130434786,0.42000000000000026,0.8653503036369451,0.7930875138279402,0.9759396121465514,0.015139698544613056,-0.01832483316129052,0.03065276040148479,-0.039165259503003425,-0.015513061856871735
broad_index,95_100,NEUTRAL,14,2015-01-28,2020-03-10,0.602857142857143,0.5671428571428571,0.37999999999999995,0.8795046965990749,0.7976655836178742,0.98972708121938,-0.007054938896662977,-0.060477492668227883,-0.01867942729858263,-0.13125317754389287,0.011624488401919653
broad_index,raw_fallback,BEAR,20,2014-04-10,2014-10-22,0.789,0.7690000000000001,0.5509999999999999,0.6574960234761239,0.6577581981110858,,0.21961865707077655,-0.004150536556084328,0.30517644316332304,-0.0051612906553396565,-0.0855577860925465
broad_index,raw_fallback,BULL,464,2013-01-02,2014-12-31,0.8037500000000001,0.8164439655172413,0.8120689655172413,0.2676205688099987,0.2646738424150792,,0.13600756279445192,-0.062392029562114426,0.15747071693338377,-0.08981351238399726,-0.02146315413893185
broad_index,raw_fallback,NEUTRAL,20,2013-02-25,2014-10-21,0.798,0.8510000000000002,0.597,0.5355570993945002,0.5832444616328366,,0.013408848655669381,-0.030920379339304138,0.006134697727840033,-0.0442746972958411,0.007274150927829348
