section,count,pct,rebalance_type,trade_day_ratio,avg_turnover,annual_turnover_est,total_turnover,avg_trade_size_on_trade,max_turnover,cost_sum,allocation_regime
by_rebalance_type,123,0.03663985701519214,emergency,0.34146341463414637,0.1261788617886179,31.79707317073171,15.52,0.36952380952380953,1.0,0.015519999999999999,
by_rebalance_type,2287,0.6812630324694667,no_rebalance,0.024048972452995192,0.008640139921294273,2.1773152601661567,19.76,0.35927272727272735,0.7600000000000002,0.019760000000000003,
by_rebalance_type,947,0.2820971105153411,scheduled_or_initial,0.2565997888067582,0.0683843717001056,17.23286166842661,64.76,0.2665020576131687,1.08,0.06476,
by_regime,1403,0.4179326779862973,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime,238,0.07089663389931486,,0.07983193277310924,0.019159663865546205,4.828235294117643,4.559999999999997,0.23999999999999985,0.2399999999999998,0.004559999999999996,EXTREME_RISK
by_regime,100,0.02978850163836759,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGH_VOL
by_regime,717,0.21358355674709562,,0.199442119944212,0.04580195258019525,11.542092050209204,32.839999999999996,0.22965034965034967,0.72,0.03284,NORMAL
by_regime,309,0.09204647006255585,,0.20388349514563106,0.10032362459546927,25.281553398058257,31.000000000000004,0.49206349206349215,1.0,0.031000000000000007,RISK_OFF
by_regime,590,0.17575215966636878,,0.19491525423728814,0.053627118644067794,13.514033898305083,31.639999999999997,0.2751304347826086,1.08,0.03164,WATCH
by_regime_rebalance_type,15,0.004468275245755138,emergency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime_rebalance_type,1152,0.34316353887399464,no_rebalance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime_rebalance_type,236,0.07030086386654752,scheduled_or_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime_rebalance_type,49,0.01459636580280012,emergency,0.24489795918367346,0.05877551020408159,14.81142857142856,2.8799999999999977,0.2399999999999998,0.2399999999999998,0.0028799999999999976,EXTREME_RISK
by_regime_rebalance_type,149,0.04438486744116771,no_rebalance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EXTREME_RISK
by_regime_rebalance_type,40,0.011915400655347037,scheduled_or_initial,0.175,0.04199999999999997,10.583999999999993,1.6799999999999986,0.2399999999999998,0.2399999999999998,0.0016799999999999986,EXTREME_RISK
by_regime_rebalance_type,87,0.025915996425379804,no_rebalance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGH_VOL
by_regime_rebalance_type,13,0.0038725052129877867,scheduled_or_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGH_VOL
by_regime_rebalance_type,367,0.10932380101280906,no_rebalance,0.07084468664850137,0.019836512261580383,4.998801089918256,7.28,0.28,0.43999999999999995,0.007280000000000001,NORMAL
by_regime_rebalance_type,350,0.10425975573428657,scheduled_or_initial,0.3342857142857143,0.07302857142857143,18.403200000000002,25.56,0.21846153846153854,0.72,0.02556,NORMAL
by_regime_rebalance_type,59,0.01757521596663688,emergency,0.5084745762711864,0.21423728813559323,53.9877966101695,12.64,0.42133333333333334,1.0,0.012640000000000002,RISK_OFF
by_regime_rebalance_type,199,0.0592791182603515,no_rebalance,0.05025125628140704,0.03819095477386936,9.624120603015077,7.600000000000002,0.7600000000000001,0.7600000000000002,0.007600000000000003,RISK_OFF
by_regime_rebalance_type,51,0.01519213583556747,scheduled_or_initial,0.45098039215686275,0.2109803921568628,53.16705882352942,10.760000000000002,0.4678260869565217,1.0,0.010760000000000002,RISK_OFF
by_regime_rebalance_type,333,0.09919571045576407,no_rebalance,0.057057057057057055,0.014654654654654651,3.692972972972972,4.879999999999999,0.2568421052631578,0.43999999999999995,0.004879999999999999,WATCH
by_regime_rebalance_type,257,0.07655644921060471,scheduled_or_initial,0.3735408560311284,0.10412451361867703,26.23937743190661,26.759999999999998,0.27875,1.08,0.02676,WATCH
