rule,level,message,stock,ph,mid_trend_state,Date,allocation_regime,hold_reason
midtrend_bear_high_stock,WARNING,mid_trend=BEAR but stock>=80%. Check trend context or policy override.,0.8,0.736,BEAR,2015-01-30,CUSTOM,not_rebalance_day
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.736,BEAR,2015-01-30,CUSTOM,not_rebalance_day
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.7379,NEUTRAL,2015-02-02,CUSTOM,not_rebalance_day
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.7353,BULL,2015-02-03,CUSTOM,no_trade_band
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.7361,NEUTRAL,2015-02-04,CUSTOM,not_rebalance_day
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.7257,BULL,2015-02-05,CUSTOM,not_rebalance_day
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.7363,BULL,2015-02-06,CUSTOM,not_rebalance_day
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.7262,NEUTRAL,2015-02-09,CUSTOM,not_rebalance_day
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.96,0.641,BULL,2015-02-10,WATCH,strong_offensive_override
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.6432,BULL,2015-05-14,WATCH,scheduled
midtrend_bear_high_stock,WARNING,mid_trend=BEAR but stock>=80%. Check trend context or policy override.,1.0,0.3737,BEAR,2015-07-09,NORMAL,strong_offensive_override
midtrend_bear_high_stock,WARNING,mid_trend=BEAR but stock>=80%. Check trend context or policy override.,0.96,0.6399,BEAR,2015-08-21,WATCH,strong_offensive_override
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.96,0.6399,BEAR,2015-08-21,WATCH,strong_offensive_override
midtrend_bear_high_stock,WARNING,mid_trend=BEAR but stock>=80%. Check trend context or policy override.,0.8,0.688,BEAR,2015-08-24,WATCH,scheduled
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.688,BEAR,2015-08-24,WATCH,scheduled
midtrend_bear_high_stock,WARNING,mid_trend=BEAR but stock>=80%. Check trend context or policy override.,0.8,0.7228,BEAR,2015-08-25,WATCH,no_trade_override_prob_high_vol_cross_0.70
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.7228,BEAR,2015-08-25,WATCH,no_trade_override_prob_high_vol_cross_0.70
midtrend_bear_high_stock,WARNING,mid_trend=BEAR but stock>=80%. Check trend context or policy override.,0.8,0.749,BEAR,2015-08-26,CUSTOM,not_rebalance_day
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.749,BEAR,2015-08-26,CUSTOM,not_rebalance_day
midtrend_bear_high_stock,WARNING,mid_trend=BEAR but stock>=80%. Check trend context or policy override.,0.8,0.7666,BEAR,2015-08-27,CUSTOM,not_rebalance_day
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.7666,BEAR,2015-08-27,CUSTOM,not_rebalance_day
midtrend_bear_high_stock,WARNING,mid_trend=BEAR but stock>=80%. Check trend context or policy override.,0.8,0.7804,BEAR,2015-08-28,CUSTOM,no_trade_band
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.7804,BEAR,2015-08-28,CUSTOM,no_trade_band
midtrend_bear_high_stock,WARNING,mid_trend=BEAR but stock>=80%. Check trend context or policy override.,0.8,0.7909,BEAR,2015-08-31,CUSTOM,no_trade_band
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.7909,BEAR,2015-08-31,CUSTOM,no_trade_band
midtrend_bear_high_stock,WARNING,mid_trend=BEAR but stock>=80%. Check trend context or policy override.,0.8,0.7987,BEAR,2015-09-01,CUSTOM,not_rebalance_day
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.7987,BEAR,2015-09-01,CUSTOM,not_rebalance_day
midtrend_bear_high_stock,WARNING,mid_trend=BEAR but stock>=80%. Check trend context or policy override.,0.8,0.8034,BEAR,2015-09-02,CUSTOM,not_rebalance_day
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.8034,BEAR,2015-09-02,CUSTOM,not_rebalance_day
extreme_highvol_full_stock,HARD_CAP,prob_high_vol>0.80 but stock>=70%.,0.8,0.8034,BEAR,2015-09-02,CUSTOM,not_rebalance_day
midtrend_bear_high_stock,WARNING,mid_trend=BEAR but stock>=80%. Check trend context or policy override.,0.8,0.8063,BEAR,2015-09-03,CUSTOM,not_rebalance_day
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.8063,BEAR,2015-09-03,CUSTOM,not_rebalance_day
extreme_highvol_full_stock,HARD_CAP,prob_high_vol>0.80 but stock>=70%.,0.8,0.8063,BEAR,2015-09-03,CUSTOM,not_rebalance_day
midtrend_bear_high_stock,WARNING,mid_trend=BEAR but stock>=80%. Check trend context or policy override.,0.8,0.8083,BEAR,2015-09-04,CUSTOM,no_trade_band
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.8083,BEAR,2015-09-04,CUSTOM,no_trade_band
extreme_highvol_full_stock,HARD_CAP,prob_high_vol>0.80 but stock>=70%.,0.8,0.8083,BEAR,2015-09-04,CUSTOM,no_trade_band
midtrend_bear_high_stock,WARNING,mid_trend=BEAR but stock>=80%. Check trend context or policy override.,0.8,0.8097,BEAR,2015-09-08,CUSTOM,no_trade_band
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.8097,BEAR,2015-09-08,CUSTOM,no_trade_band
extreme_highvol_full_stock,HARD_CAP,prob_high_vol>0.80 but stock>=70%.,0.8,0.8097,BEAR,2015-09-08,CUSTOM,no_trade_band
midtrend_bear_high_stock,WARNING,mid_trend=BEAR but stock>=80%. Check trend context or policy override.,0.8,0.8122,BEAR,2015-09-09,CUSTOM,not_rebalance_day
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.8122,BEAR,2015-09-09,CUSTOM,not_rebalance_day
extreme_highvol_full_stock,HARD_CAP,prob_high_vol>0.80 but stock>=70%.,0.8,0.8122,BEAR,2015-09-09,CUSTOM,not_rebalance_day
midtrend_bear_high_stock,WARNING,mid_trend=BEAR but stock>=80%. Check trend context or policy override.,0.8,0.8147,BEAR,2015-09-10,CUSTOM,not_rebalance_day
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.8147,BEAR,2015-09-10,CUSTOM,not_rebalance_day
extreme_highvol_full_stock,HARD_CAP,prob_high_vol>0.80 but stock>=70%.,0.8,0.8147,BEAR,2015-09-10,CUSTOM,not_rebalance_day
midtrend_bear_high_stock,WARNING,mid_trend=BEAR but stock>=80%. Check trend context or policy override.,0.8,0.8121,BEAR,2015-09-11,CUSTOM,not_rebalance_day
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.8121,BEAR,2015-09-11,CUSTOM,not_rebalance_day
extreme_highvol_full_stock,HARD_CAP,prob_high_vol>0.80 but stock>=70%.,0.8,0.8121,BEAR,2015-09-11,CUSTOM,not_rebalance_day
midtrend_bear_high_stock,WARNING,mid_trend=BEAR but stock>=80%. Check trend context or policy override.,0.8,0.8137,BEAR,2015-09-14,CUSTOM,no_trade_band
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.8137,BEAR,2015-09-14,CUSTOM,no_trade_band
extreme_highvol_full_stock,HARD_CAP,prob_high_vol>0.80 but stock>=70%.,0.8,0.8137,BEAR,2015-09-14,CUSTOM,no_trade_band
midtrend_bear_high_stock,WARNING,mid_trend=BEAR but stock>=80%. Check trend context or policy override.,0.8,0.8098,BEAR,2015-09-15,CUSTOM,no_trade_band
highvol_high_stock,WARNING,prob_high_vol>0.60 but stock>=80%.,0.8,0.8098,BEAR,2015-09-15,CUSTOM,no_trade_band
extreme_highvol_full_stock,HARD_CAP,prob_high_vol>0.80 but stock>=70%.,0.8,0.8098,BEAR,2015-09-15,CUSTOM,no_trade_band
midtrend_bear_high_stock,WARNING,mid_trend=BEAR but stock>=80%. Check trend context or policy override.,0.8,0.7867,BEAR,2015-09-16,CUSTOM,not_rebalance_day
