allocation_regime,count,pct,ann_return_est,ann_vol_est,mean_daily_return,win_rate,avg_stock_weight,avg_bond_weight,avg_cash_weight,avg_turnover,annual_turnover_est,rebalance_ratio,emergency_rebalance_ratio,avg_prob_high_vol,avg_prob_down_risk,actual_high_vol_rate,actual_down_high_vol_rate
CUSTOM,1408,0.41942210306821565,0.2164170244512713,0.1234885062778485,0.0008079968168585327,0.5774147727272727,0.8361931818181819,0.10647443181818182,0.05733238636363636,0.0,0.0,0.17755681818181818,0.009943181818181818,0.3061733357345408,0.4629392497006672,0.2627840909090909,0.12713068181818182
NORMAL,709,0.2112004766160262,0.19995629081529653,0.11969625120828775,0.0007520452447548802,0.5627644569816643,0.8152327221438646,0.12009873060648801,0.06466854724964738,0.04609308885754583,11.61545839210155,0.4936530324400564,0.0,0.39076903980903105,0.4522155927184506,0.33991537376586745,0.17348377997179126
WATCH,593,0.17664581471551982,0.13531308502909178,0.15085947060975027,0.0005488235889719899,0.5446880269814502,0.7042833052276559,0.19221585160202365,0.10350084317032039,0.0536256323777403,13.513659359190555,0.4317032040472175,0.0,0.5937071470367461,0.463444983346987,0.5295109612141653,0.2748735244519393
RISK_OFF,313,0.09323801012809056,-0.03268975208039682,0.11623987663292719,-0.00010513107237129374,0.5143769968051118,0.44370607028753994,0.3615910543130992,0.19470287539936104,0.09904153354632589,24.958466453674124,0.3514376996805112,0.19488817891373802,0.8170448118920809,0.48584280586794876,0.8338658146964856,0.41533546325878595
EXTREME_RISK,234,0.06970509383378017,0.17846787938163344,0.13368247554570234,0.0006871220282099848,0.5726495726495726,0.3000000000000001,0.455,0.24500000000000008,0.019487179487179474,4.910769230769228,0.32905982905982906,0.20512820512820512,0.8831017017667282,0.5134744018606431,0.8931623931623932,0.41452991452991456
HIGH_VOL,100,0.02978850163836759,0.14768023688035137,0.1187951604221302,0.0005745899892695079,0.66,0.52,0.312,0.16799999999999993,0.0,0.0,0.13,0.0,0.7115042301791924,0.4698914107322849,0.82,0.34
