asset_class,ph_rank_bin_756,mid_trend_state,count,start_date,end_date,avg_stock_weight,avg_signal_stock_weight,avg_base_stock_weight,avg_ph_raw,avg_ph_ewma,avg_ph_rank,strategy_ann_return,strategy_mdd,bh_ann_return,bh_mdd,bh_gap_ann_return
mega_cap,00_30,BEAR,59,2015-07-07,2024-05-09,0.8983050847457629,0.8952542372881356,0.7199999999999999,0.2819178334484666,0.31382263534184685,0.1565723426906913,0.009222988456595305,-0.07442865042631164,0.010163643287829371,-0.07884186353918965,-0.0009406548312340668
mega_cap,00_30,BULL,795,2015-03-02,2026-02-06,0.8967798742138365,0.9155220125786165,0.9000000000000002,0.2904528478565831,0.3104405369278983,0.146431384766788,0.07201633303482957,-0.15220245949715927,0.08061274533297591,-0.15769131320254148,-0.008596412298146339
mega_cap,00_30,NEUTRAL,41,2015-06-29,2026-02-03,0.9441463414634147,0.9409756097560977,0.7800000000000001,0.29546750304175584,0.3329619280325521,0.1665237624134711,0.016012400369805446,-0.024901370994904526,0.017563227799081593,-0.02605570048007322,-0.001550827429276147
mega_cap,30_50,BEAR,102,2015-07-08,2026-01-30,0.9501960784313727,0.9580392156862746,0.7199999999999999,0.4257714142621148,0.45259841661713435,0.41276042316667116,0.022995280662671203,-0.14602403134377306,0.025148427664613893,-0.15466001153323616,-0.00215314700194269
mega_cap,30_50,BULL,377,2015-02-02,2026-05-07,0.8637135278514587,0.8698408488063659,0.8499999999999999,0.418579789974408,0.4224836399825702,0.40144021921790196,-0.015345549583471563,-0.274149388185703,-0.01701303078474159,-0.3043829432931713,0.0016674812012700269
mega_cap,30_50,NEUTRAL,35,2015-07-13,2025-02-27,0.9711428571428572,0.9720000000000001,0.7800000000000001,0.4429737232412611,0.4845650148215802,0.4046814981460651,0.009885488961953515,-0.0416891605819395,0.009632456846902171,-0.04168916058193939,0.0002530321150513437
mega_cap,50_70,BEAR,133,2015-07-22,2026-01-21,0.9025563909774437,0.8806015037593985,0.7199999999999999,0.5483573135520731,0.5650848304080225,0.6053528790648497,0.029603773068650252,-0.12102723640386803,0.034022586856650605,-0.13838728906948483,-0.004418813788000353
mega_cap,50_70,BULL,383,2015-01-13,2026-04-30,0.812610966057441,0.8064490861618797,0.7699999999999999,0.5087886047347719,0.496452435055378,0.5972585465696959,0.01175224423597987,-0.28064649270837905,0.012784541336137156,-0.33221694410212177,-0.0010322971001572867
mega_cap,50_70,NEUTRAL,65,2015-01-21,2026-04-21,0.9133846153846154,0.8938461538461537,0.7199999999999999,0.5263762018313775,0.5076846148682657,0.6105796456930298,0.02066105012053221,-0.10984791519312298,0.020336044989820667,-0.12764847160182202,0.000325005130711542
mega_cap,70_85,BEAR,178,2015-07-27,2026-04-14,0.8784831460674157,0.9161797752808991,0.62,0.6830520224454029,0.6767292280452057,0.7858726823176145,-0.005230558080354997,-0.23203706146791914,-0.0022797224498446456,-0.2560644157298826,-0.002950835630510351
mega_cap,70_85,BULL,216,2015-01-02,2026-04-27,0.7199537037037037,0.692962962962963,0.6700000000000002,0.622167242863388,0.5948443956991218,0.7646720558054123,0.015123800877147708,-0.156913343921099,0.018448920624255738,-0.20505378764236282,-0.0033251197471080296
mega_cap,70_85,NEUTRAL,17,2015-05-12,2026-04-09,0.7870588235294117,0.7658823529411765,0.62,0.5963681485723047,0.5686950275142172,0.7663575836524948,0.004126286885306252,-0.03270261642169814,0.0026590122376761727,-0.046324787166526105,0.001467274647630079
mega_cap,85_95,BEAR,197,2015-08-03,2026-04-08,0.7325380710659899,0.7143147208121828,0.5,0.7496467933436942,0.7316684972494139,0.8956224860745059,0.00367947382847178,-0.19770017591113997,-0.0018198687341171027,-0.2274273935473199,0.0054993425625888825
mega_cap,85_95,BULL,79,2015-01-07,2024-08-09,0.600506329113924,0.5588607594936706,0.5499999999999997,0.7532304160013984,0.7006211191486924,0.8927171944628208,0.01156406591022563,-0.1072533747340979,0.023921680931658917,-0.16292416346569238,-0.012357615021433288
mega_cap,85_95,NEUTRAL,21,2016-04-27,2026-03-03,0.5566666666666666,0.5342857142857143,0.5,0.7844770345659482,0.738361701232372,0.9192491811539432,0.004211737376940583,-0.02551532521708555,0.0075368991063144986,-0.04863715026309734,-0.0033251617293739155
mega_cap,95_100,BEAR,85,2015-08-21,2025-05-27,0.5389411764705881,0.5159999999999999,0.3799999999999999,0.8235794250404133,0.8006919520772975,0.9812080971470826,-0.0005524663993425882,-0.13053182109842176,0.0021777703631653544,-0.2530674029678598,-0.0027302367625079427
mega_cap,95_100,BULL,63,2016-11-14,2020-11-12,0.4319047619047619,0.43000000000000005,0.43,0.8886224823811698,0.8522226150720005,0.9827832367514905,-0.0026640940496442944,-0.07044836661131126,-0.015606909906329292,-0.1505542424774794,0.012942815856684997
mega_cap,95_100,NEUTRAL,7,2016-05-03,2020-11-09,0.4014285714285714,0.38,0.37999999999999995,0.8369624738182342,0.8052829507177375,0.9814814814814815,0.004889052559517104,-0.02032129924717274,0.014736120872583358,-0.03582632985713641,-0.009847068313066254
mega_cap,raw_fallback,BEAR,149,2013-01-02,2014-04-17,0.8412080536912753,0.836778523489933,0.5481879194630873,0.6461060754904812,0.65280811327612,,-0.009405886856918122,-0.2197116060836508,-0.029043076228811415,-0.2546374890018709,0.019637189371893293
mega_cap,raw_fallback,BULL,324,2013-05-23,2014-12-31,0.7578395061728396,0.7577160493827161,0.7270370370370371,0.4194771842249198,0.4203943870474625,,0.21108244985101532,-0.15346486953070582,0.2523625527331248,-0.1756520055496119,-0.04128010288210948
mega_cap,raw_fallback,NEUTRAL,31,2013-05-21,2014-04-23,0.9729032258064516,0.9638709677419355,0.6851612903225803,0.49744408904544773,0.4737729818712253,,0.04050177127557486,-0.06137102998364563,0.042232080090294,-0.06137102998364585,-0.0017303088147191392
