policy1_signal_regime,mid_trend_state,ph_rank_bin_756,count,start_date,end_date,avg_stock_weight,avg_signal_stock_weight,avg_base_stock_weight,avg_ph_raw,avg_ph_ewma,avg_ph_rank,strategy_ann_return,strategy_mdd,bh_ann_return,bh_mdd,bh_gap_ann_return
EXTREME_RISK,BEAR,85_95,1,2020-11-23,2020-11-23,0.5500000000000002,0.5000000000000001,0.5,0.9105538338422776,0.9108662691010412,0.9404761904761905,1.866205173764755,0.0,5.519191833118325,0.0,-3.65298665935357
EXTREME_RISK,BEAR,95_100,85,2015-08-21,2025-05-27,0.5389411764705881,0.5159999999999999,0.3799999999999999,0.8235794250404133,0.8006919520772975,0.9812080971470826,-0.0005524663993425882,-0.13053182109842176,0.0021777703631653544,-0.2530674029678598,-0.0027302367625079427
EXTREME_RISK,BULL,85_95,5,2020-11-11,2020-11-27,0.5500000000000002,0.5500000000000002,0.55,0.9043948298692704,0.911123651996083,0.9354497354497354,0.8248642769858836,-0.003404033949835683,2.052321826598123,-0.00756450585948143,-1.2274575496122393
EXTREME_RISK,BULL,95_100,63,2016-11-14,2020-11-12,0.4319047619047619,0.43000000000000005,0.43,0.8886224823811698,0.8522226150720005,0.9827832367514905,-0.0026640940496442944,-0.07044836661131126,-0.015606909906329292,-0.1505542424774794,0.012942815856684997
EXTREME_RISK,NEUTRAL,85_95,6,2020-11-10,2020-11-20,0.5300000000000001,0.5000000000000001,0.5,0.9089185024301211,0.9117983108708395,0.9440035273368607,-0.4976405121051173,-0.025515325217085327,-0.7534231040870106,-0.04640263071358075,0.25578259198189335
EXTREME_RISK,NEUTRAL,95_100,7,2016-05-03,2020-11-09,0.4014285714285714,0.38,0.37999999999999995,0.8369624738182342,0.8052829507177375,0.9814814814814815,0.004889052559517104,-0.02032129924717274,0.014736120872583358,-0.03582632985713641,-0.009847068313066254
HIGH_VOL,BEAR,70_85,178,2015-07-27,2026-04-14,0.8784831460674157,0.9161797752808991,0.62,0.6830520224454029,0.6767292280452057,0.7858726823176145,-0.005230558080354997,-0.23203706146791914,-0.0022797224498446456,-0.2560644157298826,-0.002950835630510351
HIGH_VOL,BULL,70_85,216,2015-01-02,2026-04-27,0.7199537037037037,0.692962962962963,0.6700000000000002,0.622167242863388,0.5948443956991218,0.7646720558054123,0.015123800877147708,-0.156913343921099,0.018448920624255738,-0.20505378764236282,-0.0033251197471080296
HIGH_VOL,NEUTRAL,70_85,17,2015-05-12,2026-04-09,0.7870588235294117,0.7658823529411765,0.62,0.5963681485723047,0.5686950275142172,0.7663575836524948,0.004126286885306252,-0.03270261642169814,0.0026590122376761727,-0.046324787166526105,0.001467274647630079
NORMAL,BEAR,00_30,59,2015-07-07,2024-05-09,0.8983050847457629,0.8952542372881356,0.7199999999999999,0.2819178334484666,0.31382263534184685,0.1565723426906913,0.009222988456595305,-0.07442865042631164,0.010163643287829371,-0.07884186353918965,-0.0009406548312340668
NORMAL,BEAR,30_50,102,2015-07-08,2026-01-30,0.9501960784313727,0.9580392156862746,0.7199999999999999,0.4257714142621148,0.45259841661713435,0.41276042316667116,0.022995280662671203,-0.14602403134377306,0.025148427664613893,-0.15466001153323616,-0.00215314700194269
NORMAL,BEAR,raw_fallback,38,2013-07-03,2014-04-17,0.9989473684210527,0.9989473684210527,0.7252631578947366,0.412131600042707,0.43354274602919346,,0.2614454070589354,-0.02957648443682781,0.2620406097622954,-0.02957648443682792,-0.0005952027033599983
NORMAL,BULL,00_30,795,2015-03-02,2026-02-06,0.8967798742138365,0.9155220125786165,0.9000000000000002,0.2904528478565831,0.3104405369278983,0.146431384766788,0.07201633303482957,-0.15220245949715927,0.08061274533297591,-0.15769131320254148,-0.008596412298146339
NORMAL,BULL,30_50,377,2015-02-02,2026-05-07,0.8637135278514587,0.8698408488063659,0.8499999999999999,0.418579789974408,0.4224836399825702,0.40144021921790196,-0.015345549583471563,-0.274149388185703,-0.01701303078474159,-0.3043829432931713,0.0016674812012700269
NORMAL,BULL,raw_fallback,262,2013-07-26,2014-12-11,0.78587786259542,0.7854198473282444,0.7621374045801528,0.37287477155052523,0.37389084426298874,,0.23383872111976234,-0.1534648695307067,0.26554637527236835,-0.17565200554961202,-0.03170765415260601
NORMAL,NEUTRAL,00_30,41,2015-06-29,2026-02-03,0.9441463414634147,0.9409756097560977,0.7800000000000001,0.29546750304175584,0.3329619280325521,0.1665237624134711,0.016012400369805446,-0.024901370994904526,0.017563227799081593,-0.02605570048007322,-0.001550827429276147
NORMAL,NEUTRAL,30_50,35,2015-07-13,2025-02-27,0.9711428571428572,0.9720000000000001,0.7800000000000001,0.4429737232412611,0.4845650148215802,0.4046814981460651,0.009885488961953515,-0.0416891605819395,0.009632456846902171,-0.04168916058193939,0.0002530321150513437
NORMAL,NEUTRAL,raw_fallback,27,2013-07-24,2014-04-23,0.9866666666666667,0.9762962962962963,0.7170370370370369,0.4667365049322446,0.43800717570824227,,0.022686653122722777,-0.061371029983645964,0.022160783482159774,-0.06137102998364585,0.0005258696405630037
RISK_OFF,BEAR,85_95,196,2015-08-03,2026-04-08,0.7334693877551022,0.7154081632653062,0.5,0.748825839055436,0.730754222903232,0.8953936406438852,0.0032868762443125643,-0.19770017591114009,-0.002514916843571302,-0.2274273935473199,0.005801793087883866
RISK_OFF,BEAR,raw_fallback,55,2013-01-02,2013-05-20,0.7290909090909087,0.7309090909090907,0.4254545454545457,0.7857460959933019,0.7822888962132506,,0.09653160562325236,-0.05682526890850903,0.15878400696265382,-0.08484822224386757,-0.062252401339401464
RISK_OFF,BULL,85_95,74,2015-01-07,2024-08-09,0.6039189189189189,0.5594594594594593,0.5499999999999998,0.7430166042535692,0.6863979750373823,0.8898298606123539,0.008787932711817659,-0.1072533747340979,0.01871464914730203,-0.16292416346569238,-0.009926716435484373
RISK_OFF,BULL,raw_fallback,3,2013-05-23,2013-05-28,0.7600000000000001,0.68,0.4533333333333333,0.7258645524581274,0.7519649964065827,,0.8578493012460553,0.0,1.8508390934354528,0.0,-0.9929897921893975
RISK_OFF,NEUTRAL,85_95,15,2016-04-27,2026-03-03,0.5673333333333334,0.548,0.5,0.7347004474202792,0.668987057376985,0.9093474426807758,0.006135565116323738,-0.011357393835997875,0.011466236239318528,-0.016734592147106486,-0.00533067112299479
RISK_OFF,NEUTRAL,raw_fallback,2,2013-05-21,2013-05-22,0.8000000000000002,0.8000000000000002,0.42,0.7566331222653389,0.7719000128064523,,1.4295991439937787,0.0,1.9452918594884503,0.0,-0.5156927154946715
WATCH,BEAR,50_70,133,2015-07-22,2026-01-21,0.9025563909774437,0.8806015037593985,0.7199999999999999,0.5483573135520731,0.5650848304080225,0.6053528790648497,0.029603773068650252,-0.12102723640386803,0.034022586856650605,-0.13838728906948483,-0.004418813788000353
WATCH,BEAR,raw_fallback,56,2013-01-09,2014-02-25,0.8442857142857143,0.8307142857142856,0.5485714285714286,0.6677280208362001,0.6744267006661381,,-0.18453969776877654,-0.26028409249213924,-0.21781931657704467,-0.2946181012650442,0.03327961880826813
WATCH,BULL,50_70,383,2015-01-13,2026-04-30,0.812610966057441,0.8064490861618797,0.7699999999999999,0.5087886047347719,0.496452435055378,0.5972585465696959,0.01175224423597987,-0.28064649270837905,0.012784541336137156,-0.33221694410212177,-0.0010322971001572867
WATCH,BULL,raw_fallback,59,2013-05-29,2014-12-31,0.633220338983051,0.6386440677966103,0.5850847457627122,0.6108444726315596,0.6100421223263566,,0.006261241199897238,-0.05067930397258302,0.014557822985358237,-0.06995520838919689,-0.008296581785460999
WATCH,NEUTRAL,50_70,65,2015-01-21,2026-04-21,0.9133846153846154,0.8938461538461537,0.7199999999999999,0.5263762018313775,0.5076846148682657,0.6105796456930298,0.02066105012053221,-0.10984791519312298,0.020336044989820667,-0.12764847160182202,0.000325005130711542
