allocation_regime,count,pct,ann_return_est,ann_vol_est,mean_daily_return,win_rate,avg_stock_weight,avg_bond_weight,avg_cash_weight,avg_turnover,annual_turnover_est,rebalance_ratio,emergency_rebalance_ratio,avg_prob_high_vol,avg_prob_down_risk,actual_high_vol_rate,actual_down_high_vol_rate
NORMAL,1281,0.38159070598748884,0.403812819831342,0.18848825956500817,0.0014171778975936614,0.5472287275565965,0.8515378610460579,0.09650039032006247,0.05196174863387977,0.031163153786104607,7.853114754098361,0.5925058548009368,0.0,0.40698373514362746,0.46379536900552837,0.3294301327088212,0.09836065573770492
CUSTOM,1165,0.3470360440869824,0.1332283770231415,0.23714337726582418,0.0006076917205305355,0.5098712446351932,0.8262317596566523,0.11294935622317598,0.06081888412017166,0.0,0.0,0.16995708154506436,0.024892703862660945,0.45721581345141216,0.47588505862801345,0.4248927038626609,0.24034334763948498
WATCH,629,0.18736967530533213,-0.08840551650386952,0.22604248284111425,-0.0002653431488013294,0.5119236883942766,0.7144674085850555,0.1855961844197139,0.09993640699523051,0.03758346581875994,9.471033386327504,0.44992050874403816,0.0,0.592828643941562,0.4904974370876942,0.5262321144674086,0.34022257551669316
RISK_OFF,148,0.04408698242478403,0.49929042794277234,0.21549725687479399,0.001699530416278008,0.5202702702702703,0.43864864864864866,0.36487837837837844,0.196472972972973,0.07135135135135136,17.98054054054054,0.30405405405405406,0.12837837837837837,0.7906193602368571,0.4688343128691666,0.75,0.35135135135135137
HIGH_VOL,78,0.02323503127792672,0.37708954708279885,0.1415732392439549,0.0013097646602938887,0.5641025641025641,0.5200000000000002,0.31200000000000006,0.1679999999999999,0.0,0.0,0.08974358974358974,0.0,0.6952313388790584,0.500281950204896,0.5512820512820513,0.19230769230769232
EXTREME_RISK,56,0.01668156091748585,0.09911865114385976,0.11472096704160957,0.0004007484215827117,0.5714285714285714,0.3000000000000001,0.455,0.24500000000000005,0.0042857142857142825,1.0799999999999992,0.4107142857142857,0.21428571428571427,0.91443755411178,0.6022316892774041,0.75,0.3392857142857143
