policy1_signal_regime,mid_trend_state,ph_rank_bin_756,count,start_date,end_date,avg_stock_weight,avg_signal_stock_weight,avg_base_stock_weight,avg_ph_raw,avg_ph_ewma,avg_ph_rank,strategy_ann_return,strategy_mdd,bh_ann_return,bh_mdd,bh_gap_ann_return
EXTREME_RISK,BEAR,85_95,5,2016-02-16,2018-04-24,0.35,0.35,0.52,0.8830561983585359,0.864976443384848,0.943121693121693,-0.000620709878751291,-0.010005377641367996,-0.003318542436635097,-0.02247123986600008,0.002697832557883806
EXTREME_RISK,BEAR,95_100,151,2015-05-06,2024-09-10,0.38072847682119215,0.3715231788079471,0.42,0.8736603219974911,0.8501799705763121,0.9797210114408401,0.009785338016097711,-0.07698335071477957,0.01964380480665362,-0.15404130514301573,-0.009858466790555909
EXTREME_RISK,BULL,95_100,36,2015-01-05,2021-03-12,0.6072222222222222,0.6072222222222222,0.5,0.7215266992234521,0.6488705988926119,0.9709640743850052,0.0022590256653398644,-0.06838589816949903,0.008007028121207682,-0.09991527258719668,-0.005748002455867818
EXTREME_RISK,NEUTRAL,85_95,2,2018-04-02,2018-04-06,0.88,0.7100000000000001,0.52,0.8830189034342766,0.8079336588834671,0.9437830687830688,33.68238022328407,0.0,55.911283367758394,0.0,-22.228903144474323
EXTREME_RISK,NEUTRAL,95_100,8,2015-05-05,2019-06-12,0.7449999999999999,0.5900000000000001,0.42,0.8144629213958979,0.760142786711595,0.9769108178500232,-0.0012444397976533184,-0.01376035266291964,-0.003287776265928244,-0.025189631335841622,0.0020433364682749255
HIGH_VOL,BEAR,70_85,131,2016-01-06,2025-05-06,0.5983206106870229,0.5670229007633586,0.62,0.7678768285358226,0.7639326041187919,0.7807060058968455,0.002428618010752892,-0.15953437235402235,0.006814433333832914,-0.21494941722765404,-0.004385815323080022
HIGH_VOL,BULL,85_95,104,2015-01-02,2026-03-27,0.7250000000000001,0.7523076923076921,0.5999999999999999,0.7538830276292104,0.6981533474326471,0.89588663130965,0.0066796046405623866,-0.10962447123469465,0.010483088145974095,-0.14299881859331554,-0.003803483505411709
HIGH_VOL,NEUTRAL,70_85,44,2016-03-03,2026-04-02,0.7779545454545452,0.8109090909090907,0.6200000000000001,0.6941513803872196,0.6920883433815651,0.7637385762385764,0.013613936485853628,-0.08568872450292842,0.01350312596015324,-0.10547880331243886,0.00011081052570038885
NORMAL,BEAR,00_30,1,2025-02-25,2025-02-25,0.68,0.68,0.68,0.2487349987030029,0.3936993510823662,0.07671957671957672,-0.999965420278724,0.0,-0.9999997280771793,0.0,3.4307798455257554e-05
NORMAL,BEAR,30_50,45,2022-07-28,2025-05-22,0.9691111111111113,0.9688888888888889,0.68,0.5065884280204774,0.5481645590756214,0.43500881834215177,0.0007325584986150879,-0.13674309558468967,0.007531348896689716,-0.13261056582593744,-0.006798790398074628
NORMAL,BEAR,raw_fallback,3,2013-08-27,2013-09-03,0.82,0.86,0.86,0.1346038231005271,0.14953970741022884,,4.923486052071784,0.0,8.377325877259576,0.0,-3.453839825187792
NORMAL,BULL,00_30,627,2016-10-10,2026-05-07,0.9134928229665074,0.9249122807017545,0.9200000000000003,0.2825021950121036,0.3116650420225939,0.16139886753921842,0.136237269278781,-0.1440392735361513,0.1496493073202343,-0.1545215993988921,-0.0134120380414533
NORMAL,BULL,30_50,561,2015-02-25,2026-05-04,0.9069875222816398,0.9124420677361855,0.9000000000000001,0.38764679454625606,0.3981548379081204,0.39731255701275103,0.00019194343603401443,-0.35766180090169586,0.002470662514981292,-0.37640203118257276,-0.0022787190789472778
NORMAL,BULL,raw_fallback,473,2013-01-02,2014-12-31,0.8368287526427063,0.8421141649048627,0.8392389006342496,0.20316585401588966,0.20187876021736917,,0.19977852284334308,-0.09557485716158798,0.23331452408939923,-0.12267910310856833,-0.03353600124605616
NORMAL,NEUTRAL,00_30,12,2021-10-14,2025-02-26,0.9666666666666667,0.98,0.7799999999999999,0.32745775332053506,0.40487886311192406,0.1951058201058201,0.007256787288193678,-0.044811727226430675,0.008564014543721132,-0.044811727226430675,-0.0013072272555274544
NORMAL,NEUTRAL,30_50,22,2018-08-24,2025-05-23,0.9818181818181819,0.9600000000000001,0.78,0.44003396823324936,0.49442403222987025,0.3947811447811448,0.009393658589857745,-0.0824729173018951,0.009020250358324766,-0.08479582824639864,0.000373408231532979
NORMAL,NEUTRAL,raw_fallback,6,2013-08-23,2014-10-09,0.8133333333333334,0.82,0.82,0.27384214363992215,0.25906130665028915,,-0.042779880647955126,-0.0389913833007568,-0.05278285616014422,-0.048010936267299686,0.010002975512189094
RISK_OFF,BEAR,85_95,202,2015-07-06,2025-04-03,0.45935643564356443,0.4660891089108913,0.5199999999999999,0.8337777728639028,0.8197679378769268,0.910624778795772,-0.0008197110065343294,-0.13777144600878155,0.0022536849079466403,-0.23794477744535347,-0.0030733959144809697
RISK_OFF,BEAR,raw_fallback,2,2014-10-22,2014-10-23,0.45,0.45,0.52,0.7605052903294565,0.7412710728171155,,1.285095696187355,0.0,5.286373717343712,0.0,-4.001278021156357
RISK_OFF,NEUTRAL,85_95,25,2015-06-29,2026-03-30,0.6564,0.5920000000000001,0.52,0.7998799442648888,0.7640941035745982,0.9015253709282076,0.010221578893928163,-0.02067372300436965,0.016684772352395516,-0.02067372300436976,-0.006463193458467353
WATCH,BEAR,50_70,108,2018-06-28,2025-05-09,0.9050925925925924,0.964074074074074,0.6800000000000002,0.6383138860265413,0.6428437148174057,0.6196600039192632,0.054471777389107245,-0.1253080438712576,0.05360986114303867,-0.15758228098686788,0.0008619162460685725
WATCH,BEAR,raw_fallback,11,2014-10-10,2014-10-30,0.6836363636363637,0.7345454545454545,0.549090909090909,0.7279608049175956,0.6733948385284882,,3.2702616365229185,-0.011486347181700274,7.970048446692685,-0.014330950939987819,-4.699786810169766
WATCH,BULL,50_70,441,2015-02-20,2026-04-06,0.8311564625850341,0.8291609977324265,0.8,0.5125649680736181,0.5057529020039193,0.5993742126391518,0.01224572766918497,-0.2920185142641445,0.013948686905604468,-0.34881392271610245,-0.001702959236419499
WATCH,BULL,raw_fallback,9,2014-10-28,2014-11-10,0.9777777777777779,0.9777777777777779,0.5911111111111111,0.5492689087986945,0.5988343360012717,,0.5918236860666797,-0.017365623844378786,0.6891278719806926,-0.017551810682097102,-0.09730418591401291
WATCH,NEUTRAL,50_70,43,2016-05-18,2025-05-30,0.9272093023255813,0.9604651162790697,0.7199999999999999,0.5930966540477997,0.5894529077946592,0.6157868832287436,0.015630215678369197,-0.06402187623909916,0.013604574075707143,-0.07935055101946242,0.002025641602662054
WATCH_BULL_VOL,BULL,70_85,285,2015-02-12,2026-03-25,0.7446315789473685,0.7258245614035089,0.7000000000000002,0.6328963731333875,0.6040386727221924,0.7653457829447593,0.01304232864155308,-0.12271076535786363,0.014840655166422634,-0.17635128862715543,-0.0017983265248695535
