section,count,pct,rebalance_type,trade_day_ratio,avg_turnover,annual_turnover_est,total_turnover,avg_trade_size_on_trade,max_turnover,cost_sum,allocation_regime
by_rebalance_type,141,0.0420017873100983,emergency,0.28368794326241137,0.09730496453900707,24.52085106382978,13.719999999999997,0.3429999999999999,0.9999999999999999,0.013719999999999998,
by_rebalance_type,2312,0.6887101578790586,no_rebalance,0.02162629757785467,0.008581314878892734,2.162491349480969,19.840000000000003,0.39680000000000004,0.7600000000000002,0.019840000000000003,
by_rebalance_type,904,0.269288054810843,scheduled_or_initial,0.25110619469026546,0.07026548672566371,17.706902654867257,63.519999999999996,0.2798237885462555,1.08,0.06352,
by_regime,1479,0.44057193923145666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime,380,0.11319630622579684,,0.05526315789473684,0.013263157894736826,3.34231578947368,5.039999999999994,0.23999999999999963,0.2399999999999997,0.005039999999999994,EXTREME_RISK
by_regime,73,0.021745606196008342,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGH_VOL
by_regime,605,0.18022043491212392,,0.21818181818181817,0.05467768595041322,13.77877685950413,33.08,0.2506060606060606,0.52,0.03308,NORMAL
by_regime,296,0.08817396484956806,,0.22297297297297297,0.10729729729729731,27.038918918918924,31.760000000000005,0.4812121212121213,0.9999999999999999,0.031760000000000004,RISK_OFF
by_regime,524,0.15609174858504618,,0.18702290076335878,0.051908396946564885,13.08091603053435,27.2,0.2775510204081632,1.08,0.0272,WATCH
by_regime_rebalance_type,11,0.0032767351802204347,emergency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime_rebalance_type,1220,0.3634197199880846,no_rebalance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime_rebalance_type,248,0.07387548406315163,scheduled_or_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime_rebalance_type,75,0.022341376228775692,emergency,0.13333333333333333,0.031999999999999966,8.063999999999991,2.3999999999999972,0.2399999999999997,0.2399999999999997,0.0023999999999999968,EXTREME_RISK
by_regime_rebalance_type,250,0.07447125409591898,no_rebalance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EXTREME_RISK
by_regime_rebalance_type,55,0.016383675901102176,scheduled_or_initial,0.2,0.047999999999999945,12.095999999999986,2.639999999999997,0.23999999999999974,0.2399999999999997,0.002639999999999997,EXTREME_RISK
by_regime_rebalance_type,69,0.020554066130473638,no_rebalance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGH_VOL
by_regime_rebalance_type,4,0.0011915400655347036,scheduled_or_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGH_VOL
by_regime_rebalance_type,285,0.08489722966934764,no_rebalance,0.11228070175438597,0.03256140350877194,8.205473684210528,9.280000000000001,0.29000000000000004,0.43999999999999995,0.009280000000000002,NORMAL
by_regime_rebalance_type,320,0.0953232052427763,scheduled_or_initial,0.3125,0.074375,18.7425,23.8,0.23800000000000002,0.52,0.023799999999999998,NORMAL
by_regime_rebalance_type,55,0.016383675901102176,emergency,0.5454545454545454,0.2058181818181818,51.86618181818181,11.319999999999999,0.3773333333333333,0.9999999999999999,0.01132,RISK_OFF
by_regime_rebalance_type,192,0.05719392314566577,no_rebalance,0.06770833333333333,0.047083333333333345,11.865000000000004,9.040000000000003,0.6953846153846155,0.7600000000000002,0.009040000000000003,RISK_OFF
by_regime_rebalance_type,49,0.01459636580280012,scheduled_or_initial,0.46938775510204084,0.2326530612244898,58.62857142857143,11.4,0.4956521739130435,0.9999999999999999,0.0114,RISK_OFF
by_regime_rebalance_type,296,0.08817396484956806,no_rebalance,0.016891891891891893,0.005135135135135134,1.2940540540540537,1.5199999999999996,0.30399999999999994,0.31999999999999984,0.0015199999999999997,WATCH
by_regime_rebalance_type,228,0.0679177837354781,scheduled_or_initial,0.40789473684210525,0.11263157894736842,28.38315789473684,25.68,0.27612903225806446,1.08,0.025679999999999994,WATCH
