start_date,trough_date,recovery_date,depth,duration_days,days_to_trough,avg_stock_weight,avg_prob_high_vol,avg_prob_down_risk,trough_regime
2021-11-17,2022-12-23,2023-07-13,-0.258875050965359,413,277,0.620144927536232,0.5356755524709411,0.5465709653516324,NORMAL
2025-02-14,2025-04-04,2025-06-24,-0.16333488294740162,88,34,0.6519101123595505,0.47921642310492935,0.4084840436652073,WATCH
2020-02-14,2020-03-12,2020-04-15,-0.14583738685310377,41,18,0.5795238095238096,0.5991936548254115,0.240133890924023,RISK_OFF
2018-08-29,2018-12-20,2019-03-29,-0.13673080048679342,145,78,0.6123287671232878,0.5579666332695172,0.477029928976364,HIGH_VOL
2015-07-16,2015-08-21,2016-08-11,-0.10403228836072542,271,26,0.6300735294117646,0.540693739569695,0.46392871175847294,NORMAL
2020-08-31,2020-10-28,2021-01-15,-0.10277948238816315,95,41,0.6262500000000001,0.5445009390032677,0.22650007083027288,HIGH_VOL
2023-07-17,2023-10-24,2023-11-16,-0.09346424769287331,87,70,0.7754545454545455,0.3488467077396784,0.30067122923154055,NORMAL
2021-02-10,2021-03-04,2021-04-09,-0.09033935841401464,40,15,0.7614634146341464,0.37447945250380177,0.20780514415988463,NORMAL
2025-10-27,2026-03-26,2026-04-14,-0.07971222027777924,115,103,0.5853448275862065,0.5860373425894656,0.2061426099412243,WATCH
2024-07-08,2024-08-05,2024-11-05,-0.07217759468133411,85,20,0.6393023255813954,0.5330361114112342,0.2759724655760954,WATCH
