period,strategy_net,strategy_gross,stock_buy_hold,bond,cash,avg_stock_weight,turnover_sum,max_drawdown_inside_period
2013-12-31,0.21279521632262233,0.21448995450627129,0.31121049593864436,-0.04857395574489032,-0.0006547015268942857,0.7721428571428572,1.4,-0.05229096215380136
2014-12-31,0.16926822997065472,0.17511778343106643,0.1886434231412646,0.09927124334137982,-0.0008738519705122627,0.7366666666666667,5.0,-0.048414927841378796
2015-12-31,0.10601642680815515,0.1165594980601572,0.0886005327528836,0.0078017539898695976,-0.001092804547589199,0.6737301587301588,9.52,-0.09298301862657399
2016-12-31,0.10580234218522189,0.11482570082083421,0.11178102591787353,0.006685635295242465,0.0013132560107307345,0.7538888888888889,8.12,-0.07313923723109539
2017-12-31,0.22407571664771364,0.2279967501894351,0.34361168101407547,0.02251453041529472,0.006781189747477878,0.7119521912350597,3.2,-0.03556743478931068
2018-12-31,0.017004390512045386,0.026818522653075938,-0.05589037143655151,0.022378303448774117,0.017261954074331953,0.5786454183266933,9.600000000000001,-0.0932404986380504
2019-12-31,0.2519904950133427,0.2629334886192811,0.44136303792548204,0.08164724978628124,0.020431105768957236,0.713809523809524,8.719999999999999,-0.05936531431854475
2020-12-31,0.288147157291357,0.2982812008305298,0.4643548974203473,0.08546455552129073,0.0035465276665194168,0.5261660079051383,7.879999999999999,-0.1124825971269432
2021-12-31,0.2136445421594979,0.221509224529435,0.2774323344819569,-0.04077795951454233,-0.0008738044266638489,0.6842857142857143,6.4799999999999995,-0.06518005783823577
2022-12-31,-0.2718635375624475,-0.26005133291491367,-0.32479532296859537,-0.12980277349153202,0.014045240360711864,0.5039043824701195,16.04,-0.2682352171846898
2023-12-31,0.3766840187626157,0.3833571511428817,0.509303064952187,0.01919163384614908,0.049908071971383805,0.784,4.84,-0.10182853539810333
2024-12-31,0.2088804321017581,0.21464209200674422,0.30962200117608285,-0.006076656424499727,0.051815198324655976,0.7876190476190477,4.76,-0.11570243066086727
2025-12-31,0.10610571974115013,0.11244440426965974,0.19774032512067086,0.08385130485222558,0.0415851958879101,0.66224,5.72,-0.12497621431530537
2026-12-31,0.12852928116856854,0.13399600283428925,0.15566497240960775,-0.005333643136359978,0.012215818867787442,0.7829885057471265,4.84,-0.09623477588436447
