section,segment,count,pct,win_rate,mean_daily_return,ann_return_est,ann_vol_est,avg_stock_weight,avg_turnover,avg_prob_high_vol,avg_up_strength_score,avg_down_strength_score,avg_offensive_tier,avg_full_stock_rate,avg_tier3_rate
allocation_regime,WATCH,542,0.16145367887995235,0.559040590405904,0.0007904528727790281,0.20721582602682265,0.14710664272528076,0.7164575645756457,0.05217712177121771,0.5947711643870649,0.29552423707615033,0.3814767586705339,0.9686346863468634,0.06826568265682657,0.3044280442804428
allocation_regime,CUSTOM,1441,0.429252308608877,0.5725190839694656,0.0007277794180672448,0.19252590632945998,0.12048389978234776,0.8361693268563498,0.0,0.2681154660588664,0.1464760745873103,0.32897105543277805,0.21512838306731435,0.0,0.0
allocation_regime,EXTREME_RISK,379,0.11289842120941317,0.5593667546174143,0.00047199924995558717,0.11894106928473258,0.11454374965041542,0.30000000000000016,0.01329815303430078,0.9042598821352729,0.5165965977905166,0.2577730362182234,0.0079155672823219,0.0,0.0
allocation_regime,NORMAL,622,0.18528448019064642,0.5498392282958199,0.0004102444566627269,0.10008441232519272,0.12626274699236653,0.8260771704180063,0.053697749196141474,0.38619311260188627,0.2935683807039478,0.32311532489432226,1.0707395498392283,0.2958199356913183,0.342443729903537
allocation_regime,RISK_OFF,299,0.0890676198987191,0.5518394648829431,0.0002956507190076288,0.069023270509456,0.12462654118484472,0.44862876254180595,0.10662207357859532,0.8116939960988496,0.41913996511736135,0.35725089611242333,0.18394648829431437,0.0,0.0
allocation_regime,HIGH_VOL,74,0.022043491212392016,0.5675675675675675,0.0001597340406413538,0.03434114674434463,0.11434836615231427,0.52,0.0,0.7069860773305395,0.15127107018100666,0.5042087949809256,0.10810810810810811,0.0,0.0
custom_breakdown,custom_tier1_only,151,0.04498063747393506,0.6026490066225165,0.002090346861609541,0.6747298547631384,0.14619650823065417,0.8279470198675495,0.0,0.6182945582408013,0.5110420334786376,0.2308443274486409,1.1456953642384107,0.0,0.0
custom_breakdown,custom_short_mid_no_lite_tier3_full,49,0.01459636580280012,0.4897959183673469,0.0010371051918933382,0.2869383377484782,0.13529337644203493,0.9,0.0,0.4877370560255083,0.43361344774308086,0.27620143310460343,1.8571428571428572,0.0,0.0
custom_breakdown,custom_all,1441,0.429252308608877,0.5725190839694656,0.0007277794180672448,0.19252590632945998,0.12048389978234776,0.8361693268563498,0.0,0.2681154660588664,0.1464760745873103,0.32897105543277805,0.21512838306731435,0.0,0.0
custom_breakdown,custom_no_strength_signal,1236,0.3681858802502234,0.5711974110032363,0.0005521981869555359,0.14155364249602798,0.11589996352820281,0.8342071197411003,0.0,0.21596070482649368,0.08940678337435085,0.343254602148333,0.02750809061488673,0.0,0.0
custom_breakdown,custom_full_stock,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
custom_breakdown,custom_tier3_no_full,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
custom_breakdown,custom_lite_no_tier3_full,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
custom_breakdown,custom_tier2_only,5,0.0014894250819183796,0.8,-4.9469629591404954e-05,-0.026944925222898264,0.19186711965531278,0.944,0.0,0.4330722771338561,0.43016664698624957,0.2786477912846722,2.4,0.0,0.0
normal_breakdown,normal_other_offensive,222,0.06613047363717604,0.5900900900900901,0.0008260458716121223,0.2177100760560613,0.14921315136457314,0.9867567567567568,0.018198198198198203,0.3561326001607695,0.6083384678909344,0.18182658031780613,2.9279279279279278,0.8288288288288288,0.9594594594594594
normal_breakdown,normal_all,622,0.18528448019064642,0.5498392282958199,0.0004102444566627269,0.10008441232519272,0.12626274699236653,0.8260771704180063,0.053697749196141474,0.38619311260188627,0.2935683807039478,0.32311532489432226,1.0707395498392283,0.2958199356913183,0.342443729903537
normal_breakdown,normal_no_offensive,400,0.11915400655347036,0.5275,0.00017947467136581244,0.03977790069403753,0.11154696722923654,0.7369,0.07339999999999999,0.4028766970067062,0.1188709823151703,0.40153057813428866,0.04,0.0,0.0
normal_breakdown,normal_custom_lite,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offensive_tier,tier_1,290,0.08638665475126601,0.5827586206896552,0.0015207943316629543,0.4505846100110298,0.14860041295585466,0.7624137931034481,0.0766896551724138,0.60494673739619,0.4715190000742364,0.2528692565192376,1.0,0.0,0.0
offensive_tier,tier_3,401,0.11945189156985403,0.5810473815461347,0.0013609332561334245,0.3895144404820374,0.1661457905133353,0.9825436408977556,0.04239401496259352,0.4559053960704271,0.6037196363909746,0.19278220476172195,3.0,0.5511221945137157,0.942643391521197
offensive_tier,tier_2,37,0.011021745606196008,0.4864864864864865,0.0010315262791014937,0.2752807138271993,0.1855619311423717,0.8400000000000001,0.08756756756756756,0.5882190840107475,0.5333242751701777,0.23108119288017948,2.0,0.0,0.0
offensive_tier,tier_0,2629,0.783139708072684,0.5587675922403956,0.00037523932523040796,0.09200425158021686,0.11418351209557638,0.6645872955496387,0.02134651958919741,0.45897440845748916,0.18546505504143346,0.3668402902315119,0.0,0.0,0.0
