ticker,returncode,source_predictions,result_dir,final_capital,cagr,mdd,sharpe,sortino,calmar,avg_stock_weight,turnover,ph_context_available_rate,asset_class
QQQ,0,results_v8_6_40b_clean_compare\qqq\qqq_xgb_recency_weighted_v8_6_40b_predictions.csv,results_v8_6_40d_policy1_from_clean\qqq,729267433.3402557,0.1605842420671224,-0.2936041242021713,1.176444213920919,1.5879320933721917,0.5469413704711673,0.7524545725350015,8.881930294906168,0.8498659517426274,broad_index
SPY,0,results_v8_6_40b_clean_compare\spy\spy_xgb_recency_weighted_v8_6_40b_predictions.csv,results_v8_6_40d_policy1_from_clean\spy,352584807.43829256,0.099055188729261,-0.22480142124503544,0.9662855853842457,1.234218181740915,0.44063417473366423,0.7413762287756926,8.41651474530831,0.8498659517426274,broad_index
AAPL,0,results_v8_6_40b_clean_compare\aapl\aapl_xgb_recency_weighted_v8_6_40b_predictions.csv,results_v8_6_40d_policy1_from_clean\aapl,1251421758.5757716,0.20852212998479325,-0.30168108574348107,0.9722857633199753,1.3750736203959177,0.6912005420256916,0.8213851653261841,7.6343163538873995,0.8498659517426274,mega_cap
SOXX,0,results_v8_6_40b_clean_compare\soxx\soxx_xgb_recency_weighted_v8_6_40b_predictions.csv,results_v8_6_40d_policy1_from_clean\soxx,1968387411.5047154,0.25025482922031683,-0.3305984322398171,1.0812234925762658,1.4696613068985531,0.7569752449363741,0.798885910038725,7.185415549597855,0.8498659517426274,sector_etf
NVDA,0,results_v8_6_40b_clean_compare\nvda\nvda_xgb_recency_weighted_v8_6_40b_predictions.csv,results_v8_6_40d_policy1_from_clean\nvda,26785570715.761032,0.5204791350425748,-0.6148389519922672,1.2680346738959445,1.8277960074101167,0.8465292144488608,0.8505212987786713,6.963217158176943,0.8498659517426274,high_vol_growth
