ticker,ph_rank_bin_756,mid_trend_state,count,start_date,end_date,avg_stock_weight,avg_base_signal_stock_weight,avg_signal_stock_weight,avg_ph_raw,avg_ph_ewma,avg_ph_rank_504,avg_ph_rank_756,avg_ph_z_756,avg_up_strength_score,avg_down_strength_score,offensive_activation_rate,tier3_rate,ph_context_available_rate_756,strategy_ann_return,strategy_mdd,strategy_gross_ann_return,bh_ann_return,bh_mdd,bh_gap_ann_return
QQQ,00_30,BEAR,24,2022-07-29 00:00:00,2023-11-02 00:00:00,0.9516666666666667,0.7316666666666666,0.975,0.3584065170027316,0.4112147781499851,0.18733465608465608,0.19042107583774248,-1.0607082773316332,0.5834553805549917,0.21790083470706892,1.0,0.9166666666666666,1.0,0.056795302069709175,-0.04632408614999717,0.063021787059923,-0.09356298916745853,-0.04780867060703553,0.1503582912371677
QQQ,00_30,BULL,770,2015-02-13 00:00:00,2026-05-07 00:00:00,0.8367012987012987,0.8257142857142856,0.8447792207792209,0.22893756075484023,0.26098416349922593,0.14525097917955063,0.14776639853942503,-1.1880915575251043,0.15788561426604847,0.31209882138119754,0.11948051948051948,0.09090909090909091,1.0,0.16100062500995627,-0.10525838272991905,0.16431590378868166,0.17816369923072095,-0.13973495450160256,-0.017163074220764685
QQQ,00_30,NEUTRAL,11,2016-06-07 00:00:00,2024-04-24 00:00:00,0.9836363636363636,0.7472727272727273,0.9800000000000001,0.3209014295177026,0.3780113886943472,0.19462481962481962,0.18001443001443002,-1.0846044506066173,0.6437912746056152,0.19093467422715743,0.9090909090909091,0.9090909090909091,1.0,1.0884700671249616,-0.014505154820096178,1.0960278927345106,1.1824930711552026,-0.014505154820095956,-0.094023004030241
QQQ,30_50,BEAR,17,2016-06-15 00:00:00,2026-03-17 00:00:00,0.8647058823529412,0.6611764705882353,0.8741176470588234,0.4744088850915432,0.5101439349765795,0.3545751633986928,0.3721599751011516,-0.38877103379581723,0.5743328540030923,0.24105146430821117,0.8823529411764706,0.5882352941176471,1.0,0.7264652372229177,-0.024475891148042717,0.770654926805739,1.171816625128844,-0.024475891148042717,-0.4453513879059263
QQQ,30_50,BULL,571,2015-02-11 00:00:00,2026-04-24 00:00:00,0.7730297723292469,0.7349562171628723,0.7766374781085815,0.39189020646328265,0.4056875983819859,0.4173512078503322,0.4005863357283533,-0.430668120670597,0.17715473156554024,0.36177157058868176,0.15236427320490367,0.1190893169877408,1.0,0.08087969040287235,-0.19494515454451122,0.08575347023588265,0.06173837026169049,-0.3129150644490799,0.01914132014118186
QQQ,30_50,NEUTRAL,11,2016-06-13 00:00:00,2024-09-13 00:00:00,0.9418181818181818,0.72,0.9345454545454547,0.3736949640241537,0.42380980166751153,0.35660173160173164,0.3781866281866282,-0.5066195298141302,0.592105480763541,0.2174876814310002,0.9090909090909091,0.7272727272727273,1.0,-0.306917751763648,-0.046255177095448574,-0.3018197009251504,-0.2794093159101162,-0.04830671512678575,-0.0275084358535318
QQQ,50_70,BEAR,48,2016-06-22 00:00:00,2026-04-08 00:00:00,0.6866666666666666,0.5025000000000001,0.7595833333333334,0.6697516329586506,0.7016602307524643,0.5948247354497355,0.6151895943562611,0.4317201257258676,0.6178691411908592,0.20017331165576932,0.7916666666666666,0.2708333333333333,1.0,0.3689267741761191,-0.04817771721967301,0.40056933402617156,0.09187126009876612,-0.12659104268920307,0.27705551407735296
QQQ,50_70,BULL,437,2015-03-06 00:00:00,2026-04-14 00:00:00,0.709107551487414,0.6538215102974826,0.706086956521739,0.5347703522450591,0.5233803762194185,0.5890314554502197,0.606145187175026,0.24607192479121387,0.21611831571846735,0.3912974593383379,0.16704805491990846,0.12585812356979406,1.0,0.11786983036183485,-0.07208195724046629,0.1271924579418342,0.19336838993966632,-0.08601174352248675,-0.07549855957783147
QQQ,50_70,NEUTRAL,38,2016-03-23 00:00:00,2026-04-13 00:00:00,0.8336842105263159,0.5700000000000001,0.8615789473684211,0.5945999959189642,0.6297760540350958,0.6202485380116959,0.6080827067669172,0.31776234768955297,0.5918482308236904,0.21754466611922849,0.868421052631579,0.5526315789473685,1.0,0.6913114939591503,-0.0386640415850682,0.710593586200005,0.792237544195123,-0.04163952477266364,-0.10092605023597279
QQQ,70_85,BEAR,129,2015-07-09 00:00:00,2026-03-19 00:00:00,0.6161240310077519,0.4372093023255813,0.6232558139534884,0.7905320691854454,0.782624308856523,0.8052633197982035,0.7878688623354422,1.077273263879915,0.6088676080311274,0.18603364835666264,0.5193798449612403,0.13178294573643412,1.0,0.0923646410116965,-0.16998520022615804,0.11220711753943657,0.3160109262999766,-0.22456278038959654,-0.22364628528828012
QQQ,70_85,BULL,214,2015-01-02 00:00:00,2026-01-20 00:00:00,0.6182242990654206,0.5679439252336448,0.6139252336448598,0.6751266004952872,0.6326834061851232,0.7436025812194035,0.7670718686727176,0.9267665692310673,0.22075692688026552,0.4463802700568358,0.13551401869158877,0.06542056074766354,1.0,0.06403458015074892,-0.09540858813896069,0.0751201653971374,0.008834843780231694,-0.14906672616689987,0.05519973637051723
QQQ,70_85,NEUTRAL,37,2015-07-08 00:00:00,2026-02-25 00:00:00,0.757837837837838,0.524864864864865,0.7540540540540542,0.7154462370518092,0.6840709907165756,0.7184148434148435,0.7664857995585864,0.9627661983482049,0.4937764151256324,0.26808051893496737,0.7027027027027027,0.2972972972972973,1.0,0.944344614421111,-0.040437054408650974,0.9891953426254889,1.490329669743637,-0.04648833267689334,-0.5459850553225261
QQQ,85_95,BEAR,177,2015-09-16 00:00:00,2026-04-07 00:00:00,0.5090395480225989,0.3900564971751412,0.5149152542372881,0.8371597389548512,0.8208326236094461,0.9039772217738319,0.9012348365414716,1.4283593473861613,0.6121385840482203,0.17426840149090844,0.3389830508474576,0.11299435028248588,1.0,0.029499817292550023,-0.0919047686499711,0.04660318387590601,-0.01248501775423183,-0.16414156813284364,0.041984835046781854
QQQ,85_95,BULL,108,2015-01-08 00:00:00,2026-02-11 00:00:00,0.5366666666666666,0.4955555555555555,0.5379629629629629,0.7874299086768318,0.711806886922514,0.8798500881834217,0.8954425091480718,1.5631492642050213,0.23630786854914085,0.4396616931491173,0.14814814814814814,0.018518518518518517,1.0,0.14230203388487328,-0.06303808818907275,0.1598026201702749,0.11639438847274297,-0.1950858227784832,0.02590764541213031
QQQ,85_95,NEUTRAL,25,2015-02-02 00:00:00,2026-02-18 00:00:00,0.6512,0.4952,0.6616,0.786077761054039,0.7129111537604359,0.8751587301587301,0.8974715033780547,1.5589519396218963,0.47167332722791266,0.30642194525740557,0.56,0.0,1.0,1.0298297577431086,-0.009302519283877153,1.0502996525980919,2.66903801319964,-0.013653160900286565,-1.6392082554565315
QQQ,95_100,BEAR,176,2015-01-30 00:00:00,2026-03-30 00:00:00,0.43443181818181825,0.36295454545454536,0.42965909090909093,0.8793586646460674,0.8552537408965787,0.9746347402597402,0.9797413116721977,1.7596568531614019,0.6135467178400508,0.17260351163547216,0.18181818181818182,0.017045454545454544,1.0,0.4063784315489507,-0.04353368864690643,0.41902609351748854,0.7336502509333485,-0.12174510938736627,-0.32727181938439776
QQQ,95_100,BULL,46,2015-01-06 00:00:00,2021-03-10 00:00:00,0.455217391304348,0.4182608695652175,0.4304347826086957,0.8653503036369451,0.7930875138279402,0.9674344375431333,0.9759683676100894,1.856654657682437,0.20981674156161517,0.5059333276121053,0.043478260869565216,0.0,1.0,0.7509275625650687,-0.015446254443545193,0.7786984214963291,1.7764275445600384,-0.039165259503003425,-1.0254999819949697
QQQ,95_100,NEUTRAL,14,2015-01-28 00:00:00,2020-03-10 00:00:00,0.6142857142857144,0.41857142857142854,0.6057142857142858,0.8795046965990749,0.7976655836178742,0.9893707482993196,0.98972708121938,1.8839234538229215,0.478196278394823,0.26216694544595437,0.5714285714285714,0.07142857142857142,1.0,-0.12535640168696605,-0.05050389766408481,-0.11592410366035777,-0.8237487108880049,-0.13125317754389287,0.6983923092010389
QQQ,raw_fallback,BEAR,20,2014-04-10 00:00:00,2014-10-22 00:00:00,0.8360000000000001,0.5509999999999999,0.8260000000000002,0.6574960234761239,0.6577581981110858,,,,0.4773231655170912,0.32543299277606946,0.85,0.4,0.0,3.1383757962932517,-0.00415053655608455,3.1969248012800797,4.999226373969286,-0.0051612906553396565,-1.8608505776760342
