period,strategy_net,strategy_gross,stock_buy_hold,bond,cash,avg_stock_weight,turnover_sum,max_drawdown_inside_period
2013-12-31,0.16401026045263034,0.16494192040146993,0.3112097395195692,-0.04857442188968886,-0.0006551147107030086,0.6168650793650793,0.8,-0.04697761773783293
2014-12-31,0.19785607055011822,0.20273419846619523,0.1886435570454459,0.0992716671013385,-0.0008738520608795319,0.6611111111111111,4.08,-0.04323972918627772
2015-12-31,0.16564077431721458,0.17573955804336294,0.08860070358655614,0.007800742585961196,-0.0010932186802764532,0.6518253968253966,8.68,-0.09125484911136927
2016-12-31,0.0899339694666419,0.09846288527529179,0.1117807169740892,0.006686642930804343,0.0013137747819691459,0.7261507936507937,7.800000000000001,-0.07313950636446498
2017-12-31,0.19985651350198919,0.20033558726976497,0.3436115479341797,0.022514526340178698,0.00678129322969534,0.59800796812749,0.39999999999999997,-0.03181278072426508
2018-12-31,0.034111988206532606,0.04066230111681235,-0.055889885316989796,0.022378476501598188,0.017261952300059447,0.5194023904382469,6.3,-0.07159678204707154
2019-12-31,0.23840673527227918,0.24792076144266328,0.44136283731616377,0.08164687523454828,0.020430800581470177,0.6300396825396825,7.66,-0.057367158805138097
2020-12-31,0.16501682661998918,0.17050572604523961,0.46435493701784836,0.08546423538076109,0.0035471224769711984,0.4504347826086957,4.72,-0.12256391970795433
2021-12-31,0.16130999133869217,0.16847199517573008,0.2774321045391819,-0.040777824074255564,-0.0008747907621109441,0.597142857142857,6.16,-0.06473723652695751
2022-12-31,-0.20463638203768386,-0.19952687925424273,-0.3247951115255179,-0.1298024091065897,0.014046137472672804,0.3198406374501992,6.380000000000001,-0.2123011913658306
2023-12-31,0.27940291050394794,0.2884427127911302,0.5093025945424283,0.019191275424191856,0.049908154776778346,0.6744799999999999,7.0600000000000005,-0.10171032746736075
2024-12-31,0.16061765458465604,0.16825161652427933,0.3096221027472712,-0.006076570280455051,0.05181499358537689,0.6328174603174602,6.5600000000000005,-0.07307301797366084
2025-12-31,0.09051135929099008,0.09741337767089764,0.19774032512066775,0.08385130485222447,0.04158510036557317,0.5365599999999999,6.279999999999999,-0.11119970230238829
2026-12-31,0.061075749841222216,0.06583976273178194,0.12593453362244378,-0.004597968220999338,0.01177309487310052,0.7283529411764706,4.4799999999999995,-0.07568575785500398
