from_regime,CUSTOM,EXTREME_RISK,NORMAL,RISK_OFF,WATCH
CUSTOM,0.9484536082474226,0.0,0.030927835051546393,0.005154639175257732,0.015463917525773196
EXTREME_RISK,0.0,0.9515669515669516,0.002849002849002849,0.039886039886039885,0.005698005698005698
NORMAL,0.011663597298956415,0.0,0.9821976672805403,0.003683241252302026,0.0024554941682013503
RISK_OFF,0.0,0.05448717948717949,0.022435897435897436,0.8942307692307693,0.028846153846153848
WATCH,0.02286902286902287,0.0,0.006237006237006237,0.02079002079002079,0.9501039501039501
