from_regime,CUSTOM,EXTREME_RISK,HIGH_VOL,NORMAL,RISK_OFF,WATCH
CUSTOM,0.9139915202907329,0.012113870381586917,0.0,0.03513022410660206,0.014536644457904301,0.024227740763173834
EXTREME_RISK,0.0,0.0,0.0,0.0,1.0,0.0
HIGH_VOL,0.0,0.0,0.72,0.0,0.17,0.11
NORMAL,0.08438818565400844,0.0,0.0,0.8635724331926864,0.0,0.052039381153305204
RISK_OFF,0.20212765957446807,0.0,0.0070921985815602835,0.0,0.7801418439716312,0.010638297872340425
WATCH,0.04391891891891892,0.0,0.04391891891891892,0.06418918918918919,0.0016891891891891893,0.8462837837837838
