asset_class,ph_rank_bin_756,mid_trend_state,count,start_date,end_date,avg_stock_weight,avg_signal_stock_weight,avg_base_stock_weight,avg_ph_raw,avg_ph_ewma,avg_ph_rank,strategy_ann_return,strategy_mdd,bh_ann_return,bh_mdd,bh_gap_ann_return
broad_index,00_30,BEAR,24,2022-07-29,2023-11-02,0.9266666666666667,0.9466666666666667,0.7200000000000001,0.35840745937700075,0.41121308572248627,0.19020061728395063,-0.0010183861686933193,-0.04414601298717691,-0.007385006506182568,-0.04780845645169096,0.006366620337489248
broad_index,00_30,BULL,768,2015-02-13,2026-05-07,0.8752864583333335,0.8921093750000001,0.8800000000000002,0.22845998083163668,0.26049867770576346,0.14711353919383002,0.0379416650092943,-0.13626506451039422,0.04160267574463039,-0.1532962216816096,-0.00366101073533609
broad_index,00_30,NEUTRAL,11,2016-06-07,2024-04-24,0.9563636363636365,0.9472727272727273,0.78,0.32195676477117974,0.3786398062529153,0.1827801827801828,0.004265162887325369,-0.014523162062315964,0.004333024106729422,-0.014505075446299864,-6.786121940405287e-05
broad_index,30_50,BEAR,17,2016-06-15,2026-03-17,0.8629411764705882,0.9035294117647058,0.72,0.4752859323778574,0.5111430886421097,0.3733271086212263,0.0036179406737855135,-0.02409966205352143,0.0053792905070366714,-0.024475891148042828,-0.001761349833251158
broad_index,30_50,BULL,565,2015-02-11,2026-04-24,0.8497345132743364,0.8462654867256639,0.8200000000000002,0.3910489923671811,0.40568838867107293,0.3984110847796154,0.01632600304244547,-0.23891240920497092,0.014572929578711147,-0.3047412890109088,0.0017530734637343226
broad_index,30_50,NEUTRAL,11,2016-06-13,2024-09-13,0.9563636363636365,0.938181818181818,0.78,0.3755688764832236,0.425327687190538,0.38107263107263106,-0.0018154732366743032,-0.048307134180139766,-0.001731844612989475,-0.048307134180139766,-8.362862368482826e-05
broad_index,50_70,BEAR,47,2016-06-22,2026-04-08,0.727872340425532,0.8965957446808512,0.68,0.6662959271923026,0.6991767966168251,0.6129967353371609,0.003288774910556569,-0.0924549975552178,-0.0013673487950179863,-0.14352337301670448,0.004656123705574555
broad_index,50_70,BULL,448,2015-03-06,2026-04-14,0.7776339285714285,0.7601339285714286,0.72,0.5340835518536291,0.521605317662089,0.6054724656142475,0.024568194768574747,-0.06597900108938337,0.03199823164672333,-0.08601081530302845,-0.007430036878148583
broad_index,50_70,NEUTRAL,38,2016-03-23,2026-04-13,0.9052631578947368,0.9405263157894738,0.68,0.5938562701015095,0.6292256024005707,0.6075605680868839,0.008429593225178111,-0.042645083179005394,0.00878749037292148,-0.041639857457122176,-0.000357897147743369
broad_index,70_85,BEAR,128,2015-07-09,2026-03-19,0.5774218749999999,0.5750781249999999,0.58,0.7912932443316094,0.7838569316965569,0.7860666804038199,0.007590586145732159,-0.15117963832197445,0.0147453519956251,-0.21675395315839374,-0.007154765849892941
broad_index,70_85,BULL,211,2015-01-02,2026-01-20,0.685308056872038,0.657345971563981,0.6200000000000001,0.6752028090835182,0.6333272284220642,0.7684762730319057,0.004225584976740304,-0.11420750440556049,1.037771337930593e-05,-0.14906684518296687,0.004215207263360998
broad_index,70_85,NEUTRAL,36,2015-07-08,2026-02-25,0.8047222222222222,0.8083333333333332,0.5799999999999997,0.7144761263910268,0.6829667689081467,0.7649796647535541,0.00892651382961529,-0.044345869019731365,0.012168374276165128,-0.0464879976158048,-0.003241860446549838
broad_index,85_95,BEAR,182,2015-09-16,2026-04-07,0.4391208791208791,0.44126373626373633,0.48,0.8363088818860578,0.8201071428227489,0.9010915297050466,-0.004036845187100235,-0.1079024910392663,-0.0024188421574999897,-0.1867562081705345,-0.0016180030296002457
broad_index,85_95,BULL,107,2015-01-06,2026-02-11,0.549252336448598,0.542803738317757,0.5199999999999999,0.786350292190213,0.7084061357638716,0.8955557099712617,0.004034405830843468,-0.08037324132555734,0.002193160002383232,-0.19508545876074146,0.0018412458284602362
broad_index,85_95,NEUTRAL,26,2015-02-02,2026-02-18,0.6023076923076923,0.6507692307692309,0.48000000000000004,0.7842015870488607,0.711102462275305,0.8941756170342612,0.005347390191269508,-0.009754349204243562,0.012232080764650544,-0.013653490051358519,-0.006884690573381036
broad_index,95_100,BEAR,173,2015-01-30,2026-03-30,0.3726011560693642,0.35699421965317923,0.38000000000000006,0.8795326691486932,0.8549786067712418,0.9797712209814743,0.01962834260585855,-0.04251349166292717,0.037898182445039286,-0.11978785083934085,-0.018269839839180735
broad_index,95_100,BULL,47,2015-01-07,2021-03-10,0.4408510638297875,0.43191489361702157,0.42000000000000026,0.8695986281684105,0.8040698250804306,0.976675462332679,0.01580032541473053,-0.018290571566900282,0.031333932589244995,-0.03912304075255235,-0.015533607174514463
broad_index,95_100,NEUTRAL,14,2015-01-28,2020-03-10,0.602857142857143,0.5671428571428571,0.37999999999999995,0.8790144569107464,0.7974555576489626,0.9890138400687931,-0.007055182399830717,-0.06047854295123667,-0.01867976431839513,-0.1312526956289698,0.011624581918564414
broad_index,raw_fallback,BEAR,20,2014-04-10,2014-10-22,0.789,0.7690000000000001,0.5509999999999999,0.659088750332594,0.6587993591831915,,0.21961127024726612,-0.004150529540342784,0.3051678874021433,-0.005161291542697621,-0.08555661715487717
broad_index,raw_fallback,BULL,464,2013-01-02,2014-12-31,0.8037500000000001,0.8162715517241379,0.811896551724138,0.26777971863971445,0.26485940551501813,,0.1360078422076405,-0.06239208331088153,0.15747139898467055,-0.08981297019699774,-0.021463556777030046
broad_index,raw_fallback,NEUTRAL,20,2013-02-25,2014-10-21,0.798,0.8510000000000002,0.597,0.5361879412084819,0.5840063907203501,,0.01341039938173072,-0.03091826354969529,0.0061359931215749786,-0.04427250104491087,0.007274406260155741
