policy1_hold_reason,ph_rank_bin_756,mid_trend_state,count,start_date,end_date,avg_stock_weight,avg_signal_stock_weight,avg_base_stock_weight,avg_ph_raw,avg_ph_ewma,avg_ph_rank,strategy_ann_return,strategy_mdd,bh_ann_return,bh_mdd,bh_gap_ann_return
emergency,70_85,BEAR,2,2022-10-05,2025-04-09,0.52,0.52,0.58,0.8430633157491684,0.8834216930586808,0.7797619047619048,-0.005718615390181259,0.0,-0.008169008794699284,0.0,0.0024503934045180253
emergency,70_85,BULL,1,2020-09-28,2020-09-28,0.6200000000000001,0.6200000000000001,0.62,0.8419573992490769,0.8866286976547119,0.7962962962962963,1.2170077860176072,0.0,4.584372782825823,0.0,-3.3673649968082158
emergency,85_95,BEAR,10,2018-11-07,2025-03-26,0.35700000000000004,0.35700000000000004,0.4800000000000001,0.8819338247179985,0.8343282014209399,0.8996031746031745,0.0007317659287291445,-0.013454115545813328,0.0018076634676535974,-0.03763948765942793,-0.001075897538924453
emergency,85_95,BULL,6,2019-08-20,2021-03-03,0.52,0.52,0.52,0.8886518393953643,0.8160971750524989,0.9098324514991182,-0.012995983459324734,-0.037551294636580246,-0.029674016201518882,-0.07893490197460729,0.01667803274219415
emergency,95_100,BEAR,16,2015-08-20,2026-03-30,0.35,0.35,0.38,0.8719773758202791,0.8088198492056529,0.9738328769194022,-0.0006244670726072155,-0.014428377128765213,-0.0015329640345931317,-0.044861642940765445,0.0009084969619859162
emergency,95_100,BULL,10,2015-01-07,2021-03-10,0.44800000000000006,0.44800000000000006,0.42000000000000004,0.8542681282758714,0.7443555040914973,0.9754546395884633,-0.004764949265906759,-0.0421292939118878,-0.01154485342058409,-0.09484677931698393,0.00677990415467733
emergency,95_100,NEUTRAL,3,2018-04-02,2020-03-10,0.5066666666666667,0.5066666666666667,0.38000000000000006,0.9006480246782304,0.8646302295479913,0.9933862433862434,-0.009938186259225157,-0.034894407816614126,-0.033151743382083376,-0.09169152858955543,0.02321355712285822
initial,raw_fallback,BULL,1,2013-01-02,2013-01-02,1.0,1.0,0.82,0.258761965483427,0.258761965483427,,-0.5642582471625771,0.0,-0.5642582471625771,0.0,0.0
no_trade_band,00_30,BULL,119,2015-05-29,2026-05-06,0.859327731092437,0.88,0.88,0.22851528325939874,0.244859651685136,0.14445161903145096,0.011632738653567065,-0.05686059071571703,0.013845327280853414,-0.06317773093003498,-0.0022125886272863493
no_trade_band,30_50,BULL,73,2015-03-04,2025-11-04,0.8547945205479452,0.8249315068493153,0.8200000000000002,0.38258146252738284,0.3716186812153364,0.38872070760543015,-0.0021359252050554556,-0.052531402963506224,-0.0020151622218860243,-0.059102249628774195,-0.00012076298316943124
no_trade_band,50_70,BULL,26,2015-06-19,2026-01-16,0.7307692307692307,0.7284615384615384,0.72,0.5454351789103105,0.5309594583214445,0.6122075270692782,0.000976574949796305,-0.042941444624481906,0.0008623262906708451,-0.058985843461297316,0.0001142486591254599
no_trade_band,70_85,BEAR,9,2019-01-24,2025-05-07,0.52,0.52,0.58,0.8097903258270688,0.7811418815404326,0.7968841857730746,0.001558058775715132,-0.015345927641353452,0.0038425377149839957,-0.02768459894965314,-0.0022844789392688636
