score_bin,count,avg_score,actual_up_rate,ann_return_strat,avg_stock_weight
"(-0.001, 0.1]",473,0.07827445941520858,0.02748414376321353,0.08166935975722023,0.6948837209302327
"(0.1, 0.2]",641,0.14037467465028342,0.09828393135725429,0.17969900019087937,0.7035881435257411
"(0.2, 0.3]",447,0.2510314777088395,0.2841163310961969,0.31406323861848984,0.6740939597315436
"(0.3, 0.4]",366,0.34817586756946917,0.27049180327868855,0.5873935385312636,0.6957923497267758
"(0.4, 0.5]",336,0.4498410763312514,0.26785714285714285,-0.20752037275897617,0.8425000000000001
"(0.5, 0.6]",438,0.5544713884118497,0.4018264840182648,0.29837714659225756,0.9330136986301371
"(0.6, 0.7]",408,0.6486674616100905,0.5490196078431373,0.054619409961702114,0.9467647058823528
"(0.7, 0.8]",227,0.7444253936327422,0.5374449339207048,0.17999632668874477,0.9469603524229077
"(0.8, 0.9]",21,0.8143075118552561,0.6666666666666666,4.905075182580789,1.0
