segment_start,segment_end,rows,segment_return,avg_turnover,param_up_trigger,param_strong_up_trigger,param_max_up_bonus,param_full_stock_up_trigger,param_full_stock_high_vol_max,param_no_trade_band
2013-01-02 00:00:00,2013-01-08 00:00:00,5,0.007889304174174327,0.06254147696495055,0.35,0.55,0.18,0.7,0.35,0.12
2013-01-09 00:00:00,2013-01-15 00:00:00,5,0.005653735421976114,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-01-16 00:00:00,2013-01-23 00:00:00,5,0.01420144974766857,0.03172640888488698,0.35,0.55,0.18,0.7,0.35,0.12
2013-01-24 00:00:00,2013-01-30 00:00:00,5,0.006139331218299127,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-01-31 00:00:00,2013-02-06 00:00:00,5,0.0037362466622823387,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-02-07 00:00:00,2013-02-13 00:00:00,5,0.0018831569641708512,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-02-14 00:00:00,2013-02-21 00:00:00,5,-0.019203837619103492,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-02-22 00:00:00,2013-02-28 00:00:00,5,0.025111018389432305,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-03-01 00:00:00,2013-03-07 00:00:00,5,0.019062411279574087,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-03-08 00:00:00,2013-03-14 00:00:00,5,-0.0016771588274961946,0.024078268268285675,0.35,0.55,0.18,0.7,0.35,0.12
2013-03-15 00:00:00,2013-03-21 00:00:00,5,0.0001021980118547372,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-03-22 00:00:00,2013-03-28 00:00:00,5,0.011342090549740114,0.035765021052634974,0.35,0.55,0.18,0.7,0.35,0.12
2013-04-01 00:00:00,2013-04-05 00:00:00,5,-0.00035442770307758664,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-04-08 00:00:00,2013-04-12 00:00:00,5,0.004174117993272608,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-04-15 00:00:00,2013-04-19 00:00:00,5,0.0011135727425204411,0.038702478685054456,0.35,0.55,0.18,0.7,0.35,0.12
2013-04-22 00:00:00,2013-04-26 00:00:00,5,0.010859464764575,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-04-29 00:00:00,2013-05-03 00:00:00,5,0.0156608744251161,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-05-06 00:00:00,2013-05-10 00:00:00,5,0.013595134113250529,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-05-13 00:00:00,2013-05-17 00:00:00,5,0.010723905552898039,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-05-20 00:00:00,2013-05-24 00:00:00,5,-0.011376845641391853,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-05-28 00:00:00,2013-06-03 00:00:00,5,-0.02116058668060594,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-06-04 00:00:00,2013-06-10 00:00:00,5,0.001858054127719555,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-06-11 00:00:00,2013-06-17 00:00:00,5,0.008769537027408347,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-06-18 00:00:00,2013-06-24 00:00:00,5,-0.014118739264530333,0.028876964355629788,0.35,0.55,0.18,0.7,0.35,0.12
2013-06-25 00:00:00,2013-07-01 00:00:00,5,0.005322976265188739,0.047611888346971123,0.35,0.55,0.18,0.7,0.35,0.12
2013-07-02 00:00:00,2013-07-09 00:00:00,5,0.028424524835564124,0.026445227224276068,0.35,0.55,0.18,0.7,0.35,0.12
2013-07-10 00:00:00,2013-07-16 00:00:00,5,0.006932651956319091,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-07-17 00:00:00,2013-07-23 00:00:00,5,2.8001648701314608e-05,0.028591683025038693,0.35,0.55,0.18,0.7,0.35,0.12
2013-07-24 00:00:00,2013-07-30 00:00:00,5,0.007514891155347536,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-07-31 00:00:00,2013-08-06 00:00:00,5,-0.003048097090191937,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-08-07 00:00:00,2013-08-13 00:00:00,5,-0.019551181601169643,0.025894963603441436,0.35,0.55,0.18,0.7,0.35,0.12
2013-08-14 00:00:00,2013-08-20 00:00:00,5,-0.0031470545073875034,0.03425882780615001,0.35,0.55,0.18,0.7,0.35,0.12
2013-08-21 00:00:00,2013-08-27 00:00:00,5,-0.007994804730792393,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-08-28 00:00:00,2013-09-04 00:00:00,5,0.007749911726109726,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-09-05 00:00:00,2013-09-11 00:00:00,5,0.016577585714268483,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-09-12 00:00:00,2013-09-18 00:00:00,5,0.012383788503566251,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-09-19 00:00:00,2013-09-25 00:00:00,5,-0.007496533401132099,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-09-26 00:00:00,2013-10-02 00:00:00,5,-8.989080557775253e-05,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-10-03 00:00:00,2013-10-09 00:00:00,5,0.007391058617423507,0.024638981154171714,0.35,0.55,0.18,0.7,0.35,0.12
2013-10-10 00:00:00,2013-10-16 00:00:00,5,0.021850514851631697,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-10-17 00:00:00,2013-10-23 00:00:00,5,0.00788550018875056,0.03866787081564742,0.35,0.55,0.18,0.7,0.35,0.12
2013-10-24 00:00:00,2013-10-30 00:00:00,5,-0.00014965534880873044,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-10-31 00:00:00,2013-11-06 00:00:00,5,0.004589179147693745,0.05672687515256678,0.35,0.55,0.18,0.7,0.35,0.12
2013-11-07 00:00:00,2013-11-13 00:00:00,5,0.014678208366932566,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-11-14 00:00:00,2013-11-20 00:00:00,5,0.0037865627979805083,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-11-21 00:00:00,2013-11-27 00:00:00,5,-0.0016422867922145645,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-11-29 00:00:00,2013-12-05 00:00:00,5,0.004282429395971565,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-12-06 00:00:00,2013-12-12 00:00:00,5,-0.011146709030842694,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-12-13 00:00:00,2013-12-19 00:00:00,5,0.023834099289389066,0.03186566121577128,0.35,0.55,0.18,0.7,0.35,0.12
2013-12-20 00:00:00,2013-12-27 00:00:00,5,0.011833674622370172,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2013-12-30 00:00:00,2014-01-06 00:00:00,5,-0.006335098258915872,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2014-01-07 00:00:00,2014-01-13 00:00:00,5,0.006212220906079979,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2014-01-14 00:00:00,2014-01-21 00:00:00,5,-0.010126876135366114,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2014-01-22 00:00:00,2014-01-28 00:00:00,5,-0.019475698617348547,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2014-01-29 00:00:00,2014-02-04 00:00:00,5,-0.009763831124585787,0.0,0.35,0.55,0.18,0.7,0.35,0.12
2014-02-05 00:00:00,2014-02-11 00:00:00,5,0.02525433984653791,0.07234130726224323,0.55,0.75,0.06,0.85,0.15,0.12
2014-02-12 00:00:00,2014-02-19 00:00:00,5,0.003931544068509707,0.0,0.55,0.75,0.06,0.85,0.15,0.12
2014-02-20 00:00:00,2014-02-26 00:00:00,5,0.0113616645007526,0.0,0.55,0.75,0.06,0.85,0.15,0.12
2014-02-27 00:00:00,2014-03-05 00:00:00,5,0.007453415238295902,0.0,0.55,0.75,0.06,0.85,0.15,0.12
2014-03-06 00:00:00,2014-03-12 00:00:00,5,-0.016038554810692163,0.024412897838054403,0.55,0.75,0.06,0.85,0.15,0.12
2014-03-13 00:00:00,2014-03-19 00:00:00,5,0.010577127603970782,0.0,0.55,0.75,0.06,0.85,0.15,0.12
2014-03-20 00:00:00,2014-03-26 00:00:00,5,-0.003240175662812428,0.0,0.55,0.75,0.06,0.85,0.15,0.12
2014-03-27 00:00:00,2014-04-02 00:00:00,5,0.004378307844311813,0.0,0.55,0.75,0.06,0.85,0.15,0.12
