start_date,trough_date,recovery_date,depth,duration_days,days_to_trough,avg_stock_weight,avg_prob_high_vol,avg_risk_score,trough_regime
2021-12-23,2022-10-18,2024-02-27,-0.23225980405632196,796,299,0.6656263049001168,0.418853248650073,0.41831535116940144,HIGH_VOL
2020-02-18,2020-03-16,2020-06-03,-0.1288017006254626,106,27,0.39519536546922823,0.618296685304509,0.6788727757682947,HIGH_VOL
2015-05-20,2015-08-21,2016-07-18,-0.10825121103471091,425,93,0.7330046873815328,0.37998084796794074,0.35980724826824184,NORMAL
2018-09-19,2018-12-20,2019-03-28,-0.09701473271246464,190,92,0.6316617721837423,0.48330630682652986,0.48645868484117977,HIGH_VOL
2025-02-18,2025-04-16,2025-07-08,-0.08670389868779671,140,57,0.5313759672690606,0.5665078845129107,0.5426745298439912,HIGH_VOL
2018-01-25,2018-02-06,2018-08-27,-0.08651781801875591,214,12,0.730604700696082,0.41791183269889776,0.3766605365816149,NORMAL
2020-09-01,2020-10-28,2021-01-05,-0.079912010001984,126,57,0.6625405570746691,0.6955432844793291,0.5415053833314636,HIGH_VOL
2024-07-15,2024-08-01,2024-09-17,-0.06945400173264193,64,17,0.8203538722660716,0.2846479068793619,0.25466756172800614,CUSTOM_UP
2026-01-26,2026-03-26,2026-04-15,-0.06635477491855091,79,59,0.7803280067220856,0.2600158721667075,0.2748681809545275,WATCH
2014-09-17,2014-10-14,2014-11-03,-0.05782175695671066,47,27,0.8204516091846834,0.07311211430401815,0.13849734665070415,NORMAL
