year,strategy_return,stock_buyhold_return,benchmark_60_40_return,static_50_30_20_return,strategy_excess_vs_bh
2013,0.2355235906736186,0.28033399455765684,0.13932412745115808,0.11683824337951632,-0.04481040388403823
2014,0.09406114314471137,0.12451029745298636,0.1171033564968591,0.09325652031312304,-0.030449154308274995
2015,-0.007636409879865469,0.018813826394489253,0.01864861711310506,0.01547914147483187,-0.02645023627435472
2016,0.09340516325844428,0.1494122431443885,0.09335956453711058,0.07758552125402951,-0.05600707988594422
2017,0.18336350681313784,0.2169133321674912,0.13622744864427982,0.11305903574051457,-0.03354982535435336
2018,-0.030084293183291977,-0.07993944900828232,-0.03604790522794099,-0.02693802230893938,0.04985515582499034
2019,0.2011416829184507,0.34521554588546643,0.23646888944719247,0.1954891992745551,-0.14407386296701574
2020,0.14483136561811283,0.1732403457525553,0.1569642488049503,0.1294329471496798,-0.028408980134442485
2021,0.2157643378864189,0.3031958635378533,0.15576894381084316,0.13004190239002256,-0.08743152565143442
2022,-0.21330104144927553,-0.18336107390915668,-0.15635484407128553,-0.12410004632128124,-0.02993996754011885
2023,0.18767661109983313,0.2401368191683544,0.14992135832993214,0.13429862112931867,-0.05246020806852125
2024,0.2205646978250262,0.2789162250916313,0.15892502611862613,0.14300863322008084,-0.058351527266605085
2025,0.1290350673203049,0.17543040248305797,0.14361119030324354,0.1254603406403101,-0.04639533516275307
2026,0.04885714012861375,0.07538571971170716,0.04006581575552581,0.03704996803166338,-0.026528579583093403
