feature,importance
ma_gap_50_200,0.04904606628470716
vol_rank_60_252,0.04834549724890859
ma200_slope_60,0.04551375641660616
downside_vol_60,0.04116547820611601
realized_vol_60,0.0411052851550347
atr_pct_60,0.039653409659796586
vol_rank_20_252,0.039295745172859296
ma_gap_60_120,0.03688725939564473
drawdown_120,0.03564592176405466
return_120d,0.03431080276377301
down_volume_ratio_20,0.034182517336005656
price_ma_120_gap,0.03232483668829751
drawdown_60_over_vol60,0.029843805032263023
realized_vol_20,0.02951953175428233
atr_pct_20,0.029049759236189115
downside_vol_20,0.028323373382301193
ma_gap_20_60,0.02692337911081525
atr_rank_252,0.02606140379974231
high_volume_down_ratio_20,0.025273418548492205
return_60d_over_vol60,0.022751770897117336
atr_pct_14,0.022284682947252176
return_60d,0.021520552464422926
atr_pct_10,0.021442802499802537
positive_return_ratio_60,0.019858679713565953
price_ma_60_gap,0.018934819542399024
return_20d,0.018822936229902294
drawdown_60,0.0186772992508898
price_position_60,0.018545014647750463
price_ma_20_gap,0.01734862597741648
close_to_120d_high,0.01669593008268064
return_10d,0.01661064497203426
positive_return_ratio_20,0.01567784381156738
close_to_60d_high,0.013339138713426294
drawdown_20,0.01230886120419224
price_position_120,0.011530977074753295
return_5d,0.008466840160194685
return_20d_over_hvol,0.008184781832727644
trend_slope_60,0.007186086918433419
trend_slope_20,0.006671352872410706
price_position_20,0.005597267152568474
close_to_20d_high,0.001970391695807993
true_range_pct,0.0018155895940036373
volume_ratio_20,0.0008810693439326982
volume_zscore_20,0.00040479170558232384
