selection_date,row_index,validation_start,validation_end,has_validation,changed_count,param_up_trigger,param_strong_up_trigger,param_max_up_bonus,param_full_stock_up_trigger,param_full_stock_high_vol_max,param_no_trade_band,metric_score,metric_kept_previous,metric_reason,metric_sharpe,metric_calmar,metric_mdd,metric_annual_turnover,metric_custom_up_ratio,metric_changed_params,metric_mdd_penalty,metric_turnover_penalty,metric_custom_up_penalty,metric_change_penalty,metric_kept_previous_by_margin,metric_effective_score
2013-01-02 00:00:00,0,,,False,0,0.35,0.55,0.18,0.7,0.35,0.12,-1000000000.0,True,insufficient_validation_history,,,,,,,,,,,,
2013-01-09 00:00:00,5,,,False,0,0.35,0.55,0.18,0.7,0.35,0.12,-1000000000.0,True,insufficient_validation_history,,,,,,,,,,,,
2013-01-16 00:00:00,10,,,False,0,0.35,0.55,0.18,0.7,0.35,0.12,-1000000000.0,True,insufficient_validation_history,,,,,,,,,,,,
2013-01-24 00:00:00,15,,,False,0,0.35,0.55,0.18,0.7,0.35,0.12,-1000000000.0,True,insufficient_validation_history,,,,,,,,,,,,
2013-01-31 00:00:00,20,,,False,0,0.35,0.55,0.18,0.7,0.35,0.12,-1000000000.0,True,insufficient_validation_history,,,,,,,,,,,,
2013-02-07 00:00:00,25,,,False,0,0.35,0.55,0.18,0.7,0.35,0.12,-1000000000.0,True,insufficient_validation_history,,,,,,,,,,,,
2013-02-14 00:00:00,30,,,False,0,0.35,0.55,0.18,0.7,0.35,0.12,-1000000000.0,True,insufficient_validation_history,,,,,,,,,,,,
2013-02-22 00:00:00,35,,,False,0,0.35,0.55,0.18,0.7,0.35,0.12,-1000000000.0,True,insufficient_validation_history,,,,,,,,,,,,
2013-03-01 00:00:00,40,,,False,0,0.35,0.55,0.18,0.7,0.35,0.12,-1000000000.0,True,insufficient_validation_history,,,,,,,,,,,,
2013-03-08 00:00:00,45,,,False,0,0.35,0.55,0.18,0.7,0.35,0.12,-1000000000.0,True,insufficient_validation_history,,,,,,,,,,,,
2013-03-15 00:00:00,50,,,False,0,0.35,0.55,0.18,0.7,0.35,0.12,-1000000000.0,True,insufficient_validation_history,,,,,,,,,,,,
