model,CAGR(%),MDD(%),Sharpe,Sortino,Calmar,Final Capital
strategy_after_cost,14.938213813087952,-30.021242237460267,1.0189949055454706,1.3469183700301017,0.49758813092844534,636492367.9126822
strategy_gross,15.377024115639015,-29.630252621918075,1.0448887913596951,1.3816144188552664,0.5189636521783932,669564966.8599007
stock_buy_hold,19.764361959695865,-35.11872475502925,0.972316843566352,1.2364899177716138,0.5627870060078268,1099663550.7760897
benchmark_60_40,12.66748362416279,-27.841314351727608,1.0222821457122373,1.3311653335759728,0.45498870721872897,488193990.40533745
static_50_30_20,10.867427274718944,-23.00359485429858,1.049845725786083,1.3638297245158766,0.47242299925518794,394101716.8573261
