class,precision,recall,f1,support
정상,0.8136082474226805,0.8792335115864528,0.8451488541443564,2244
상승고변동,0.33457943925233646,0.3054607508532423,0.3193577163247101,586
하락고변동,0.3230769230769231,0.2423076923076923,0.27692307692307694,520
