ticker,asset_class,rows,date_start,date_end,ph_source_used,ph_raw_mean,ph_raw_median,ph_raw_p75,ph_raw_p90,ph_raw_p95,ph_ewma_mean,ph_ewma_median,ph_context_available_rate_504,ph_rank_504_mean,ph_rank_504_median,ph_context_available_rate_756,ph_rank_756_mean,ph_rank_756_median,strategy_ann_return,strategy_mdd,bh_ann_return,bh_mdd,avg_stock_weight
QQQ,broad_index,3357,2013-01-02 00:00:00,2026-05-07 00:00:00,prob_high_vol_raw,0.47471238203837224,0.4309154063463211,0.7036613821983337,0.8556566625833512,0.8943905317783356,0.47478348885999844,0.4311916820150248,0.8498659517426274,0.5162506467711515,0.5218253968253969,0.8498659517426274,0.519102969740892,0.5105820105820106,0.1684780721314072,-0.25209700200712704,0.20444919333327705,-0.35118735249010047,0.725236818588025
SPY,broad_index,3357,2013-01-02 00:00:00,2026-05-07 00:00:00,prob_high_vol_raw,0.4636463873290327,0.3930931404232979,0.7180854856967926,0.8630351132154466,0.8879906272888185,0.46357471626121166,0.4025037503108217,0.8498659517426274,0.51635287834026,0.5218253968253969,0.8498659517426274,0.5224682178222423,0.5370370370370371,0.09910233108446143,-0.18207848146674888,0.14914009118082516,-0.33717271363429935,0.7131128984212094
AAPL,mega_cap,3357,2013-01-02 00:00:00,2026-05-07 00:00:00,prob_high_vol_raw,0.4908471319359489,0.462827916443348,0.6207255452871323,0.7761770278215409,0.8154064494371415,0.4912035169642811,0.4663965175562187,0.8498659517426274,0.504207489749025,0.501984126984127,0.8498659517426274,0.49959039705224834,0.503968253968254,0.2028295663559312,-0.31500452469367457,0.24166819701138076,-0.38515913023589055,0.7727554364015491
SOXX,sector_etf,3357,2013-01-02 00:00:00,2026-05-07 00:00:00,prob_high_vol_raw,0.48062528947760547,0.4420894533395767,0.6790223598480225,0.8361817318201066,0.8707355821132661,0.48050777506777187,0.447346133883939,0.8498659517426274,0.5324978162780476,0.5456349206349206,0.8498659517426274,0.5480242853959203,0.5515873015873016,0.2094197386536656,-0.3505612857657684,0.3038576808131934,-0.4575373717826473,0.7306940720881738
NVDA,high_vol_growth,3357,2013-01-02 00:00:00,2026-05-07 00:00:00,prob_high_vol_raw,0.47416256579903665,0.4825924158096314,0.639220729470253,0.7583860111236572,0.8108271872997285,0.47410339005844376,0.4769704967347631,0.8498659517426274,0.5206243497515842,0.5357142857142857,0.8498659517426274,0.52881597940546,0.5383597883597884,0.4351503035851574,-0.5709715622959819,0.6432517659056325,-0.6633508667198104,0.7473994638069705
