ticker,allocation_regime,mid_trend_state,ph_rank_bin_756,count,start_date,end_date,avg_stock_weight,avg_base_signal_stock_weight,avg_signal_stock_weight,avg_ph_raw,avg_ph_ewma,avg_ph_rank_504,avg_ph_rank_756,avg_ph_z_756,avg_up_strength_score,avg_down_strength_score,offensive_activation_rate,tier3_rate,ph_context_available_rate_756,strategy_ann_return,strategy_mdd,strategy_gross_ann_return,bh_ann_return,bh_mdd,bh_gap_ann_return
AAPL,CUSTOM,BEAR,00_30,4,2018-02-02 00:00:00,2021-10-04 00:00:00,0.9249999999999999,0.7599999999999999,0.805,0.3041124159470201,0.36852602621837405,0.1483134920634921,0.1478174603174603,-1.1185970280308424,0.4111261108096643,0.30537221865196496,1.0,0.0,1.0,-0.18118619906770095,-0.04647543456268599,-0.18118619906770095,-0.1355765718684624,-0.04833458389521861,-0.045609627199238556
AAPL,CUSTOM,BEAR,30_50,4,2016-05-26 00:00:00,2026-01-23 00:00:00,0.8400000000000001,0.685,0.8,0.40301856230944394,0.47328417140678325,0.3933531746031746,0.4401455026455026,-0.26735117012134185,0.4309416381088505,0.2657074860218902,1.0,0.0,1.0,11.688166421005558,0.0,11.688166421005558,19.159716131853717,0.0,-7.4715497108481586
AAPL,CUSTOM,BEAR,50_70,29,2021-03-23 00:00:00,2026-01-21 00:00:00,0.760689655172414,0.5144827586206897,0.8000000000000003,0.6385731778268157,0.705030771233879,0.6242474001094691,0.6247035212552454,0.41167827158983755,0.7280016459566171,0.1013713347287074,1.0,0.0,1.0,0.1194588804840988,-0.09807204742984399,0.1194588804840988,0.01068622929609453,-0.12280588439925288,0.10877265118800428
AAPL,CUSTOM,BEAR,70_85,87,2015-09-24 00:00:00,2025-06-26 00:00:00,0.7756321839080457,0.4751724137931037,0.7816091954022986,0.742527868418858,0.7504021364935767,0.8123745666849116,0.7936179295356964,1.0326006852087428,0.6772280879621547,0.1119216403374982,0.9425287356321839,0.0,1.0,-0.16747760077737195,-0.23311352360169368,-0.16747760077737195,-0.17108758690351245,-0.287952191417963,0.0036099861261404964
AAPL,CUSTOM,BEAR,85_95,123,2015-08-07 00:00:00,2026-03-18 00:00:00,0.6943089430894308,0.44780487804878055,0.6917073170731707,0.7767475727854706,0.766330838789701,0.9269905794296038,0.8980483190105394,1.5362350258013957,0.5502042377286874,0.1443454243335707,0.6991869918699187,0.0,1.0,0.13691603527608298,-0.09512238220561786,0.13691603527608298,-0.11038460998316912,-0.17292860144511635,0.2473006452592521
AAPL,CUSTOM,BEAR,95_100,72,2015-08-21 00:00:00,2025-05-27 00:00:00,0.5699999999999998,0.4255555555555555,0.5677777777777777,0.8213539608650738,0.80193424609127,0.9885361552028219,0.9816023148146158,1.9283392384755638,0.38318795609642997,0.1910656049146301,0.3888888888888889,0.0,1.0,-0.09151973149073556,-0.15049691483763616,-0.09151973149073556,-0.21418255715033552,-0.2842357689834025,0.12266282565959996
AAPL,CUSTOM,BEAR,raw_fallback,75,2013-01-03 00:00:00,2013-05-20 00:00:00,0.7565333333333331,0.45733333333333337,0.7594666666666665,0.7597484881480535,0.7599785174970891,,,,0.6353906779888433,0.11482788238183785,0.8933333333333333,0.0,0.0,-0.2891666607555613,-0.15758617631573701,-0.2891666607555613,-0.3720809599515146,-0.20420467982494728,0.08291429919595328
AAPL,CUSTOM,BULL,00_30,434,2015-04-17 00:00:00,2026-02-06 00:00:00,0.8287096774193549,0.8269124423963133,0.8289861751152074,0.26817503387820885,0.27409167355799485,0.13153756126106356,0.11997942011797755,-1.2288703983759275,0.14427676616792656,0.3191323624103153,0.15898617511520738,0.0,1.0,0.20605590364440318,-0.10161860488136143,0.20605590364440318,0.24878252710780369,-0.12532338763353879,-0.042726623463400504
AAPL,CUSTOM,BULL,30_50,85,2015-02-02 00:00:00,2026-02-11 00:00:00,0.8390588235294113,0.7736470588235294,0.8028235294117643,0.3975646810584208,0.3643821402652564,0.3881419234360411,0.37543579315926046,-0.47893335222185907,0.18888451944407542,0.3351569825663671,0.3058823529411765,0.0,1.0,-0.4572811910900293,-0.2065189940677329,-0.4572811910900293,-0.5347130657788437,-0.24872210253699834,0.0774318746888144
AAPL,CUSTOM,BULL,50_70,51,2015-01-30 00:00:00,2026-04-20 00:00:00,0.8109803921568629,0.7007843137254902,0.7388235294117645,0.5087627307895352,0.4607069012154556,0.5885465297230003,0.5938546682474067,0.16003511648701907,0.20732157368815576,0.364088110764407,0.2549019607843137,0.0,1.0,0.8226548714644244,-0.039537054999045695,0.8226548714644244,0.9634729477311255,-0.0442991180472182,-0.14081807626670106
AAPL,CUSTOM,BULL,70_85,33,2015-11-05 00:00:00,2022-01-25 00:00:00,0.6254545454545455,0.5303030303030302,0.5624242424242424,0.6708450675913781,0.6661604330923814,0.7528860028860028,0.762900226020314,0.7923100331913561,0.18745846637383445,0.3722693056767539,0.15151515151515152,0.0,1.0,-0.08118550061554375,-0.051947909646845924,-0.08118550061554375,0.07702036499608234,-0.0663965694009162,-0.15820586561162608
AAPL,CUSTOM,BULL,85_95,12,2020-02-03 00:00:00,2021-02-08 00:00:00,0.4533333333333333,0.4633333333333333,0.4633333333333333,0.7866291128098964,0.7574804620709988,0.835813492063492,0.886904761904762,1.3412361900876322,0.08538706296019666,0.4220695245403134,0.0,0.0,1.0,3.939632313942731,-0.0071912082556047086,3.939632313942731,30.52012255323643,-0.01512718396903856,-26.5804902392937
AAPL,CUSTOM,BULL,95_100,12,2020-02-28 00:00:00,2020-09-14 00:00:00,0.42,0.39999999999999997,0.39999999999999997,0.8537920008103055,0.8291242715357973,0.9875992063492064,0.9917328042328041,2.2348528442078752,0.05833339790254536,0.5661349221055548,0.0,0.0,1.0,-0.1876836191129636,-0.05950976209981673,-0.1876836191129636,-0.6426533869612291,-0.15055358547195608,0.4549697678482655
AAPL,CUSTOM,BULL,raw_fallback,129,2013-05-23 00:00:00,2014-12-03 00:00:00,0.8226356589147287,0.7894573643410853,0.8103875968992249,0.33708895033644154,0.3308165066214158,,,,0.09733520049347963,0.29852355640102496,0.07751937984496124,0.0,0.0,0.245980108434116,-0.09798891472357618,0.245980108434116,0.23687136917661156,-0.12163009306147499,0.009108739257504439
AAPL,CUSTOM,NEUTRAL,00_30,8,2019-06-17 00:00:00,2026-02-03 00:00:00,0.82,0.7949999999999999,0.84,0.2964538390748202,0.33727331109360487,0.15054563492063494,0.17972883597883596,-1.0177685704097148,0.373926437082437,0.33263810343590877,0.875,0.0,1.0,5.7878875198001065,-0.0018980080286774559,5.7878875198001065,8.527181181668878,-0.002263332442669963,-2.7392936618687713
