prob_col,actual_col,positive_value,prob_bin,count,actual_rate,avg_prob,avg_strategy_return_net,ann_return_est,avg_stock_weight,avg_turnover
prob_high_vol,actual_risk,고변동,"(0.1, 0.2]",69,0.2318840579710145,0.17027309738923874,0.0011665633925956828,0.33620910385797864,0.8498550724637681,0.0
prob_high_vol,actual_risk,고변동,"(0.2, 0.3]",423,0.29314420803782504,0.2558711219433415,0.0002954055713072387,0.07230828812293355,0.8411347517730496,0.005295508274231679
prob_high_vol,actual_risk,고변동,"(0.3, 0.4]",558,0.35304659498207885,0.35225475061963174,0.00021758218787469566,0.051511613745757856,0.8141218637992831,0.02093189964157706
prob_high_vol,actual_risk,고변동,"(0.4, 0.5]",705,0.4226950354609929,0.4511971204257001,2.4396339284666136e-05,7.5700461513728e-05,0.7937588652482271,0.017929078014184398
prob_high_vol,actual_risk,고변동,"(0.5, 0.6]",579,0.45077720207253885,0.5500928228149103,0.0001279889889823315,0.025090884674356717,0.7869775474956822,0.03606217616580312
prob_high_vol,actual_risk,고변동,"(0.6, 0.7]",542,0.5498154981549815,0.6481751045055849,0.00044645022468178824,0.1076538433131069,0.797011070110701,0.034907749077490766
prob_high_vol,actual_risk,고변동,"(0.7, 0.8]",288,0.65625,0.748901816860156,0.0014937670579009536,0.44141562023121184,0.7245138888888889,0.04027777777777778
prob_high_vol,actual_risk,고변동,"(0.8, 0.9]",173,0.8497109826589595,0.8302306878675997,0.0003925284255199691,0.09170323011924286,0.5173410404624277,0.10358381502890177
prob_high_vol,actual_risk,고변동,"(0.9, 1.0]",20,1.0,0.9176022975355697,0.00027953794709515225,0.07151907942339242,0.30000000000000004,0.0
prob_overall_risk,actual_risk,고변동,"(0.1, 0.2]",69,0.2318840579710145,0.17027309738923874,0.0011665633925956828,0.33620910385797864,0.8498550724637681,0.0
prob_overall_risk,actual_risk,고변동,"(0.2, 0.3]",423,0.29314420803782504,0.2558711219433415,0.0002954055713072387,0.07230828812293355,0.8411347517730496,0.005295508274231679
prob_overall_risk,actual_risk,고변동,"(0.3, 0.4]",558,0.35304659498207885,0.35225475061963174,0.00021758218787469566,0.051511613745757856,0.8141218637992831,0.02093189964157706
prob_overall_risk,actual_risk,고변동,"(0.4, 0.5]",705,0.4226950354609929,0.4511971204257001,2.4396339284666136e-05,7.5700461513728e-05,0.7937588652482271,0.017929078014184398
prob_overall_risk,actual_risk,고변동,"(0.5, 0.6]",579,0.45077720207253885,0.5500928228149103,0.0001279889889823315,0.025090884674356717,0.7869775474956822,0.03606217616580312
prob_overall_risk,actual_risk,고변동,"(0.6, 0.7]",542,0.5498154981549815,0.6481751045055849,0.00044645022468178824,0.1076538433131069,0.797011070110701,0.034907749077490766
prob_overall_risk,actual_risk,고변동,"(0.7, 0.8]",288,0.65625,0.748901816860156,0.0014937670579009536,0.44141562023121184,0.7245138888888889,0.04027777777777778
prob_overall_risk,actual_risk,고변동,"(0.8, 0.9]",173,0.8497109826589595,0.8302306878675997,0.0003925284255199691,0.09170323011924286,0.5173410404624277,0.10358381502890177
prob_overall_risk,actual_risk,고변동,"(0.9, 1.0]",20,1.0,0.9176022975355697,0.00027953794709515225,0.07151907942339242,0.30000000000000004,0.0
prob_down,actual_direction,하락,"(0.2, 0.3]",79,0.34177215189873417,0.281931943433011,0.00014134073417536108,0.018353174540510775,0.8493670886075947,0.03746835443037975
prob_down,actual_direction,하락,"(0.3, 0.4]",592,0.2956081081081081,0.35692506860868706,0.0005281062838347699,0.12962764752456613,0.8219256756756756,0.035135135135135144
prob_down,actual_direction,하락,"(0.4, 0.5]",1052,0.33935361216730037,0.45542083204815775,0.0003607570533774746,0.08715580557098557,0.7997528517110265,0.029543726235741447
prob_down,actual_direction,하락,"(0.5, 0.6]",1164,0.35223367697594504,0.546360202454999,0.00029219508768778176,0.07066424504248836,0.7562886597938144,0.024948453608247424
prob_down,actual_direction,하락,"(0.6, 0.7]",466,0.3197424892703863,0.6404709638917472,0.00026635473712239996,0.06484787508816647,0.7338197424892705,0.025150214592274674
prob_down,actual_direction,하락,"(0.7, 0.8]",4,0.75,0.7037750899773348,-0.000928300334572895,-0.2261198911551543,0.7050000000000001,0.07
prob_up,actual_direction,상승,"(0.2, 0.3]",149,0.5637583892617449,0.27887960562075553,0.00035090413532270104,0.08853025173414442,0.7577181208053692,0.01583892617449664
prob_up,actual_direction,상승,"(0.3, 0.4]",629,0.48966613672496023,0.3582530027095418,0.00023943167360503126,0.057232843327194693,0.7530683624801271,0.023783783783783784
prob_up,actual_direction,상승,"(0.4, 0.5]",998,0.49198396793587174,0.448640031761551,0.0001738992024651276,0.03899510811923701,0.7533667334669338,0.02533066132264529
prob_up,actual_direction,상승,"(0.5, 0.6]",983,0.5279755849440488,0.5467320653758877,0.00038344613910007967,0.09193226284550904,0.8017090539165821,0.031169888097660223
prob_up,actual_direction,상승,"(0.6, 0.7]",477,0.589098532494759,0.6430334160975493,0.0006004987665267812,0.1514989468297221,0.8315303983228512,0.03589098532494759
prob_up,actual_direction,상승,"(0.7, 0.8]",121,0.5950413223140496,0.728504132422014,0.001025126753082379,0.2778935521848931,0.8013223140495868,0.045619834710743795
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(-0.001, 0.1]",1116,0.008064516129032258,0.0618848716834506,0.00015628775822791607,0.03563610902697789,0.7439964157706093,0.014874551971326167
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.1, 0.2]",466,0.09656652360515021,0.14510723327739686,6.047664686424931e-05,0.010237546982036605,0.6935622317596566,0.024806866952789698
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.2, 0.3]",304,0.2565789473684211,0.24335409821405501,0.0007605525996820397,0.20534100016802714,0.6989473684210527,0.03355263157894737
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.3, 0.4]",211,0.35545023696682465,0.34831519751747003,0.0006226497918144574,0.16151751754918142,0.789383886255924,0.04151658767772513
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.4, 0.5]",189,0.3968253968253968,0.4529300921043522,0.00017580801860570306,0.03546546164435238,0.8967195767195768,0.046984126984126975
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.5, 0.6]",326,0.4049079754601227,0.5512219188682331,0.00032082519191846116,0.07185210413620813,0.8714723926380366,0.02797546012269939
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.6, 0.7]",297,0.4006734006734007,0.6471287264088393,0.0009082476088353862,0.24108959036078392,0.86989898989899,0.05037037037037037
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.7, 0.8]",321,0.5389408099688473,0.7399450307798576,0.0005270192927950655,0.12895615026916207,0.875202492211838,0.041495327102803736
prob_up_strengthening_score,actual_direction_strength_20d,UP_STRENGTHENING,"(0.8, 0.9]",127,0.4566929133858268,0.8302459413271869,0.00017258766552723074,0.03812848271844227,0.7456692913385828,0.01952755905511811
