start_date,trough_date,recovery_date,depth,duration_days,days_to_trough,avg_stock_weight,avg_prob_high_vol,avg_prob_down_risk,trough_regime
2015-07-16,2016-12-05,2017-09-08,-0.17116861169968922,542,351,0.7294659300184162,0.5785618422518287,0.5084575627048196,CUSTOM
2022-04-06,2022-06-15,2023-12-28,-0.13974229368888658,434,48,0.8462068965517242,0.5077376079800044,0.4671788742733281,WATCH
2018-11-28,2018-12-20,2019-11-13,-0.13907896849339818,241,15,0.9135537190082647,0.5229251381439379,0.4559838878831004,CUSTOM
2018-01-24,2018-05-04,2018-09-18,-0.12996874943414038,164,70,0.8208484848484847,0.539467955771066,0.5051524389360259,CUSTOM
2024-09-12,2024-12-17,2025-11-06,-0.12227724080327373,289,67,0.8309655172413793,0.5278231518740477,0.41412019784393184,NORMAL
2020-01-17,2020-03-19,2020-04-02,-0.1071053431101111,52,42,0.5826415094339623,0.6754884069285509,0.5271277374371928,RISK_OFF
2026-02-25,2026-04-27,not_recovered,-0.09356170188996604,50,42,0.8603921568627452,0.6309336626633096,0.5222797518643677,CUSTOM
2021-12-28,2022-02-18,2022-04-05,-0.08393924521971341,68,37,0.8176811594202897,0.6225614935988285,0.3995764720279323,CUSTOM
2021-08-13,2021-10-08,2021-10-29,-0.06503832092901118,54,39,0.8283636363636364,0.43275873808161497,0.46024967014452767,CUSTOM
2018-09-27,2018-10-22,2018-11-28,-0.06306022930664312,43,17,0.8040909090909092,0.560957385788018,0.5035740990254566,WATCH
