section,count,pct,rebalance_type,trade_day_ratio,avg_turnover,annual_turnover_est,total_turnover,avg_trade_size_on_trade,max_turnover,cost_sum,allocation_regime
by_rebalance_type,55,0.017149984409105083,emergency,0.16363636363636364,0.04581818181818182,11.546181818181818,2.52,0.28,0.7600000000000002,0.00252,
by_rebalance_type,1854,0.578110383536015,no_rebalance,0.009708737864077669,0.0034088457389428264,0.8590291262135923,6.32,0.35111111111111115,0.7600000000000002,0.006320000000000001,
by_rebalance_type,1298,0.40473963205487995,scheduled_or_initial,0.17180277349768874,0.039445300462249616,9.940215716486904,51.2,0.22959641255605387,0.7600000000000002,0.051199999999999996,
by_regime,853,0.26598066729030245,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime,110,0.034299968818210166,,0.03636363636363636,0.00872727272727272,2.1992727272727257,0.9599999999999992,0.2399999999999998,0.2399999999999998,0.0009599999999999992,EXTREME_RISK
by_regime,121,0.03772996570003118,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGH_VOL
by_regime,1243,0.38758964764577486,,0.12711182622687048,0.028318584070796463,7.136283185840709,35.2,0.2227848101265823,0.72,0.0352,NORMAL
by_regime,205,0.06392266916120985,,0.09268292682926829,0.03648780487804879,9.194926829268296,7.480000000000002,0.39368421052631586,0.7600000000000002,0.007480000000000002,RISK_OFF
by_regime,675,0.21047708138447146,,0.10222222222222223,0.024296296296296295,6.1226666666666665,16.4,0.23768115942028983,0.72,0.016399999999999998,WATCH
by_regime_rebalance_type,2,0.0006236357966947302,emergency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime_rebalance_type,723,0.225444340505145,no_rebalance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime_rebalance_type,128,0.039912690988462736,scheduled_or_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime_rebalance_type,21,0.006548175865294668,emergency,0.09523809523809523,0.022857142857142836,5.7599999999999945,0.4799999999999996,0.2399999999999998,0.2399999999999998,0.0004799999999999996,EXTREME_RISK
by_regime_rebalance_type,67,0.020891799189273464,no_rebalance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EXTREME_RISK
by_regime_rebalance_type,22,0.006859993763642033,scheduled_or_initial,0.09090909090909091,0.0218181818181818,5.498181818181814,0.4799999999999996,0.2399999999999998,0.2399999999999998,0.0004799999999999996,EXTREME_RISK
by_regime_rebalance_type,110,0.034299968818210166,no_rebalance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGH_VOL
by_regime_rebalance_type,11,0.0034299968818210166,scheduled_or_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGH_VOL
by_regime_rebalance_type,420,0.13096351730589337,no_rebalance,0.03333333333333333,0.00923809523809524,2.3280000000000003,3.8800000000000003,0.27714285714285725,0.28,0.00388,NORMAL
by_regime_rebalance_type,823,0.2566261303398815,scheduled_or_initial,0.17496962332928312,0.03805589307411908,9.590085054678008,31.32,0.2175,0.72,0.03132,NORMAL
by_regime_rebalance_type,32,0.009978172747115684,emergency,0.21875,0.06375,16.065,2.04,0.2914285714285715,0.7600000000000002,0.00204,RISK_OFF
by_regime_rebalance_type,143,0.044589959463673216,no_rebalance,0.02097902097902098,0.01314685314685315,3.3130069930069936,1.8800000000000003,0.6266666666666668,0.7600000000000002,0.0018800000000000006,RISK_OFF
by_regime_rebalance_type,30,0.009354536950420954,scheduled_or_initial,0.3,0.1186666666666667,29.904000000000007,3.560000000000001,0.39555555555555566,0.7600000000000002,0.0035600000000000007,RISK_OFF
by_regime_rebalance_type,391,0.12192079825381977,no_rebalance,0.0025575447570332483,0.001432225063938619,0.360920716112532,0.56,0.56,0.56,0.0005600000000000001,WATCH
by_regime_rebalance_type,284,0.0885562831306517,scheduled_or_initial,0.23943661971830985,0.05577464788732393,14.055211267605632,15.839999999999996,0.2329411764705882,0.72,0.01584,WATCH
