from_regime,CUSTOM,NORMAL,RISK_OFF,WATCH
CUSTOM,0.9765258215962441,0.0,0.0,0.023474178403755867
NORMAL,0.0,0.9967105263157895,0.001973684210526316,0.0013157894736842105
RISK_OFF,0.029069767441860465,0.005813953488372093,0.9186046511627907,0.046511627906976744
WATCH,0.0,0.002070393374741201,0.00759144237405107,0.9903381642512077
