start_date,trough_date,recovery_date,depth,duration_days,days_to_trough,avg_stock_weight,avg_prob_high_vol,avg_prob_down_risk,trough_regime
2021-12-22,2022-11-01,2023-12-08,-0.2906134973165543,493,216,0.755506072874494,0.6738491162205895,0.5257399365855698,CUSTOM
2024-12-12,2025-04-04,2025-06-20,-0.20145863690932797,128,76,0.8063565891472869,0.6422616922912313,0.48847281792856095,WATCH
2020-02-14,2020-03-10,2020-05-27,-0.19713340547107172,70,16,0.7180281690140846,0.765803523123961,0.5321153761805084,WATCH
2018-08-27,2018-12-20,2019-04-03,-0.19631342500842308,150,80,0.8600000000000001,0.6001743830876181,0.46732558995201473,WATCH
2015-11-27,2016-02-05,2016-07-18,-0.13219761485365344,159,47,0.880625,0.48672041520734377,0.45435373711040555,WATCH
2015-07-16,2015-08-21,2015-10-26,-0.12753328865043512,71,26,0.9200000000000002,0.5720920787592273,0.470588548860027,NORMAL
2024-07-08,2024-08-05,2024-11-05,-0.11755384416775883,85,20,0.8279069767441862,0.5345644613594276,0.4337645362297041,WATCH
2025-10-27,2026-03-26,2026-04-13,-0.10277869308564669,114,103,0.8599999999999999,0.5345547362166317,0.4863808707942844,WATCH
2018-01-24,2018-02-06,2018-03-07,-0.09493144011641752,29,9,0.7986666666666664,0.5307715792941108,0.505236424439583,NORMAL
2021-02-10,2021-03-04,2021-06-18,-0.09421550647661969,89,15,0.7603333333333334,0.5737190299036605,0.5029025314562345,WATCH
