candidate,select_score,score_profile,split_date,no_trade_band,use_continuous_adjustment,risk_off_stock_weight,risk_off_bond_weight,risk_off_cash_weight,gate_high_vol_threshold,gate_riskoff_downrisk_threshold,gate_watch_downrisk_threshold,select_cagr,select_mdd,select_sharpe,select_sortino,select_calmar,select_gross_cagr,select_cost_cagr_drag,select_annual_turnover,select_total_turnover,select_avg_daily_turnover,select_trade_day_ratio,select_avg_trade_size_on_trade,select_max_trade_size,select_total_transaction_cost_rate_sum,select_avg_stock_weight,select_min_stock_weight,select_max_stock_weight,select_std_stock_weight,select_avg_bond_weight,select_avg_cash_weight,select_rebalance_ratio,select_emergency_rebalance_ratio,select_regime_switch_ratio,select_normal_pct,select_watch_pct,select_high_vol_pct,select_risk_off_pct,select_extreme_risk_pct,select_actual_high_vol_rate,select_actual_down_high_vol_rate,select_avg_prob_high_vol,select_avg_prob_down_risk,holdout_cagr,holdout_mdd,holdout_sharpe,holdout_sortino,holdout_calmar,holdout_gross_cagr,holdout_cost_cagr_drag,holdout_annual_turnover,holdout_total_turnover,holdout_avg_daily_turnover,holdout_trade_day_ratio,holdout_avg_trade_size_on_trade,holdout_max_trade_size,holdout_total_transaction_cost_rate_sum,holdout_avg_stock_weight,holdout_min_stock_weight,holdout_max_stock_weight,holdout_std_stock_weight,holdout_avg_bond_weight,holdout_avg_cash_weight,holdout_rebalance_ratio,holdout_emergency_rebalance_ratio,holdout_regime_switch_ratio,holdout_normal_pct,holdout_watch_pct,holdout_high_vol_pct,holdout_risk_off_pct,holdout_extreme_risk_pct,holdout_actual_high_vol_rate,holdout_actual_down_high_vol_rate,holdout_avg_prob_high_vol,holdout_avg_prob_down_risk,full_cagr,full_mdd,full_sharpe,full_sortino,full_calmar,full_gross_cagr,full_cost_cagr_drag,full_annual_turnover,full_total_turnover,full_avg_daily_turnover,full_trade_day_ratio,full_avg_trade_size_on_trade,full_max_trade_size,full_total_transaction_cost_rate_sum,full_avg_stock_weight,full_min_stock_weight,full_max_stock_weight,full_std_stock_weight,full_avg_bond_weight,full_avg_cash_weight,full_rebalance_ratio,full_emergency_rebalance_ratio,full_regime_switch_ratio,full_normal_pct,full_watch_pct,full_high_vol_pct,full_risk_off_pct,full_extreme_risk_pct,full_actual_high_vol_rate,full_actual_down_high_vol_rate,full_avg_prob_high_vol,full_avg_prob_down_risk
c042_ntb0.17_cont0_ro0.58_hv0.62_dn0.52,0.1770793368295292,balanced,2021-12-31,0.17,False,0.58,0.273,0.147,0.62,0.52,0.64,0.19411228829843075,-0.19713340547107172,1.2095530432759827,1.4928618467411146,0.9846747578604362,0.19548705371442732,0.0013747654159965705,1.151618879576533,10.360000000000001,0.004569916188795766,0.008381120423467137,0.5452631578947371,0.7600000000000002,0.010360000000000003,0.8673842082046759,0.5,0.92,0.09394502412738286,0.09423977566324279,0.038376016132081414,0.1129245699161888,0.013674459638288486,0.010145566828407587,0.5249228054697839,0.40758711954124394,0.0,0.03484781649757389,0.0,0.35597706219673575,0.1658579620644023,0.3874493675504648,0.4796635048577229,0.12678883193662238,-0.2638301482075097,0.7355412788375174,1.0482090172219096,0.4805699151444188,0.12879730081378282,0.002008468877160441,1.778823529411765,7.6800000000000015,0.007058823529411766,0.012867647058823529,0.5485714285714287,0.7200000000000001,0.007680000000000001,0.8114889705882353,0.5,0.92,0.1382858155781597,0.12937710084033616,0.05913392857142857,0.12683823529411764,0.029411764705882353,0.015625,0.30330882352941174,0.4834558823529412,0.0,0.08547794117647059,0.0,0.5441176470588235,0.25919117647058826,0.5525499877139255,0.4989335371233325,0.17185034584234238,-0.2906134973165543,1.0345861573052673,1.3405432692084989,0.5913364225308239,0.1734392943232137,0.0015889484808713217,1.3550163934426234,18.040000000000006,0.005377049180327871,0.009836065573770493,0.5466666666666667,0.7600000000000002,0.01804,0.8492578241430699,0.5,0.92,0.11335613397352445,0.10563453268043432,0.04510764317649563,0.11743666169895678,0.018777943368107303,0.011624441132637855,0.45305514157973176,0.43219076005961254,0.0,0.051266766020864385,0.0,0.41698956780923996,0.1961251862891207,0.44099019459602223,0.4859126241140518
c033_ntb0.15_cont0_ro0.58_hv0.62_dn0.52,0.1770793368295292,balanced,2021-12-31,0.15,False,0.58,0.273,0.147,0.62,0.52,0.64,0.19411228829843075,-0.19713340547107172,1.2095530432759827,1.4928618467411146,0.9846747578604362,0.19548705371442732,0.0013747654159965705,1.151618879576533,10.360000000000001,0.004569916188795766,0.008381120423467137,0.5452631578947371,0.7600000000000002,0.010360000000000003,0.8673842082046759,0.5,0.92,0.09394502412738286,0.09423977566324279,0.038376016132081414,0.1129245699161888,0.013674459638288486,0.010145566828407587,0.5249228054697839,0.40758711954124394,0.0,0.03484781649757389,0.0,0.35597706219673575,0.1658579620644023,0.3874493675504648,0.4796635048577229,0.12678883193662238,-0.2638301482075097,0.7355412788375174,1.0482090172219096,0.4805699151444188,0.12879730081378282,0.002008468877160441,1.778823529411765,7.6800000000000015,0.007058823529411766,0.012867647058823529,0.5485714285714287,0.7200000000000001,0.007680000000000001,0.8114889705882353,0.5,0.92,0.1382858155781597,0.12937710084033616,0.05913392857142857,0.12683823529411764,0.029411764705882353,0.015625,0.30330882352941174,0.4834558823529412,0.0,0.08547794117647059,0.0,0.5441176470588235,0.25919117647058826,0.5525499877139255,0.4989335371233325,0.17185034584234238,-0.2906134973165543,1.0345861573052673,1.3405432692084989,0.5913364225308239,0.1734392943232137,0.0015889484808713217,1.3550163934426234,18.040000000000006,0.005377049180327871,0.009836065573770493,0.5466666666666667,0.7600000000000002,0.01804,0.8492578241430699,0.5,0.92,0.11335613397352445,0.10563453268043432,0.04510764317649563,0.11743666169895678,0.018777943368107303,0.011624441132637855,0.45305514157973176,0.43219076005961254,0.0,0.051266766020864385,0.0,0.41698956780923996,0.1961251862891207,0.44099019459602223,0.4859126241140518
c024_ntb0.13_cont0_ro0.58_hv0.62_dn0.52,0.1767577952392298,balanced,2021-12-31,0.13,False,0.58,0.273,0.147,0.62,0.52,0.64,0.19395970665215612,-0.19713340547107172,1.2087955474417016,1.4918389257478015,0.9839007558798485,0.19533422945631274,0.0013745228041566193,1.151618879576533,10.360000000000001,0.004569916188795766,0.00882223202470225,0.5180000000000002,0.7600000000000002,0.010360000000000003,0.8672915747684166,0.5,0.92,0.09398676165843409,0.09430594240342804,0.03840248282815551,0.1129245699161888,0.013674459638288486,0.0105866784296427,0.5249228054697839,0.4067048963387737,0.0,0.03484781649757389,0.0,0.35597706219673575,0.1658579620644023,0.3874493675504648,0.4796635048577229,0.1275623126576746,-0.2606192990467655,0.7396122441110825,1.0545259098187822,0.48945842892005026,0.1296462793819706,0.0020839667242960047,1.8436764705882354,7.960000000000001,0.007316176470588236,0.014705882352941176,0.49750000000000005,0.7200000000000001,0.00796,0.8109742647058825,0.5,0.92,0.13823455955491631,0.12974474789915966,0.059280987394957976,0.12683823529411764,0.029411764705882353,0.017463235294117647,0.30330882352941174,0.47702205882352944,0.0,0.08547794117647059,0.0,0.5441176470588235,0.25919117647058826,0.5525499877139255,0.4989335371233325,0.1720099470427887,-0.2885086881977009,1.035668818579238,1.3421483616040908,0.5962036988117276,0.17362404006799115,0.0016140930252024344,1.3760476900149035,18.320000000000004,0.005460506706408347,0.010730253353204173,0.508888888888889,0.7600000000000002,0.018320000000000003,0.8490283159463486,0.5,0.92,0.11340500506751093,0.10579846710666381,0.045173216946987435,0.11743666169895678,0.018777943368107303,0.012518628912071535,0.45305514157973176,0.42950819672131146,0.0,0.051266766020864385,0.0,0.41698956780923996,0.1961251862891207,0.44099019459602223,0.4859126241140518
c039_ntb0.17_cont0_ro0.56_hv0.62_dn0.52,0.1707086454184517,balanced,2021-12-31,0.17,False,0.56,0.286,0.15399999999999997,0.62,0.52,0.64,0.19323738123250012,-0.19631342500842286,1.2090514674223096,1.4930545644388182,0.9843309555839558,0.19469593859832846,0.001458557365828339,1.2227613586237318,11.0,0.004852227613586237,0.008381120423467137,0.5789473684210525,0.8,0.010999999999999998,0.8660344067048964,0.48000000000000004,0.92,0.0986321296922108,0.09511714663809942,0.03884844665700421,0.1129245699161888,0.013674459638288486,0.010145566828407587,0.5249228054697839,0.40758711954124394,0.0,0.03484781649757389,0.02867225408028231,0.35597706219673575,0.1658579620644023,0.3874493675504648,0.4796635048577229,0.12632307523033237,-0.26211884529997975,0.7360349509999783,1.047381202772312,0.48193053454726986,0.12845619684495446,0.002133121614622091,1.89,8.16,0.0075,0.012867647058823529,0.5828571428571427,0.76,0.008159999999999999,0.8072242647058825,0.48000000000000004,0.92,0.14629686679745899,0.13214915966386553,0.06062657563025208,0.12683823529411764,0.029411764705882353,0.015625,0.30330882352941174,0.4834558823529412,0.0,0.08547794117647059,0.01838235294117647,0.5441176470588235,0.25919117647058826,0.5525499877139255,0.4989335371233325,0.17111309105502115,-0.28896445507222845,1.0345913225323036,1.3403435731538074,0.5921596516507553,0.17279958158129127,0.0016864905262701235,1.4391415797317435,19.159999999999997,0.005710879284649775,0.009836065573770493,0.5806060606060606,0.8,0.019159999999999996,0.8469627421758571,0.48000000000000004,0.92,0.11946596313000131,0.10712633595912283,0.04591092186502021,0.11743666169895678,0.018777943368107303,0.011624441132637855,0.45305514157973176,0.43219076005961254,0.0,0.051266766020864385,0.02533532041728763,0.41698956780923996,0.1961251862891207,0.44099019459602223,0.4859126241140518
c030_ntb0.15_cont0_ro0.56_hv0.62_dn0.52,0.1707086454184517,balanced,2021-12-31,0.15,False,0.56,0.286,0.15399999999999997,0.62,0.52,0.64,0.19323738123250012,-0.19631342500842286,1.2090514674223096,1.4930545644388182,0.9843309555839558,0.19469593859832846,0.001458557365828339,1.2227613586237318,11.0,0.004852227613586237,0.008381120423467137,0.5789473684210525,0.8,0.010999999999999998,0.8660344067048964,0.48000000000000004,0.92,0.0986321296922108,0.09511714663809942,0.03884844665700421,0.1129245699161888,0.013674459638288486,0.010145566828407587,0.5249228054697839,0.40758711954124394,0.0,0.03484781649757389,0.02867225408028231,0.35597706219673575,0.1658579620644023,0.3874493675504648,0.4796635048577229,0.12632307523033237,-0.26211884529997975,0.7360349509999783,1.047381202772312,0.48193053454726986,0.12845619684495446,0.002133121614622091,1.89,8.16,0.0075,0.012867647058823529,0.5828571428571427,0.76,0.008159999999999999,0.8072242647058825,0.48000000000000004,0.92,0.14629686679745899,0.13214915966386553,0.06062657563025208,0.12683823529411764,0.029411764705882353,0.015625,0.30330882352941174,0.4834558823529412,0.0,0.08547794117647059,0.01838235294117647,0.5441176470588235,0.25919117647058826,0.5525499877139255,0.4989335371233325,0.17111309105502115,-0.28896445507222845,1.0345913225323036,1.3403435731538074,0.5921596516507553,0.17279958158129127,0.0016864905262701235,1.4391415797317435,19.159999999999997,0.005710879284649775,0.009836065573770493,0.5806060606060606,0.8,0.019159999999999996,0.8469627421758571,0.48000000000000004,0.92,0.11946596313000131,0.10712633595912283,0.04591092186502021,0.11743666169895678,0.018777943368107303,0.011624441132637855,0.45305514157973176,0.43219076005961254,0.0,0.051266766020864385,0.02533532041728763,0.41698956780923996,0.1961251862891207,0.44099019459602223,0.4859126241140518
c021_ntb0.13_cont0_ro0.56_hv0.62_dn0.52,0.17038663162517637,balanced,2021-12-31,0.13,False,0.56,0.286,0.15399999999999997,0.62,0.52,0.64,0.19308491331509536,-0.19631342500842286,1.2082912912428765,1.492027002219727,0.983554300001699,0.19454321547186604,0.0014583021567706744,1.2227613586237318,11.0,0.004852227613586237,0.00882223202470225,0.5499999999999999,0.8,0.010999999999999998,0.8659417732686371,0.48000000000000004,0.92,0.09867061742415247,0.09518331337828467,0.03887491335307832,0.1129245699161888,0.013674459638288486,0.0105866784296427,0.5249228054697839,0.4067048963387737,0.0,0.03484781649757389,0.02867225408028231,0.35597706219673575,0.1658579620644023,0.3874493675504648,0.4796635048577229,0.1270962362341288,-0.2589005321885033,0.7401289353182574,1.0537317259958958,0.4909075897209478,0.12930491886578954,0.002208682631660741,1.9548529411764706,8.44,0.0077573529411764704,0.014705882352941176,0.5274999999999999,0.76,0.00844,0.8067095588235295,0.48000000000000004,0.92,0.14623340850014427,0.13251680672268906,0.060773634453781505,0.12683823529411764,0.029411764705882353,0.017463235294117647,0.30330882352941174,0.47702205882352944,0.0,0.08547794117647059,0.01838235294117647,0.5441176470588235,0.25919117647058826,0.5525499877139255,0.4989335371233325,0.17127259312780518,-0.28685475310703434,1.035680146876196,1.341960296466546,0.5970707867751388,0.1729842266099877,0.0017116334821825063,1.4601728763040236,19.439999999999998,0.005794336810730253,0.010730253353204173,0.5399999999999999,0.8,0.01944,0.8467332339791356,0.48000000000000004,0.92,0.11950792831971503,0.10729027038535234,0.045976495635512024,0.11743666169895678,0.018777943368107303,0.012518628912071535,0.45305514157973176,0.42950819672131146,0.0,0.051266766020864385,0.02533532041728763,0.41698956780923996,0.1961251862891207,0.44099019459602223,0.4859126241140518
c027_ntb0.15_cont0_ro0.52_hv0.62_dn0.52,0.15546880168613458,balanced,2021-12-31,0.15,False,0.52,0.312,0.16799999999999998,0.62,0.52,0.64,0.19147466912083377,-0.1963134250084232,1.2074784637678175,1.4926975166468346,0.9753518849391895,0.19310039293927161,0.0016257238184378409,1.3650463167181297,12.280000000000001,0.005416850463167182,0.008381120423467137,0.6463157894736842,0.88,0.012280000000000001,0.8633348037053374,0.44,0.92,0.10809532969427907,0.0968718885878127,0.039793307706849836,0.1129245699161888,0.013674459638288486,0.010145566828407587,0.5249228054697839,0.40758711954124394,0.0,0.03484781649757389,0.032642258491398325,0.35597706219673575,0.1658579620644023,0.3874493675504648,0.4796635048577229,0.12537094817696293,-0.2587192485115972,0.7366772384327765,1.0447217559400164,0.4845829944939064,0.12775305952483706,0.0023821113478741385,2.1123529411764705,9.120000000000001,0.008382352941176471,0.012867647058823529,0.6514285714285714,0.84,0.00912,0.7986948529411765,0.44,0.92,0.16237310285983733,0.13769327731092437,0.06361186974789915,0.12683823529411764,0.029411764705882353,0.015625,0.30330882352941174,0.4834558823529412,0.0,0.08547794117647059,0.12775735294117646,0.5441176470588235,0.25919117647058826,0.5525499877139255,0.4989335371233325,0.1696229996243026,-0.2856885424952972,1.0341124043468002,1.3390376244714615,0.5937339948699372,0.1715041711646872,0.0018811715403845852,1.6073919523099853,21.400000000000002,0.0063785394932935925,0.009836065573770493,0.6484848484848484,0.88,0.021400000000000002,0.8423725782414306,0.44,0.92,0.13176087526097216,0.11010994251649989,0.047517479242069394,0.11743666169895678,0.018777943368107303,0.011624441132637855,0.45305514157973176,0.43219076005961254,0.0,0.051266766020864385,0.06348733233979136,0.41698956780923996,0.1961251862891207,0.44099019459602223,0.4859126241140518
c036_ntb0.17_cont0_ro0.52_hv0.62_dn0.52,0.15546880168613458,balanced,2021-12-31,0.17,False,0.52,0.312,0.16799999999999998,0.62,0.52,0.64,0.19147466912083377,-0.1963134250084232,1.2074784637678175,1.4926975166468346,0.9753518849391895,0.19310039293927161,0.0016257238184378409,1.3650463167181297,12.280000000000001,0.005416850463167182,0.008381120423467137,0.6463157894736842,0.88,0.012280000000000001,0.8633348037053374,0.44,0.92,0.10809532969427907,0.0968718885878127,0.039793307706849836,0.1129245699161888,0.013674459638288486,0.010145566828407587,0.5249228054697839,0.40758711954124394,0.0,0.03484781649757389,0.032642258491398325,0.35597706219673575,0.1658579620644023,0.3874493675504648,0.4796635048577229,0.12537094817696293,-0.2587192485115972,0.7366772384327765,1.0447217559400164,0.4845829944939064,0.12775305952483706,0.0023821113478741385,2.1123529411764705,9.120000000000001,0.008382352941176471,0.012867647058823529,0.6514285714285714,0.84,0.00912,0.7986948529411765,0.44,0.92,0.16237310285983733,0.13769327731092437,0.06361186974789915,0.12683823529411764,0.029411764705882353,0.015625,0.30330882352941174,0.4834558823529412,0.0,0.08547794117647059,0.12775735294117646,0.5441176470588235,0.25919117647058826,0.5525499877139255,0.4989335371233325,0.1696229996243026,-0.2856885424952972,1.0341124043468002,1.3390376244714615,0.5937339948699372,0.1715041711646872,0.0018811715403845852,1.6073919523099853,21.400000000000002,0.0063785394932935925,0.009836065573770493,0.6484848484848484,0.88,0.021400000000000002,0.8423725782414306,0.44,0.92,0.13176087526097216,0.11010994251649989,0.047517479242069394,0.11743666169895678,0.018777943368107303,0.011624441132637855,0.45305514157973176,0.43219076005961254,0.0,0.051266766020864385,0.06348733233979136,0.41698956780923996,0.1961251862891207,0.44099019459602223,0.4859126241140518
c018_ntb0.13_cont0_ro0.52_hv0.62_dn0.52,0.15514677020966455,balanced,2021-12-31,0.13,False,0.52,0.312,0.16799999999999998,0.62,0.52,0.64,0.19132243030188434,-0.1963134250084232,1.2067131605616237,1.491661116137622,0.9745763963604389,0.19294787377828193,0.0016254434763975922,1.3650463167181297,12.280000000000001,0.005416850463167182,0.00882223202470225,0.614,0.88,0.012280000000000001,0.8632421702690781,0.44,0.92,0.1081281364398392,0.09693805532799796,0.03981977440292394,0.1129245699161888,0.013674459638288486,0.0105866784296427,0.5249228054697839,0.4067048963387737,0.0,0.03484781649757389,0.032642258491398325,0.35597706219673575,0.1658579620644023,0.3874493675504648,0.4796635048577229,0.12614345559607765,-0.2554861078539117,0.740815521839467,1.0511320905529298,0.49373900074522703,0.12860125270979106,0.0024577971137134114,2.1772058823529408,9.399999999999999,0.00863970588235294,0.014705882352941176,0.5874999999999999,0.84,0.009399999999999999,0.7981801470588236,0.44,0.92,0.16228888064907993,0.1380609243697479,0.06375892857142856,0.12683823529411764,0.029411764705882353,0.017463235294117647,0.30330882352941174,0.47702205882352944,0.0,0.08547794117647059,0.12775735294117646,0.5441176470588235,0.25919117647058826,0.5525499877139255,0.4989335371233325,0.1697823013154791,-0.2835691206233417,1.0352129272298034,1.3406758030193806,0.5987333914999757,0.17168861224456156,0.0019063109290824443,1.6284232488822654,21.68,0.006461997019374069,0.010730253353204173,0.6022222222222222,0.88,0.021679999999999998,0.8421430700447095,0.44,0.92,0.13179093244125065,0.1102738769427294,0.0475830530125612,0.11743666169895678,0.018777943368107303,0.012518628912071535,0.45305514157973176,0.42950819672131146,0.0,0.051266766020864385,0.06348733233979136,0.41698956780923996,0.1961251862891207,0.44099019459602223,0.4859126241140518
c015_ntb0.11_cont0_ro0.58_hv0.62_dn0.52,0.1149538889783629,balanced,2021-12-31,0.11,False,0.58,0.273,0.147,0.62,0.52,0.64,0.18991962515453786,-0.20517165884514865,1.184349810156257,1.4554172690256288,0.9256620832698822,0.19186753412632163,0.0019479089717837628,1.6385002205558012,14.740000000000006,0.0065019850022055604,0.024702249669166298,0.2632142857142858,0.7200000000000001,0.014740000000000008,0.8697132774591972,0.5,0.92,0.09464607680504719,0.09270218665322325,0.037584535887579554,0.1129245699161888,0.013674459638288486,0.02646669607410675,0.5690339655932951,0.3625937362152625,0.0,0.03484781649757389,0.0,0.35597706219673575,0.1658579620644023,0.3874493675504648,0.4796635048577229,0.12947162274600266,-0.258522655027728,0.753769496301873,1.0807551928700465,0.5008134499164729,0.1318794049185854,0.002407782172582751,2.1262500000000006,9.180000000000003,0.008437500000000002,0.025735294117647058,0.3278571428571431,0.7200000000000001,0.009180000000000004,0.8080974264705882,0.5,0.92,0.13714848675741026,0.13176024159663868,0.06014233193277311,0.12683823529411764,0.029411764705882353,0.02849264705882353,0.28952205882352944,0.49724264705882354,0.0,0.08547794117647059,0.0,0.5441176470588235,0.25919117647058826,0.5525499877139255,0.4989335371233325,0.16997048859085462,-0.2860998026035645,1.026851527230412,1.3290738997267026,0.5940950921464808,0.17207343057472357,0.0021029419838689556,1.7966736214605072,23.92000000000001,0.007129657228017886,0.02503725782414307,0.2847619047619049,0.7200000000000001,0.02392000000000001,0.8497317436661699,0.5,0.92,0.11395028404427242,0.10536840536512666,0.04489985096870343,0.11743666169895678,0.018777943368107303,0.026825633383010434,0.4783904619970194,0.40625931445603575,0.0,0.051266766020864385,0.0,0.41698956780923996,0.1961251862891207,0.44099019459602223,0.4859126241140518
