ticker,returncode,result_dir,final_capital,cagr,mdd,sharpe,sortino,calmar,avg_stock_weight,turnover,offensive_activation_rate,tier3_rate,stale_hold_rate
QQQ,0,results_v8_6_41_model_label_fixed_compare\qqq,795583061.7036581,0.16845443756029121,-0.2531319682000135,1.2819897500942887,1.756985406578108,0.665480692771235,0.7250342567768842,7.509705093833779,0.19690199582960977,0.11140899612749479,0.0
SPY,0,results_v8_6_41_model_label_fixed_compare\spy,355530369.31003606,0.09989866476114306,-0.1820784753742677,1.007992465620888,1.2815466093403745,0.548657190564664,0.7134107834375931,6.972225201072386,0.14596365802800118,0.07000297885016384,0.0
AAPL,0,results_v8_6_41_model_label_fixed_compare\aapl,1155930446.3939812,0.20168632718652857,-0.31500446402953486,0.9836749212026183,1.3708564389697133,0.6402649810309305,0.7724873398868037,5.9543163538874,0.35656836461126007,0.22043491212392016,0.0
SOXX,0,results_v8_6_41_model_label_fixed_compare\soxx,1317244896.6038883,0.2135286501295488,-0.35280970449505855,1.0047184044290811,1.3313139203330622,0.605223290088211,0.7309800417039023,6.5758713136729225,0.21417932677986298,0.10574918081620495,0.0
NVDA,0,results_v8_6_41_model_label_fixed_compare\nvda,12220479242.888508,0.43440405106852453,-0.5709713548505887,1.2180145611064992,1.7155403157686464,0.7608158401960445,0.7470777479892761,5.630026809651475,0.25618111408996125,0.15251712838844206,0.0
