asset_class,ph_rank_bin_756,mid_trend_state,count,start_date,end_date,avg_stock_weight,avg_signal_stock_weight,avg_base_stock_weight,avg_ph_raw,avg_ph_ewma,avg_ph_rank,strategy_ann_return,strategy_mdd,bh_ann_return,bh_mdd,bh_gap_ann_return
sector_etf,00_30,BEAR,1,2025-02-25,2025-02-25,0.68,0.68,0.68,0.2487349987030029,0.3936993509909345,0.07671957671957672,-0.9999654193526825,0.0,-0.9999997280723447,0.0,3.4308719662257126e-05
sector_etf,00_30,BULL,618,2016-11-30,2026-05-07,0.913527508090615,0.9249838187702267,0.9200000000000003,0.28267700387387984,0.31122947816334,0.15985599561651342,0.13959158405955163,-0.14403963964936795,0.15341671049812322,-0.15452197985621785,-0.013825126438571589
sector_etf,00_30,NEUTRAL,12,2021-10-14,2025-02-26,0.9700000000000001,0.9833333333333334,0.7799999999999999,0.3280067203566432,0.40503546221875536,0.19014550264550265,0.0073304614915914446,-0.04481182883447832,0.00856408376445672,-0.04481182883447832,-0.0012336222728652757
sector_etf,30_50,BEAR,45,2022-07-28,2025-05-22,0.9782222222222224,0.9688888888888889,0.68,0.5065882003638481,0.548161712877405,0.4354791299235744,0.0022796169681367218,-0.13297805670232554,0.0075312756406626935,-0.13261072613420488,-0.005251658672525972
sector_etf,30_50,BULL,567,2015-02-25,2026-05-04,0.9076190476190477,0.9126631393298063,0.9000000000000002,0.3861819205381883,0.3978951979132163,0.3954496718076681,-0.004060370551839054,-0.36536871713133334,-0.00287000102449142,-0.3846097615729005,-0.0011903695273476345
sector_etf,30_50,NEUTRAL,25,2018-06-27,2025-05-23,0.976,0.9560000000000001,0.78,0.44567820537090297,0.49313098046358533,0.4062698412698413,0.011227240628975732,-0.08247300313402806,0.010935118044708814,-0.08479594162472592,0.0002921225842669184
sector_etf,50_70,BEAR,109,2018-06-28,2025-05-09,0.9187155963302751,0.9647706422018347,0.6800000000000002,0.6382866392988676,0.6426752042526912,0.6190718897140915,0.05512099192372122,-0.12530809348816485,0.05153884801265529,-0.15758248983914824,0.003582143911065927
sector_etf,50_70,BULL,444,2015-02-20,2026-04-07,0.830855855855856,0.8276126126126127,0.8000000000000002,0.5105170951015107,0.5041003130235832,0.5986000816890884,0.009638637431053976,-0.3008985437008683,0.010391172959608008,-0.3619290829628198,-0.0007525355285540325
sector_etf,50_70,NEUTRAL,39,2016-05-18,2025-05-30,0.9325641025641025,0.9707692307692307,0.7199999999999998,0.5943291960236354,0.5907599600574944,0.6185897435897436,0.014219983547403947,-0.06264857903240251,0.012079659710892754,-0.07850450477582438,0.002140323836511193
sector_etf,70_85,BEAR,127,2016-01-06,2025-05-06,0.6094488188976377,0.56755905511811,0.6200000000000002,0.767163543837277,0.7628309541194389,0.7793504978544348,0.007327109408523436,-0.15953410177104677,0.013160808595965134,-0.2149490571705165,-0.005833699187441699
sector_etf,70_85,BULL,285,2015-02-13,2026-03-25,0.7460350877192984,0.7260350877192983,0.7000000000000002,0.6379136341339663,0.6075923520154017,0.7655734472364117,0.017962949503664838,-0.12478803488903323,0.021601075038281348,-0.17930340225007102,-0.0036381255346165098
sector_etf,70_85,NEUTRAL,46,2016-03-03,2026-04-02,0.7717391304347825,0.8004347826086954,0.6200000000000001,0.6976507342380027,0.6948374892043904,0.7633712905452036,0.014727625223906138,-0.09626537271229851,0.015869881548932874,-0.11919478948915396,-0.001142256325026736
sector_etf,85_95,BEAR,209,2015-07-06,2025-04-03,0.46665071770334926,0.46765550239234455,0.5199999999999999,0.8329138605503374,0.8193418575951702,0.9109935307776438,-0.004222443080126426,-0.1671878556228008,-0.005164768121148078,-0.2723712782387495,0.0009423250410216522
sector_etf,85_95,BULL,107,2015-01-02,2026-03-27,0.7338317757009347,0.7523364485981308,0.5999999999999999,0.7484454767865557,0.694267028359419,0.8959494209541067,0.0026074789195500436,-0.10962459319169093,0.004259481292179457,-0.14299898671377032,-0.001652002372629413
sector_etf,85_95,NEUTRAL,27,2015-06-29,2026-03-30,0.6814814814814816,0.6007407407407408,0.52,0.80893992472578,0.7694326483546722,0.9093823153762763,0.011298886203717107,-0.02684686902883915,0.01614720389936264,-0.03530374721481111,-0.004848317695645532
sector_etf,95_100,BEAR,152,2015-05-06,2024-09-13,0.3731578947368422,0.36519736842105266,0.42000000000000004,0.8766115772096736,0.8530520955529517,0.9801018782057596,0.010081744302487872,-0.07152402247777623,0.02180835977173179,-0.15212392968758426,-0.011726615469243917
sector_etf,95_100,BULL,33,2015-01-05,2021-03-12,0.6054545454545456,0.6115151515151515,0.5,0.7132973016211482,0.6380448861948376,0.9721178735798677,0.010145146111904868,-0.028689993727030072,0.021648480042946394,-0.03445144727352656,-0.011503333931041526
sector_etf,95_100,NEUTRAL,7,2015-05-05,2019-05-28,0.7914285714285715,0.6371428571428571,0.42,0.8003808987992151,0.7458900651806203,0.9785262576081097,0.0013861993009369744,-0.010259439594101583,0.0029570135370478035,-0.011488777425649799,-0.001570814236110829
sector_etf,raw_fallback,BEAR,16,2013-08-27,2014-10-30,0.68,0.7225,0.60375,0.6206599035067484,0.5840252713428881,,0.10770329291986869,-0.011486222028471271,0.16325797827963973,-0.014330794687603565,-0.05555468535977104
sector_etf,raw_fallback,BULL,482,2013-01-02,2014-12-31,0.8394605809128631,0.844564315352697,0.8345228215767635,0.20945499681199115,0.20913409900120275,,0.20981465651935194,-0.10700885299787244,0.2449540472233125,-0.1333223874200341,-0.03513939070396055
sector_etf,raw_fallback,NEUTRAL,6,2013-08-23,2014-10-09,0.8133333333333334,0.82,0.82,0.2748687967037161,0.259917823438947,,-0.04278060339858303,-0.03899150822611752,-0.05278388189240357,-0.048011300299173,0.010003278493820544
