Date,Open,High,Low,Close,Volume,daily_return,return_5d,return_20d,log_return,ma_5,ma_20,ma_60,ma_gap_5_20,ma_gap_20_60,volatility_5d,volatility_20d,volatility_60d,volume_change,volume_ma_20,volume_ratio,cummax_close,drawdown,future_return_20d,future_volatility_20d,label
2000-03-29,97.32587427659469,97.37859685204246,92.79173278808594,92.79173278808594,27189500,-0.04139414971637645,-0.035087411698353166,0.02206734381524522,-0.042275289329658884,97.18878479003907,94.05475883483886,85.20505777994792,0.033321290639887646,0.1038635649745856,0.02559089171099297,0.030871014511888357,0.03545402760938625,0.48282368853040136,31147995.0,0.872913328771242,99.32933044433594,-0.06581739378494722,-0.17045479024777843,0.0496962900779401,고변동
2000-03-30,90.47196197509766,95.1115497686924,87.30860666128305,90.47196197509766,42328700,-0.02499975744914773,-0.07543083855496913,0.0201386860083117,-0.025317559214215926,95.71255645751953,94.14405975341796,85.47218589782715,0.016660601935053254,0.10145843076901206,0.02231417107960705,0.03095128068830263,0.034390298808196246,0.5568031776972728,31627470.0,1.3383523879715955,99.32933044433594,-0.08917173235353626,-0.1165502830454952,0.05057666535318691,고변동
2000-03-31,91.22318815205195,93.31890942299202,87.73031936715182,92.36990356445312,31349900,0.020978229585403296,-0.0685806841035752,-0.014069036864710505,0.02076121631602375,94.35231170654296,94.07815475463867,85.80258000691732,0.002914140404000287,0.09644901991355259,0.024848369294860694,0.028562528224121947,0.034241665385846914,-0.25937012003675997,31594105.0,0.9922705517374206,99.32933044433594,-0.07006416784197356,-0.1267120108286801,0.05032705634271525,고변동
2000-04-03,90.90695051808176,92.05366716228548,84.98883818190389,86.8341293334961,31551300,-0.05993049702703568,-0.12579568446645417,-0.08040142782105064,-0.061801467118524446,91.853271484375,93.69855499267578,86.12374954223633,-0.01969383101420319,0.08795257394970557,0.029984787023191822,0.03141962645320955,0.033941687709865886,0.006424262916309154,32008250.0,0.9857239930330461,99.32933044433594,-0.12579568446645417,-0.12446893091548472,0.05019248188313209,고변동
2000-04-04,87.4140183795529,87.67763122146953,74.49698912563827,85.99050903320312,66213000,-0.00971530787224173,-0.11165572027469362,-0.07539681172445889,-0.009762809387381357,89.69164733886718,93.34794998168945,86.29158325195313,-0.03916853710809365,0.0817735225593581,0.030890015986903004,0.03134035383986862,0.030179592048702183,1.0985823088113644,33345350.0,1.9856741644637108,99.32933044433594,-0.13428884853510492,-0.12568960481407598,0.05019961895394704,고변동
2000-04-05,82.2472298725714,87.67765594749117,81.19277820753842,84.46157836914062,37631500,-0.01778022576273086,-0.08977259254301662,-0.1000000081296788,-0.01794019298214613,88.02561645507812,92.87871894836425,86.39878641764322,-0.05225203952246804,0.07500027256630282,0.029132159661289982,0.031351167128009685,0.030106526673367173,-0.4316599459320677,33051295.0,1.138578685040934,99.32933044433594,-0.14968138825346444,-0.10799049875399125,0.05014068232740499,고변동
2000-04-06,86.35958170076695,87.62492355718845,84.14523345202934,86.46502685546875,30499900,0.023720234987464117,-0.044289247543142785,-0.10869546068840896,0.02344328126915131,87.22422943115234,92.35149421691895,86.60264714558919,-0.05551902358746341,0.06638188624494679,0.03405801958699184,0.03078010329888539,0.029495973761706262,-0.18951144652751017,33071220.0,0.922249012887943,99.32933044433594,-0.1295116309686224,-0.1079271559595466,0.05014283953365151,고변동
2000-04-07,87.83581430271948,90.57738833857869,86.57047244001525,89.94471740722656,20645500,0.04024390760410346,-0.02625515523608113,-0.06877691263454044,0.039455212198638026,86.73919219970703,92.01934394836425,86.89174308776856,-0.057380888866368385,0.059011370682440445,0.0389689546879173,0.03242279530424241,0.029696409565504733,-0.3230961412988239,32615965.0,0.6329875568605743,99.32933044433594,-0.0944797774748769,-0.1758502715273953,0.049546213647144434,고변동
2000-04-10,90.78828835933842,90.84101094259007,83.72346220361754,84.46157836914062,26988200,-0.060961212577509305,-0.027322793267649637,-0.10201788575020787,-0.06289849346778933,86.26468200683594,91.53956871032715,87.01652043660482,-0.05762411575461257,0.051979190285108556,0.03933521702885433,0.03458813964193292,0.029926837175335563,0.3072194909302268,32088165.0,0.841063987298744,99.32933044433594,-0.14968138825346444,-0.14107386553944756,0.048108233800242456,고변동
2000-04-11,81.93091914964758,85.6215010933254,80.19107337619947,82.45814514160156,34497100,-0.023720054327933893,-0.04107853216960988,-0.08963863183087695,-0.024005904114749937,85.55820922851562,91.13360710144043,87.07803090413411,-0.06117828592825103,0.046574045774773865,0.040251892188250184,0.034061001781843306,0.029975104981452835,0.27822900378684023,31857680.0,1.0828503519402544,99.32933044433594,-0.16985099192014563,-0.1841435483533701,0.05022956472877754,고변동
