period,strategy_net,strategy_gross,stock_buy_hold,bond,cash,avg_stock_weight,turnover_sum,max_drawdown_inside_period
2013-01-31,0.03647021600993727,0.03647021600993727,0.04245461026391362,-0.0009361734981376824,-0.0002182682686505677,0.86,0.0,-0.012725654430430167
2013-02-28,0.022865175822135653,0.022865175822135653,0.025430909094547927,0.009105126635453376,1.1102230246251565e-15,0.86,0.0,-0.03381414859016729
2013-03-31,0.0008646320907610416,0.0008646320907610416,0.000455206790743512,0.0034094866310405703,0.00021831592009058376,0.86,0.0,-0.03205156696828637
2013-04-30,0.04342703988161167,0.04367514101022052,0.05357451873313401,0.017856283431407105,8.881784197001252e-16,0.8218181818181818,0.24,-0.04585566039797184
2013-05-31,0.04250013776479,0.04266548518522506,0.059930470629188326,-0.03528778464896709,1.3322676295501878e-15,0.8090909090909091,0.15999999999999992,-0.01534761752780589
2013-06-30,-0.00980008752183259,-0.009642178500279042,-0.008370646445362673,-0.023613388560555837,-0.00021826826864990156,0.8039999999999999,0.15999999999999992,-0.05238621311681635
2013-07-31,0.024448723490591684,0.024611947582002358,0.034786680813921,-0.0046767729583420126,4.440892098500626e-16,0.7981818181818183,0.15999999999999992,-0.03613356268314294
2013-08-31,-0.01762154787002501,-0.01762154787002501,-0.018558290533445265,-0.022691167468012252,0.0,0.82,0.0,-0.052040975901731845
2013-09-30,0.040741041445734094,0.040741041445734094,0.04577307923776219,0.02710276102640985,0.0,0.82,0.0,-0.01057445087533937
2013-10-31,0.017205419744338535,0.017205419744338535,0.020098270134956575,0.004714967350600396,-0.00043694194801913167,0.82,0.0,-0.027945356708230396
2013-11-30,0.011406736629530068,0.011406736629530068,0.014886353995364754,-0.00769320906152815,0.0002183079387045872,0.82,0.0,-0.021678071031905444
2013-12-31,0.0240082750759556,0.0240082750759556,0.03150667941377372,-0.015168146474924926,-0.00021826029075033837,0.82,0.0,-0.01775603422137606
2014-01-31,-0.008639570068246116,-0.008639570068246116,-0.014964712968168814,0.029682694298154733,0.0,0.82,0.0,-0.04142275465423473
2014-02-28,0.08289844756272302,0.08289844756272302,0.10208673978028848,-0.0016072467941816715,-0.000217687451905757,0.82,0.0,-0.005287179221139637
2014-03-31,0.03520891049379471,0.03520891049379471,0.04424696682979801,-0.009225350377266128,0.0,0.82,0.0,-0.018827287421592565
2014-04-30,-0.022316251773940254,-0.022005226052448035,-0.032286013601288466,0.01848376999543011,-2.220446049250313e-16,0.800952380952381,0.31999999999999984,-0.04723494699994024
2014-05-31,0.04921880812935764,0.04921880812935764,0.05956806035261786,0.00412771405104051,-0.000219182967818643,0.82,0.0,-0.021358295950670625
2014-06-30,0.05094582090331157,0.05094582090331157,0.06233458759203536,0.00010290188150552382,0.00021923101952237012,0.82,0.0,-0.00926122515482286
2014-07-31,-0.04107277903199735,-0.04107277903199735,-0.051702588455355025,0.011665954404429968,-0.0002191829678181989,0.82,0.0,-0.055637706565926814
2014-08-31,0.04137912999388038,0.04179648229666011,0.05416093273468703,0.007237992320233255,0.0,0.7990476190476189,0.3999999999999999,-0.009311798714502606
2014-09-30,-0.0326057602398081,-0.0326057602398081,-0.03802199921852767,-0.00019158430522414616,0.0,0.86,0.0,-0.048858102674310344
2014-10-31,0.03482886143595043,0.03643422890449299,0.03823779226368029,0.009432508890645286,-0.00021829988258303956,0.7878260869565219,1.5599999999999998,-0.08676138260376764
2014-11-30,0.053741798418265985,0.05420210814871207,0.061878087653299385,0.006382447947834047,-0.0002186579945769873,0.9231578947368421,0.44000000000000017,-0.017365623844378786
2014-12-31,-0.00454232174964897,-0.004384455636447404,-0.011229898977040742,0.019556780988391642,4.440892098500626e-16,0.7872727272727271,0.15999999999999992,-0.04706675955970907
2015-01-31,-0.0037930930223647463,-0.003515708980372678,-0.009773629692579222,0.021461705700066336,0.0,0.6069999999999999,0.28,-0.02154380924496213
2015-02-28,0.06886721508371196,0.06971936672344681,0.08328709064529138,-0.02462583191035561,-0.00021829179682408828,0.9221052631578948,0.8,-0.018488469530595353
2015-03-31,-0.032166772025872925,-0.0313903101809192,-0.04331826526382265,0.020249040173598853,-0.00021916767838925377,0.7990909090909093,0.8,-0.06266314558945496
2015-04-30,0.016956045353688776,0.017768019016932923,0.021458988365514742,-0.01566357661571882,0.0,0.7304761904761906,0.8,-0.033623721177224675
2015-05-31,0.04520009622837562,0.04603596976985713,0.05042022408449731,-0.008004406883525439,0.0,0.952,0.7999999999999998,-0.011173741017705296
2015-06-30,-0.06084018597127572,-0.06035172234887909,-0.07018506399705504,-0.006710656321317843,-0.00021838732197942967,0.8054545454545452,0.52,-0.06111504783920474
2015-07-31,-0.038382581008408856,-0.03638390191612062,-0.06954919563038875,0.01474763043382099,-0.00021874574380542633,0.8045454545454548,2.08,-0.04621214520507
2015-08-31,-0.036055645398455294,-0.034362122394747785,-0.04971599181473163,0.004689300676087749,2.220446049250313e-16,0.4761904761904764,1.7600000000000002,-0.06513362703753134
2015-09-30,0.01207152138339973,0.01207152138339973,0.00770709619379506,0.01969320672290298,8.881784197001252e-16,0.30000000000000004,0.0,-0.019116816101832357
2015-10-31,0.035596785181479795,0.03718925310854915,0.10502603622633333,-0.017338362793936413,-0.00021889719943124497,0.4936363636363636,1.56,-0.03172518713667827
2015-11-30,0.016244236465632333,0.016693034853310973,0.019713986189867416,0.0037209583874582286,-0.00021894512590636683,0.659,0.43999999999999995,-0.028080640466651485
2015-12-31,-0.032878575941382326,-0.03202016336266256,-0.04798740829391168,-0.0030579381551355533,0.00021899307337247542,0.739090909090909,0.8799999999999999,-0.039690622065502335
2016-01-31,-0.05361739451986636,-0.052011514585687646,-0.08310588605264513,0.0341453659749833,-0.00043768301553648303,0.5421052631578948,1.6800000000000002,-0.05857981160386805
2016-02-29,0.025092991859767544,0.025092991859767544,0.08233100666581583,0.00041634522366296167,0.00021883366941044535,0.30000000000000004,0.0,-0.01660821231485554
2016-03-31,0.04385822708177001,0.04585543960849159,0.05059133517588954,0.009857885996183313,0.00021899307337247542,0.7709090909090908,1.92,-0.01458709057877583
