asset_class,allocation_regime,mid_trend_state,ph_rank_bin_756,count,start_date,end_date,avg_stock_weight,avg_base_signal_stock_weight,avg_signal_stock_weight,avg_ph_raw,avg_ph_ewma,avg_ph_rank_504,avg_ph_rank_756,avg_ph_z_756,avg_up_strength_score,avg_down_strength_score,offensive_activation_rate,tier3_rate,ph_context_available_rate_756,strategy_ann_return,strategy_mdd,strategy_gross_ann_return,bh_ann_return,bh_mdd,bh_gap_ann_return
broad_index,CUSTOM,BEAR,00_30,1,2023-09-22 00:00:00,2023-09-22 00:00:00,1.0,0.82,0.82,0.3458459258079529,0.2681131436038323,0.30753968253968256,0.2804232804232804,-0.9052041770506122,0.434122139341861,0.3378756690275574,1.0,0.0,1.0,-0.9759988932340896,0.0,-0.9759988932340896,-0.9759988932340896,0.0,0.0
broad_index,CUSTOM,BEAR,30_50,12,2015-08-06 00:00:00,2024-04-30 00:00:00,0.88,0.73,0.8583333333333334,0.4089976141229272,0.4176923487759123,0.3578042328042328,0.3752157770850486,-0.46907591428600304,0.46323729154397814,0.287137081103222,0.9166666666666666,0.0,1.0,1.9915243315744688,-0.011625211287390136,1.9915243315744688,2.3702099846759106,-0.011893613047655904,-0.37868565310144175
broad_index,CUSTOM,BEAR,50_70,29,2015-08-11 00:00:00,2024-09-11 00:00:00,0.8213793103448277,0.5813793103448276,0.8006896551724139,0.5886929738110509,0.6173264290058932,0.5847701149425288,0.6178030003095292,0.3646436218277966,0.5865344229027584,0.21602068097223648,0.8275862068965517,0.0,1.0,0.13804935199095847,-0.03380985709053441,0.13804935199095847,0.12329127016445929,-0.04086177643950695,0.014758081826499181
broad_index,CUSTOM,BEAR,70_85,60,2015-06-30 00:00:00,2026-03-17 00:00:00,0.8076666666666665,0.4746666666666666,0.7996666666666665,0.7604526009907325,0.7404954175316031,0.7708002645502645,0.7791213866173309,1.0551057031223112,0.6836413075441494,0.1457893773887089,0.9666666666666667,0.0,1.0,0.33507391297448974,-0.06341636940786732,0.33507391297448974,0.42869242356696535,-0.07279352623070656,-0.09361851059247561
broad_index,CUSTOM,BEAR,85_95,46,2015-08-20 00:00:00,2026-04-07 00:00:00,0.8052173913043473,0.44826086956521755,0.8004347826086952,0.790606454986593,0.7627860337752643,0.8806504485852311,0.9005693522523102,1.627103939559289,0.6411640413456103,0.19566871850521145,1.0,0.0,1.0,0.2332791112461563,-0.044167887199059286,0.2332791112461563,0.3830510394243847,-0.05268113730087809,-0.14977192817822838
broad_index,CUSTOM,BEAR,95_100,35,2015-01-30 00:00:00,2026-03-30 00:00:00,0.8045714285714287,0.4257142857142857,0.8000000000000002,0.8415126368829183,0.7867353381265865,0.9755102040816326,0.9791101872894739,2.2365196957693083,0.7021653862859668,0.12349305533814066,1.0,0.0,1.0,-0.19919263889256578,-0.04841620642873323,-0.19919263889256578,-0.24659291940182382,-0.06095877845771913,0.04740028050925804
broad_index,CUSTOM,BEAR,raw_fallback,15,2014-04-16 00:00:00,2014-10-23 00:00:00,0.8106666666666669,0.45999999999999996,0.8000000000000003,0.7760944565137227,0.7635719883801247,,,,0.6083180709631114,0.1934289698943331,1.0,0.0,0.0,3.075568947246561,-0.010472957023449636,3.075568947246561,4.978042850110719,-0.011892834206131409,-1.9024739028641582
broad_index,CUSTOM,BULL,00_30,1175,2015-02-23 00:00:00,2026-05-07 00:00:00,0.8434553191489363,0.8476936170212767,0.8494978723404256,0.2028616006085847,0.21931739156155905,0.13377912867274572,0.13220066466921152,-1.221376783097705,0.09817193515564863,0.3227371660121691,0.0374468085106383,0.0,1.0,0.141653164967668,-0.08942300375782775,0.141653164967668,0.16745124419257484,-0.10614858881268019,-0.025798079224906845
broad_index,CUSTOM,BULL,30_50,454,2015-03-02 00:00:00,2026-04-30 00:00:00,0.8340088105726872,0.8148898678414096,0.8218061674008811,0.3181671817602368,0.2975754151732142,0.40475753443815116,0.38913168877840126,-0.5437532491667837,0.10424172906052899,0.3400210319573111,0.04185022026431718,0.0,1.0,0.15993667225041186,-0.08475698224387529,0.15993667225041186,0.17617691597580132,-0.10028053146034643,-0.016240243725389458
broad_index,CUSTOM,BULL,50_70,219,2015-03-03 00:00:00,2026-04-28 00:00:00,0.8390867579908675,0.7686757990867579,0.794703196347032,0.4251992850611199,0.37102711930755217,0.5815757048633761,0.5866944974357878,0.026069757219661656,0.18285029899167612,0.33133741982137577,0.1552511415525114,0.0,1.0,-0.11230700251881354,-0.19700756716690415,-0.11230700251881354,-0.1429386083626295,-0.22687987277351473,0.030631605843815968
broad_index,CUSTOM,BULL,70_85,66,2015-03-10 00:00:00,2026-01-23 00:00:00,0.8281818181818181,0.666969696969697,0.7754545454545455,0.566648878811887,0.5016057553325705,0.7395683020683022,0.7623234955164355,0.7684909323191084,0.35476525295877137,0.27878801733992065,0.36363636363636365,0.0,1.0,0.44590181633654624,-0.05211670006419811,0.44590181633654624,0.48817508428011114,-0.06641093559808497,-0.042273267943564896
broad_index,CUSTOM,BULL,85_95,41,2015-01-22 00:00:00,2026-02-11 00:00:00,0.8073170731707315,0.5,0.793170731707317,0.7409335407178577,0.712767397900861,0.9209736740224547,0.8881041222763896,1.6331630128602526,0.4774855500313334,0.22235652185987403,0.8536585365853658,0.0,1.0,0.03843044729968925,-0.03688490573659342,0.03843044729968925,0.03256104666490711,-0.047207039812914964,0.00586940063478214
