asset_class,ph_rank_bin_756,mid_trend_state,count,start_date,end_date,avg_stock_weight,avg_base_signal_stock_weight,avg_signal_stock_weight,avg_ph_raw,avg_ph_ewma,avg_ph_rank_504,avg_ph_rank_756,avg_ph_z_756,avg_up_strength_score,avg_down_strength_score,offensive_activation_rate,tier3_rate,ph_context_available_rate_756,strategy_ann_return,strategy_mdd,strategy_gross_ann_return,bh_ann_return,bh_mdd,bh_gap_ann_return
broad_index,00_30,BEAR,28,2022-07-29 00:00:00,2023-11-02 00:00:00,0.9507142857142857,0.7414285714285713,0.9642857142857143,0.35470640928085356,0.400869758353092,0.20294784580498865,0.20162509448223728,-1.0447027337475852,0.5658981077633857,0.2306541306115712,1.0,0.8571428571428571,1.0,-0.13363323634164703,-0.05150590290155177,-0.12422722427920163,-0.23074287219459544,-0.05164863455251201,0.0971096358529484
broad_index,00_30,BULL,1546,2015-02-13 00:00:00,2026-05-07 00:00:00,0.8307244501940492,0.8288745148771021,0.8422121604139715,0.2227648477483285,0.2536604291150819,0.14294056346126205,0.14170111633559715,-1.199832332700096,0.139122240006981,0.3331448181610364,0.0944372574385511,0.06274256144890039,1.0,0.11666718849670588,-0.13041101683713396,0.11965486093143851,0.13145421341557362,-0.16790302391054335,-0.014787024918867742
broad_index,00_30,NEUTRAL,13,2015-07-23 00:00:00,2024-04-24 00:00:00,0.9861538461538462,0.7646153846153846,0.9830769230769232,0.2999543422689805,0.3513127907184274,0.1949023199023199,0.1833767867982487,-1.0840281082474001,0.6250292696728249,0.19650680634857817,0.9230769230769231,0.8461538461538461,1.0,0.5942463041288673,-0.014505154820096178,0.5991266726710911,0.6547705697470978,-0.014505154820095956,-0.060524265618230544
broad_index,30_50,BEAR,44,2015-07-27 00:00:00,2026-03-17 00:00:00,0.9181818181818181,0.6990909090909091,0.920909090909091,0.4539746301079339,0.4602440387021659,0.3839736652236652,0.39232352161548595,-0.3494713668106548,0.5375034765045711,0.25125665344215414,0.9318181818181818,0.6590909090909091,1.0,0.34367208823814854,-0.03308170984430969,0.35996805775137974,0.486587400098488,-0.03374981242279451,-0.14291531186033946
broad_index,30_50,BULL,1060,2015-02-11 00:00:00,2026-04-30 00:00:00,0.7732830188679246,0.7443584905660378,0.7782830188679245,0.37760140389485186,0.3933742481995727,0.40682651991614255,0.39950956927632836,-0.4432200486819306,0.16486354631783648,0.3778895625344192,0.1311320754716981,0.10377358490566038,1.0,0.07834134346885202,-0.19494515454451122,0.08404852079532432,0.06732033161971063,-0.3129150644490799,0.011021011849141393
broad_index,30_50,NEUTRAL,24,2016-06-13 00:00:00,2024-09-13 00:00:00,0.8583333333333333,0.6625,0.8424999999999999,0.4408535029739142,0.5093440423108929,0.36764219576719576,0.39671516754850095,-0.36125912787718956,0.5078560781636065,0.2910504461273707,0.75,0.4583333333333333,1.0,0.20968405872843165,-0.046255177095448574,0.21835580296518042,0.5926037711049108,-0.04830671512678575,-0.38291971237647915
broad_index,50_70,BEAR,91,2015-07-24 00:00:00,2026-04-08 00:00:00,0.7298901098901097,0.5591208791208792,0.774065934065934,0.6307256792600339,0.6426339252828077,0.5775771847200418,0.6157804918587789,0.40770797834890166,0.549377834587412,0.24757801666581092,0.7032967032967034,0.24175824175824176,1.0,0.17848153983448145,-0.06539872601943364,0.19861077455065823,0.01922939910419852,-0.12659104268920307,0.15925214073028293
broad_index,50_70,BULL,939,2015-01-02 00:00:00,2026-04-29 00:00:00,0.7060276890308839,0.6574227902023428,0.7045580404685836,0.5231052904043653,0.5161336444156404,0.5823697956285816,0.5986867577346182,0.20421022854960877,0.20841268803743393,0.4084339814589439,0.1650692225772098,0.10862619808306709,1.0,0.0990895088537771,-0.15743141503879132,0.10791397066190234,0.18359733458865568,-0.16970101977445884,-0.08450782573487858
broad_index,50_70,NEUTRAL,64,2015-10-27 00:00:00,2026-04-13 00:00:00,0.819375,0.5584375,0.8324999999999999,0.606125166232232,0.6416814980371481,0.6092199900793651,0.6099677928683211,0.3488987168278775,0.5709820248432523,0.23945403131965987,0.796875,0.421875,1.0,0.237871309680163,-0.047230685426829844,0.25531711392718415,0.19418652773721723,-0.06418008165802869,0.04368478194294578
broad_index,70_85,BEAR,252,2015-06-30 00:00:00,2026-03-19 00:00:00,0.5869047619047618,0.436031746031746,0.5977777777777779,0.7806014043944224,0.7802759901389075,0.7963592844545226,0.7866859211578942,1.0670244035771197,0.6220467506768155,0.17761840731406422,0.4523809523809524,0.15079365079365079,1.0,0.124092989964256,-0.16998520022615804,0.14071499631416118,0.1508891395444245,-0.2656970646177177,-0.026796149580168516
broad_index,70_85,BULL,497,2015-01-02 00:00:00,2026-03-04 00:00:00,0.6091348088531188,0.5654325955734406,0.6029376257545273,0.6723131371470885,0.6313604292569938,0.7418119830091661,0.7669196267021613,0.9077662356304103,0.2133357590781713,0.4640986989505355,0.11468812877263582,0.05030181086519115,1.0,0.08106555096253065,-0.11118052154188363,0.09004564918069469,0.07206824836595849,-0.20198374644528738,0.008997302596572165
broad_index,70_85,NEUTRAL,78,2015-06-29 00:00:00,2026-04-10 00:00:00,0.6953846153846154,0.5051282051282053,0.7076923076923075,0.7283989153802395,0.7082415250554954,0.7504578754578755,0.7744635014916101,1.0043323046268164,0.521280299504497,0.26706293663798203,0.6153846153846154,0.1794871794871795,1.0,0.5012167448441993,-0.040437054408650974,0.5388837705811322,0.9509607283284813,-0.04648833267689334,-0.449743983484282
broad_index,85_95,BEAR,363,2015-07-08 00:00:00,2026-04-07 00:00:00,0.4634159779614326,0.3774104683195592,0.46688705234159783,0.8455621754252879,0.8313886119665762,0.909309545673182,0.9054033216480359,1.4881104127954985,0.6389621786380728,0.15610948547726605,0.25068870523415976,0.06336088154269973,1.0,-0.026984416161194735,-0.15267394136448642,-0.014207614926436074,-0.11499317010477328,-0.43666115770389413,0.08800875394357854
broad_index,85_95,BULL,228,2015-01-05 00:00:00,2026-02-13 00:00:00,0.6028947368421052,0.509298245614035,0.6017543859649122,0.771094029612447,0.7000837485083412,0.8837284182678918,0.8931153462474227,1.5810874231841392,0.2933155914473377,0.3855690549505003,0.2807017543859649,0.043859649122807015,1.0,0.175255063076438,-0.06303808818907275,0.19304285467342508,0.22616015263330613,-0.1950858227784832,-0.05090508955686812
broad_index,85_95,NEUTRAL,50,2015-02-02 00:00:00,2026-03-09 00:00:00,0.6200000000000001,0.49040000000000006,0.6244000000000001,0.8107584239840508,0.7247281079905017,0.878968253968254,0.8977146972943642,1.5248593682062244,0.4428861877953888,0.31574608285560446,0.44,0.04,1.0,0.4926915558458924,-0.02404704754453657,0.5180612146791457,1.3374146202412676,-0.03168836411789522,-0.8447230643953751
broad_index,95_100,BEAR,336,2015-01-30 00:00:00,2026-04-01 00:00:00,0.4040476190476191,0.3484523809523809,0.39714285714285724,0.8872090381525813,0.8613164505589256,0.973474111866969,0.9782903371804457,1.7940290901842537,0.6612460367833558,0.1379856169689156,0.13392857142857142,0.017857142857142856,1.0,0.3750612552557082,-0.04353368864690643,0.3878395680654261,0.9159153261857129,-0.12174510938736627,-0.5408540709300047
broad_index,95_100,BULL,67,2015-01-06 00:00:00,2021-03-10 00:00:00,0.5229850746268655,0.4319402985074627,0.504776119402985,0.8588226059479501,0.7786135153357673,0.9690239279791519,0.9762968842337246,1.9540935256824497,0.3231134192027301,0.39901615975658944,0.23880597014925373,0.029850746268656716,1.0,0.6231209045562907,-0.019405606113831908,0.6508933924828681,1.2828014201220106,-0.039165259503003425,-0.6596805155657199
broad_index,95_100,NEUTRAL,26,2015-01-28 00:00:00,2023-01-05 00:00:00,0.5876923076923077,0.4284615384615385,0.5800000000000001,0.882123332298719,0.7872222344181607,0.9826007326007326,0.98578242723468,1.9332283228649372,0.43298578311362956,0.3108456808859032,0.46153846153846156,0.038461538461538464,1.0,0.37306607784570933,-0.05050389766408481,0.40572654861502344,-0.37453770865628033,-0.13125317754389287,0.7476037865019897
broad_index,raw_fallback,BEAR,29,2014-04-10 00:00:00,2014-10-23 00:00:00,0.830344827586207,0.5172413793103449,0.8179310344827587,0.7079408185235385,0.6934442157931214,,,,0.5473452922699071,0.25781067966003157,0.896551724137931,0.27586206896551724,0.0,2.5432316716015686,-0.007684715470468562,2.5877021986205913,4.046494086639387,-0.007618691526794064,-1.5032624150378187
broad_index,raw_fallback,BULL,954,2013-01-02 00:00:00,2014-12-31 00:00:00,0.8080503144654089,0.8127044025157232,0.820041928721174,0.2609647688176678,0.26026845713665936,,,,0.11855742041320814,0.39521587613960246,0.033542976939203356,0.019916142557651992,0.0,0.14027574005224008,-0.061366616476585034,0.14386930972144607,0.17910981907772516,-0.08981351238399726,-0.03883407902548508
broad_index,raw_fallback,NEUTRAL,25,2013-02-25 00:00:00,2014-12-16 00:00:00,0.8495999999999999,0.5976,0.8376,0.5807652468383312,0.5842750550366043,,,,0.45339089904554747,0.3218084700298224,0.76,0.48,0.0,-0.005603623802060809,-0.039507885280680055,0.005628137214233053,-0.017775736685600063,-0.05343401846232976,0.012172112883539254
high_vol_growth,00_30,BEAR,58,2018-04-09 00:00:00,2026-04-09 00:00:00,0.9813793103448276,0.7689655172413792,0.9862068965517242,0.3219836932703339,0.36406967846497257,0.13163656267104543,0.12002827951103814,-1.2353765624779782,0.6101611780318286,0.20924796300426055,0.9827586206896551,0.9310344827586207,1.0,1.3819856139607065,-0.19721454106304737,1.392752465452177,1.5006084348903732,-0.19721454106304737,-0.1186228209296667
high_vol_growth,00_30,BULL,756,2015-01-22 00:00:00,2026-05-07 00:00:00,0.7867989417989418,0.7649206349206349,0.7933333333333333,0.3454412275407877,0.3698979878065139,0.1429227555219619,0.1340794833702635,-1.257051963491492,0.17708090488552583,0.32157673525314523,0.15343915343915343,0.09391534391534391,1.0,0.2600781623774464,-0.34622347777948215,0.26675932472287345,0.4007187297157322,-0.3590015361608926,-0.14064056733828578
high_vol_growth,00_30,NEUTRAL,52,2018-04-06 00:00:00,2026-03-13 00:00:00,0.9323076923076924,0.7580769230769231,0.9292307692307692,0.335380341198582,0.37103263788022944,0.1163003663003663,0.11449430199430198,-1.3021624877717706,0.5389418612200529,0.2673476373863477,0.8846153846153846,0.6346153846153846,1.0,1.2486479054779904,-0.12801149672583712,1.265550140945019,1.2682101523249636,-0.13124731111652954,-0.019562246846973164
high_vol_growth,30_50,BEAR,53,2017-04-28 00:00:00,2025-05-09 00:00:00,0.9728301886792452,0.6222641509433962,0.9667924528301887,0.5486475894192481,0.5519975038206464,0.4337376460017969,0.4093291404612159,-0.23067608869840098,0.7279191731266877,0.13190710535136235,1.0,0.9433962264150944,1.0,-0.16335099623569205,-0.23793703949084888,-0.1611923516375967,-0.20788631502442512,-0.24634927719678001,0.04453531878873307
high_vol_growth,30_50,BULL,382,2015-01-26 00:00:00,2026-03-10 00:00:00,0.7009947643979056,0.6774345549738219,0.7040837696335078,0.4906689605953572,0.4905371538383763,0.3620979805534779,0.39272383892273127,-0.32619276338502,0.14014339524342853,0.3288472040812729,0.08900523560209424,0.07068062827225131,1.0,0.5837085500468222,-0.22166228928660425,0.5884613427092071,0.9226441690556018,-0.2941259199237679,-0.33893561900877955
high_vol_growth,30_50,NEUTRAL,24,2017-05-01 00:00:00,2026-03-09 00:00:00,0.915,0.6641666666666666,0.9,0.5006397110099594,0.5022528341460272,0.4018683862433862,0.41347001763668434,-0.2569198986301054,0.578847009187542,0.2343262091234235,0.875,0.5833333333333334,1.0,3.419193841349262,-0.07943341938456139,3.440994056243831,3.9449737125613256,-0.08228855453210926,-0.5257798712120634
high_vol_growth,50_70,BEAR,58,2017-04-19 00:00:00,2025-05-08 00:00:00,0.8872413793103449,0.5941379310344829,0.9034482758620688,0.5969701047601371,0.6054334468406284,0.6304392446633824,0.6103128991060026,0.29650277011608017,0.5902369917288016,0.1912165252420993,0.9310344827586207,0.7241379310344828,1.0,-0.092206056158333,-0.17997492474041454,-0.08416292600626551,-0.1410560597224637,-0.1992016650977243,0.04885000356413072
high_vol_growth,50_70,BULL,360,2015-01-21 00:00:00,2026-03-11 00:00:00,0.6693333333333332,0.6496111111111111,0.6705555555555556,0.5326829111431207,0.5195721607661571,0.5713624338624339,0.5924833347344975,0.23867412215786096,0.11679828966962015,0.31276096540538484,0.07777777777777778,0.03888888888888889,1.0,0.5671977266001582,-0.1839877979071186,0.5762420051868544,0.9524797835836631,-0.22660521481389984,-0.38528205698350493
high_vol_growth,50_70,NEUTRAL,31,2015-05-29 00:00:00,2025-02-20 00:00:00,0.8825806451612904,0.5722580645161292,0.8580645161290323,0.592315003780588,0.6100191006482049,0.634920634920635,0.6068358860742938,0.30051905522679606,0.5060789201702486,0.23065329704139412,0.8064516129032258,0.6129032258064516,1.0,-0.7304643791531424,-0.17679755028112798,-0.7272622369200017,-0.7175030383889125,-0.18870244167364092,-0.012961340764229945
high_vol_growth,70_85,BEAR,128,2015-05-27 00:00:00,2025-04-28 00:00:00,0.8200000000000002,0.5240624999999999,0.8228125000000002,0.6876947110053153,0.6872169163761438,0.8018663194444444,0.7864216583212139,0.9024304573408997,0.5758961919985948,0.15530060250211422,0.8984375,0.3359375,1.0,1.0141295267174986,-0.27157310088128883,1.0373406878126308,1.4311137077422296,-0.31508052834624034,-0.416984181024731
