ticker,asset_class,ph_rank_bin_756,count,start_date,end_date,avg_stock_weight,avg_base_signal_stock_weight,avg_signal_stock_weight,avg_ph_raw,avg_ph_ewma,avg_ph_rank_504,avg_ph_rank_756,avg_ph_z_756,avg_up_strength_score,avg_down_strength_score,offensive_activation_rate,tier3_rate,ph_context_available_rate_756,strategy_ann_return,strategy_mdd,strategy_gross_ann_return,bh_ann_return,bh_mdd,bh_gap_ann_return
AAPL,mega_cap,00_30,895,2015-03-02 00:00:00,2026-02-06 00:00:00,0.8429720670391062,0.802122905027933,0.8482905027932961,0.2901199260828548,0.3116951970862377,0.1503968253968254,0.14802417894077805,-1.1396700650651306,0.2516614340924664,0.3118316136537538,0.3229050279329609,0.22346368715083798,1.0,0.308676176573369,-0.1805775792233295,0.31306785040572094,0.3714128788408706,-0.18887426851861133,-0.06273670226750161
AAPL,mega_cap,30_50,514,2015-02-02 00:00:00,2026-05-07 00:00:00,0.8192607003891051,0.7228793774319067,0.8185214007782101,0.42166798713722115,0.43268705503333066,0.39577543079488603,0.403911776995208,-0.38107281969335416,0.303433678342841,0.34187388081365516,0.39105058365758755,0.29766536964980544,1.0,0.10146579389396893,-0.21326198529357332,0.10801538461455129,0.08242042164108088,-0.23081701696053636,0.01904537225288805
AAPL,mega_cap,50_70,581,2015-01-13 00:00:00,2026-04-30 00:00:00,0.7801721170395869,0.6598967297762478,0.7784509466437177,0.519814133278628,0.5134200775162031,0.6075253394530503,0.6006029166910961,0.19178652285341288,0.32928807601781934,0.31959971918979,0.4010327022375215,0.27538726333907054,1.0,0.3320777514662703,-0.25183117573585456,0.3415925764563015,0.367302868823677,-0.3447476166131347,-0.03522511735740674
AAPL,mega_cap,70_85,411,2015-01-02 00:00:00,2026-04-27 00:00:00,0.7222384428223844,0.5700729927007299,0.7212652068126519,0.6474687177116855,0.6292262956953739,0.7940659637739929,0.7739251625407745,0.8206813738710046,0.3689665628529283,0.3005579744829949,0.45255474452554745,0.19708029197080293,1.0,0.09321546708895245,-0.2153223501438949,0.10133433043140982,0.13837338092422358,-0.2905625897026023,-0.045157913835271124
AAPL,mega_cap,85_95,297,2015-01-07 00:00:00,2026-04-08 00:00:00,0.6345454545454545,0.4876767676767677,0.6353535353535352,0.7530627571673506,0.723883360595155,0.9066658649991984,0.8965253129389928,1.492571772082993,0.40713477144764776,0.2595207653661522,0.4208754208754209,0.08754208754208755,1.0,0.12874107868565465,-0.1831644053255045,0.13876648398646196,0.26940963102563953,-0.27008539578911284,-0.14066855233998488
AAPL,mega_cap,95_100,155,2015-08-21 00:00:00,2025-05-27 00:00:00,0.48425806451612907,0.4019354838709677,0.47651612903225804,0.8506206763559773,0.8218440085879385,0.9818612391193036,0.9818734623883899,2.0374541452279424,0.27133814051041943,0.39131084939428146,0.2064516129032258,0.0,1.0,0.01971319371561142,-0.125034390358281,0.02768843782289565,0.04069555058060992,-0.2588688961043901,-0.020982356864998497
AAPL,mega_cap,raw_fallback,504,2013-01-02 00:00:00,2014-12-31 00:00:00,0.8001587301587302,0.6715873015873016,0.8000396825396826,0.4912721819392155,0.4923872077768406,,,,0.31898211823736233,0.28673672855501037,0.4027777777777778,0.23214285714285715,0.0,0.18397154871234522,-0.21857347583006703,0.1904615459027974,0.19835065091608217,-0.2546374890018709,-0.014379102203736949
NVDA,high_vol_growth,00_30,866,2015-01-22 00:00:00,2026-05-07 00:00:00,0.8085681293302541,0.7647806004618937,0.8144110854503464,0.34326605077695277,0.3695757705571187,0.14056829429231277,0.13196239416081193,-1.258308977352682,0.2278146526590604,0.31079731045001735,0.2528868360277136,0.18244803695150116,1.0,0.3615130440424186,-0.3390754745625417,0.368841534687117,0.4989173982937094,-0.35851517277600486,-0.13740435425129083
NVDA,high_vol_growth,30_50,459,2015-01-26 00:00:00,2026-03-10 00:00:00,0.7435729847494552,0.6703703703703704,0.7446623093681917,0.4978850070825395,0.4982464672946812,0.37244959712279974,0.39572599419653204,-0.31154149429458705,0.2309516805647171,0.3011645698510471,0.23529411764705882,0.19825708061002179,1.0,0.5523089638692253,-0.35332588952759714,0.5570487243633129,0.8234022355482957,-0.4186831348352661,-0.2710932716790704
NVDA,high_vol_growth,50_70,449,2015-01-21 00:00:00,2026-03-11 00:00:00,0.7122048997772827,0.6371046770601335,0.7135857461024498,0.5451044080285293,0.5369080398945821,0.5833819422349489,0.5957774189774395,0.2504141099233703,0.20483201854479163,0.2913914436932372,0.2383073496659243,0.16703786191536749,1.0,0.29332622042073675,-0.25083825340704835,0.3018495842940503,0.5365742411560976,-0.2890176962408125,-0.2432480207353609
NVDA,high_vol_growth,70_85,416,2015-01-16 00:00:00,2025-12-04 00:00:00,0.7066826923076922,0.574326923076923,0.7047115384615383,0.629112261041211,0.6218334940494152,0.7654532967032968,0.776648976679668,0.8584911880099922,0.2971673748854399,0.27843573624239604,0.40865384615384615,0.15625,1.0,0.5768696677676879,-0.27157310088128916,0.5916229256969316,0.8536618346274205,-0.31508052834624056,-0.2767921668597326
NVDA,high_vol_growth,85_95,368,2015-01-09 00:00:00,2025-12-03 00:00:00,0.6731521739130434,0.5380978260869564,0.6767391304347825,0.6831179658031982,0.6709911170667394,0.8864896048999309,0.9067876479782818,1.480163044953761,0.3303655551458505,0.24848130414403763,0.4429347826086957,0.13043478260869565,1.0,0.6475924263959885,-0.26004868139419735,0.6602981210795564,1.026996694752265,-0.30960548492267115,-0.3794042683562766
NVDA,high_vol_growth,95_100,295,2015-01-02 00:00:00,2022-06-16 00:00:00,0.5947796610169491,0.4940338983050847,0.5901694915254236,0.7560911783146658,0.7182817025883333,0.9697874630078019,0.9773523521525664,2.2308134968071,0.3583827811689994,0.211509940120231,0.3050847457627119,0.14576271186440679,1.0,0.6490111785000054,-0.17845198491416514,0.6637156752908573,1.0404761766561679,-0.2893780344566754,-0.3914649981561624
NVDA,high_vol_growth,raw_fallback,504,2013-01-02 00:00:00,2014-12-31 00:00:00,0.8519047619047619,0.8492857142857142,0.8567063492063491,0.17039977828528552,0.16876624871562498,,,,0.17841746357631344,0.42858047531364485,0.18253968253968253,0.04365079365079365,0.0,0.23691611246809297,-0.14508379452038678,0.2381439598913222,0.27160918132711065,-0.16175700963480677,-0.034693068859017684
QQQ,broad_index,00_30,805,2015-02-13 00:00:00,2026-05-07 00:00:00,0.842136645962733,0.82183850931677,0.8505093167701863,0.23405415393041895,0.2670622184417906,0.1471803214039239,0.1494787471125737,-1.1828796855987107,0.17721311321594893,0.3076347750471931,0.1565217391304348,0.1267080745341615,1.0,0.16707624947323274,-0.1270516101140221,0.17052654006660495,0.1788796549396261,-0.1394259962392823,-0.011803405466393357
QQQ,broad_index,30_50,599,2015-02-11 00:00:00,2026-04-24 00:00:00,0.7787312186978298,0.7325876460767945,0.7823038397328882,0.39389800257321594,0.4089849305326518,0.41445398415348333,0.39936823069726585,-0.43087382187879003,0.19604702926606843,0.3556958367197294,0.18697829716193656,0.14357262103505844,1.0,0.08643893091412469,-0.1983049149814955,0.09203815802713033,0.07583877436970643,-0.313196270474579,0.01060015654441826
