from_regime,CUSTOM,EXTREME_RISK,HIGH_VOL,NORMAL,RISK_OFF,WATCH
CUSTOM,0.9238031018206339,0.0,0.0,0.04383007417397168,0.008766014834794335,0.023600809170600135
EXTREME_RISK,0.0,0.9339080459770115,0.0,0.0,0.05747126436781609,0.008620689655172414
HIGH_VOL,0.0,0.0,0.78,0.0,0.15,0.07
NORMAL,0.1032258064516129,0.0,0.0,0.832258064516129,0.0,0.06451612903225806
RISK_OFF,0.06521739130434782,0.08333333333333333,0.007246376811594203,0.0,0.8079710144927537,0.036231884057971016
WATCH,0.06049149338374291,0.0,0.03780718336483932,0.07183364839319471,0.00945179584120983,0.8204158790170132
