base_lt25,tier1,tier2,tier3,full,score,annual_turnover,avg_stock_weight,trade_ratio,net_final_capital,net_total_return,net_cagr,net_mdd,net_sharpe,net_sortino,net_calmar
0.76,0.78,0.84,0.92,0.98,-0.06660806444703843,6.476782841823056,0.6838486744116772,0.09115281501340483,613277091.9415071,5.132770919415071,0.1458480966889062,-0.3042445784571519,1.159606191674923,1.545772363587884,0.4793778000203432
0.76,0.78,0.82,0.92,0.98,-0.06950000386109823,6.506809651474532,0.6841286863270777,0.09085492999702115,611911270.5937285,5.119112705937286,0.14565633532346922,-0.3043760712302016,1.1589735979113487,1.5457377559663816,0.47854069058309245
0.78,0.78,0.84,0.92,0.98,-0.06980455447397332,6.5278284182305635,0.6879296991361334,0.09085492999702115,617537425.6230712,5.175374256230712,0.1464437202019151,-0.3043784148343349,1.1599299299017671,1.5468944914714131,0.48112386774082033
0.76,0.78,0.84,0.94,0.98,-0.07009910168296751,6.500804289544235,0.6850282990765564,0.09115281501340483,614788035.382514,5.14788035382514,0.146059773547639,-0.30662986771019674,1.1587733875383448,1.5437210961017238,0.4763390293266656
0.76,0.8,0.86,0.92,0.98,-0.07079889232974496,6.488793565683646,0.6857134346142388,0.09174858504617217,613681600.4830813,5.136816004830814,0.1459048138861685,-0.30627125754978735,1.1549269654179986,1.5365934804830041,0.4763908146439444
0.78,0.8,0.86,0.92,0.98,-0.07268619039211777,6.5278284182305635,0.6888233541852845,0.09174858504617217,617996208.1989257,5.179962081989257,0.1465076342615681,-0.30640470407246356,1.156198837877433,1.5387327150040866,0.47815073435334593
0.78,0.78,0.82,0.92,0.98,-0.07274210989210883,6.557855227882038,0.6872564789991064,0.09085492999702115,615735381.1108187,5.157353811108187,0.1461922474310715,-0.3045098823132717,1.1594723793850759,1.5467422121975534,0.48009032193140055
0.76,0.78,0.82,0.94,0.98,-0.07299168039921439,6.53083109919571,0.6853083109919571,0.09085492999702115,613418872.4133452,5.134188724133452,0.14586798003599188,-0.3067609081736795,1.158140045019508,1.5436796713898373,0.475510327911161
0.78,0.78,0.84,0.94,0.98,-0.07328939213781649,6.551849865951743,0.6891093238010129,0.09085492999702115,619058871.5799501,5.1905887157995005,0.1466555079605898,-0.30676324525017606,1.159109197169633,1.5448708464725356,0.4780739225815242
0.76,0.78,0.84,0.96,0.98,-0.07361172802712024,6.524825737265416,0.6862079237414358,0.09115281501340483,616296199.7294554,5.162961997294554,0.14627058175778607,-0.3090084490630204,1.1578915040386109,1.541547680971506,0.47335463545190987
0.76,0.8,0.84,0.92,0.98,-0.07371486590591658,6.518820375335121,0.6852785224903186,0.09174858504617217,611999454.7608396,5.119994547608396,0.14566872833297295,-0.306400399651817,1.1544430790941873,1.5365088730557166,0.4754195115231767
0.76,0.78,0.88,0.92,0.98,-0.07400505133345697,6.542841823056301,0.6850342567768841,0.09115281501340483,610181583.200364,5.1018158320036395,0.14541291820303504,-0.3044548328432185,1.1555464576118284,1.5417178615007547,0.4776173754414225
0.76,0.78,0.9,0.92,0.98,-0.07420256176130613,6.554852546916889,0.6851593684837652,0.09115281501340483,611139175.0112157,5.111391750112157,0.14554775785020202,-0.30389700956778887,1.156141439371989,1.5427640268445841,0.4789377758511157
0.76,0.8,0.86,0.94,0.98,-0.07427179220288754,6.512815013404826,0.6868930592791181,0.09174858504617217,615193561.3831322,5.151935613831323,0.14611650414019883,-0.30864957428946915,1.1541214505878759,1.5346133541395264,0.4734058178326287
0.76,0.78,0.86,0.92,0.98,-0.07478182145738244,6.566863270777479,0.6842120941316652,0.09472743521000894,610494317.3607103,5.1049431736071025,0.1454569761834763,-0.3038944591237025,1.1573699430337374,1.5446736088208377,0.4786430677377601
0.78,0.8,0.84,0.92,0.98,-0.07557187579634583,6.557855227882038,0.689103366100685,0.0914507000297885,616621711.1628237,5.166217111628237,0.14631601848533626,-0.3065338213325577,1.15557900219241,1.5387126065471217,0.4773242242871413
0.78,0.8,0.86,0.94,0.98,-0.07615513545278846,6.551849865951743,0.6900029788501637,0.09174858504617217,619518803.7150524,5.1951880371505235,0.14671943650108177,-0.3087825633161818,1.1554001515441663,1.5367708647561213,0.475154538926625
0.78,0.78,0.82,0.94,0.98,-0.07622850446231466,6.581876675603218,0.6884361036639857,0.09085492999702115,617252410.842182,5.17252410842182,0.14640399201416487,-0.30689426050655366,1.158648581509444,1.5447085089409964,0.47705027709711256
0.76,0.78,0.82,0.96,0.98,-0.07650510747760297,6.554852546916889,0.6864879356568364,0.09085492999702115,614923701.4140794,5.149237014140795,0.14607875624247457,-0.3091390384955315,1.15725738436176,1.5414979016741015,0.4725341611767551
