Date,tier_opt_stock_weight,tier_opt_bond_weight,tier_opt_cash_weight,tier_opt_signal_stock_weight,tier_opt_turnover,tier_opt_transaction_cost,tier_opt_return_gross,tier_opt_return_net,tier_opt_hold_reason,tier1_signal,tier2_signal,tier3_signal,full_stock_signal,prob_high_vol,prob_up_strengthening_score,prob_down_strengthening_score,stock_next_return,bond_next_return,cash_next_return,base_lt25_weight,tier1_weight,tier2_weight,tier3_weight,full_weight,tier_opt_equity_net,tier_opt_equity_gross,tier_opt_fold
2016-01-04,0.52,0.312,0.16799999999999998,0.52,0.0,0.0,-0.003185024505804374,-0.003185024505804374,initial,False,False,False,False,0.6799160069770053,0.2898148854246563,0.28298526650643285,-0.00960564363402483,0.006037060160787311,-0.00043840825164942476,0.76,0.8,0.86,0.92,0.98,99681497.54941957,99681497.54941957,0
2016-01-05,0.52,0.312,0.16799999999999998,0.8,0.0,0.0,-0.01557339682861934,-0.01557339682861934,hold,True,False,False,False,0.7221308109571364,0.3878878001544996,0.24120862177041616,-0.03131365072004977,0.0021564601344208345,0.00021955942778117965,0.76,0.8,0.86,0.92,0.98,98129118.03161141,98129118.03161141,0
2016-01-06,0.52,0.312,0.16799999999999998,0.8,0.0,0.0,-0.0034762871964170846,-0.0034762871964170846,hold,True,False,False,False,0.7538127599216868,0.4838341296224995,0.2037244212340827,-0.008200613428753112,0.0025257429055594027,0.0,0.76,0.8,0.86,0.92,0.98,97787993.03500241,97787993.03500241,0
2016-01-07,0.8,0.12999999999999998,0.06999999999999998,0.8,0.56,0.0005600000000000001,0.002048861681109772,0.0014888616811097716,scheduled,True,False,False,False,0.7871821521265335,0.5642908793103837,0.16769354313399787,0.0030767112078975423,-0.003173132963140479,0.0,0.76,0.8,0.86,0.92,0.98,97933585.83070485,97988347.10680446,0
2016-01-08,0.8,0.12999999999999998,0.06999999999999998,0.8,0.0,0.0,0.009877771887785927,0.009877771887785927,hold,True,False,False,False,0.8142184591697922,0.6281085764566825,0.13847976697739334,0.011597748844546896,0.0044941792322297225,0.0002189930279792307,0.76,0.8,0.86,0.92,0.98,98900951.45169345,98956253.64718665,0
2016-01-11,0.8,0.12999999999999998,0.06999999999999998,0.42,0.0,0.0,-0.027097827559432762,-0.027097827559432762,hold,False,False,False,False,0.8350739513641052,0.67185195340617,0.11749259857793956,-0.03448936797079316,0.003915330560300578,-0.0002189450805329951,0.76,0.8,0.86,0.92,0.98,96220950.52379161,96274754.1499277,0
2016-01-12,0.8,0.12999999999999998,0.06999999999999998,0.42,0.0,0.0,0.016755822562108783,0.016755822562108783,hold,False,False,False,False,0.8494414780143986,0.7122865061256863,0.1011344781295903,0.021295982627788757,-0.0020430596452366556,-0.00021951123202079703,0.76,0.8,0.86,0.92,0.98,97833211.69752571,97887916.84767453,0
2016-01-13,0.8,0.12999999999999998,0.06999999999999998,0.30000000000000004,0.0,0.0,-0.024225211849292272,-0.024225211849292272,hold,False,False,False,False,0.8648364703062245,0.727867108618585,0.09209639556535452,-0.031037334469561917,0.004651197895055859,0.0,0.76,0.8,0.86,0.92,0.98,95463181.41825649,95516561.32455371,0
2016-01-14,0.30000000000000004,0.455,0.245,0.30000000000000004,1.0,0.001,0.00011868182542625843,-0.0008813181745737416,scheduled,False,False,False,False,0.8756268277915618,0.7367087887363382,0.08802049073781254,0.002181891336289432,-0.001295994802784528,0.00021955942778117965,0.76,0.8,0.86,0.92,0.98,95379047.98146996,95527897.40441014,0
2016-01-15,0.30000000000000004,0.455,0.245,0.30000000000000004,0.0,0.0,0.0013157052552021688,0.0013157052552021688,hold,False,False,False,False,0.8806516964102016,0.7178317775632954,0.08862549913197387,-0.0030676160407078212,0.0049142638844275055,0.0,0.76,0.8,0.86,0.92,0.98,95504538.69613536,95653583.96104354,0
2016-01-19,0.30000000000000004,0.455,0.245,0.30000000000000004,0.0,0.0,-0.0007819346808305499,-0.0007819346808305499,hold,False,False,False,False,0.8822660460221936,0.7066147101988887,0.08882767717738677,0.0009926694738362496,-0.0024909644282117283,0.0002189930279792307,0.76,0.8,0.86,0.92,0.98,95429860.38515212,95578789.10639866,0
2016-01-20,0.30000000000000004,0.455,0.245,0.30000000000000004,0.0,0.0,0.007568527716263529,0.007568527716263529,hold,False,False,False,False,0.8838473881891497,0.7000407978729357,0.08956096697334383,0.02895383212124658,-0.0022202459306732703,-0.00043840825164942476,0.76,0.8,0.86,0.92,0.98,96152123.92843631,96302179.82083735,0
2016-01-21,0.30000000000000004,0.455,0.245,0.30000000000000004,0.0,0.0,-0.0028799354537158246,-0.0028799354537158246,hold,False,False,False,False,0.8827059101768678,0.6977189272757413,0.08866578013494449,-0.014840643890793093,0.003337287151023549,0.00021955942778117965,0.76,0.8,0.86,0.92,0.98,95875212.01778473,96024835.7589012,0
2016-01-22,0.30000000000000004,0.455,0.245,0.30000000000000004,0.0,0.0,0.002982197699859332,0.002982197699859332,hold,False,False,False,False,0.8772685901603361,0.6879545686530206,0.09162462501929132,0.008999028771392137,0.0007390534511797497,-0.00021951123202079703,0.76,0.8,0.86,0.92,0.98,96161130.8545377,96311200.80323076,0
2016-01-25,0.30000000000000004,0.455,0.245,0.30000000000000004,0.0,0.0,-0.007084491186061817,-0.007084491186061817,hold,False,False,False,False,0.873664723804687,0.6846740931958104,0.09130877037528128,-0.024914617911921177,0.0007386859949629621,0.00021955942778117965,0.76,0.8,0.86,0.92,0.98,95479878.17055699,95628884.95002125,0
2016-01-26,0.30000000000000004,0.455,0.245,0.30000000000000004,0.0,0.0,0.004823000330312147,0.004823000330312147,hold,False,False,False,False,0.8667841724836041,0.6818585671495847,0.09247627236607145,0.014117654359991905,0.001291657191900164,0.0,0.76,0.8,0.86,0.92,0.98,95940377.65451176,96090103.0937226,0
2016-01-27,0.30000000000000004,0.455,0.245,0.30000000000000004,0.0,0.0,0.008750045786996357,0.008750045786996357,hold,False,False,False,False,0.8657823720785386,0.6731782575760725,0.09129677875495211,0.02088264743502255,0.00534417201018611,0.0002189930279792307,0.76,0.8,0.86,0.92,0.98,96779860.35181047,96930895.89546989,0
2016-01-28,0.30000000000000004,0.455,0.245,0.30000000000000004,0.0,0.0,-0.00034882744076110173,-0.00034882744076110173,hold,False,False,False,False,0.8638680412778561,0.6639537161507,0.09198054110242562,0.002689128071479363,-0.002303639210001762,-0.00043840825164942476,0.76,0.8,0.86,0.92,0.98,96746100.88080673,96897083.73912399,0
2016-01-29,0.30000000000000004,0.455,0.245,0.30000000000000004,0.0,0.0,-0.0032705517955348784,-0.0032705517955348784,hold,False,False,False,False,0.8604558903283854,0.6581834582146113,0.09391416448368384,-0.021645770129729236,0.007083910425019546,0.0,0.76,0.8,0.86,0.92,0.98,96429687.74686,96580176.80791889,0
2016-02-01,0.42,0.37700000000000006,0.203,0.42,0.23999999999999988,0.0002399999999999999,-0.0023833928440037963,-0.002623392844003796,scheduled,False,False,False,False,0.854292653374894,0.6694487787609628,0.09274703543229182,-0.00479666939500123,-0.0010964516231906085,0.00021955942778117965,0.76,0.8,0.86,0.92,0.98,96176714.79407537,96349988.30564228,0
2016-02-02,0.42,0.37700000000000006,0.203,0.42,0.0,0.0,0.0008995816800906382,0.0008995816800906382,hold,False,False,False,False,0.8528737324275253,0.6786555120219376,0.09178865316346327,-9.864496875922057e-05,0.002378135231537737,0.0002189930279792307,0.76,0.8,0.86,0.92,0.98,96263233.60475543,96436662.989999,0
2016-02-03,0.42,0.37700000000000006,0.203,0.42,0.0,0.0,-0.014103947978626156,-0.014103947978626156,hold,False,False,False,False,0.8555064959673343,0.6873360988072854,0.09015357987927554,-0.0347266161898262,0.0012764743265274436,0.0,0.76,0.8,0.86,0.92,0.98,94905541.96573962,95076525.31195574,0
2016-02-04,0.42,0.37700000000000006,0.203,0.42,0.0,0.0,-0.0036484040421970298,-0.0036484040421970298,hold,False,False,False,False,0.8565285208335711,0.6941732814578019,0.08779458308972393,-0.015287643699640419,0.007471756400530882,-0.0002189450805329951,0.76,0.8,0.86,0.92,0.98,94559288.20280492,94729647.73268954,0
2016-02-05,0.42,0.37700000000000006,0.203,0.42,0.0,0.0,-0.0011916343441838511,-0.0011916343441838511,hold,False,False,False,False,0.8593603001915808,0.7030841660921398,0.0855733724205384,-0.0031051328324296357,0.00018054604975281663,0.0002189930279792307,0.76,0.8,0.86,0.92,0.98,94446608.10742088,94616764.63103883,0
2016-02-08,0.30000000000000004,0.455,0.245,0.30000000000000004,0.23999999999999988,0.0002399999999999999,0.002456648659601142,0.0022166486596011423,scheduled,False,False,False,False,0.8660916348459867,0.7109610589829902,0.08121382662815232,0.0038415555315474137,0.0029842275711373656,-0.0002189450805329951,0.76,0.8,0.86,0.92,0.98,94655963.05468607,94849204.77904548,0
2016-02-09,0.30000000000000004,0.455,0.245,0.30000000000000004,0.0,0.0,0.0017115729652143852,0.0017115729652143852,hold,False,False,False,False,0.8720926217855921,0.7168976718576451,0.07860903359818422,-0.001447769408149946,0.004598352738031775,0.0002189930279792307,0.76,0.8,0.86,0.92,0.98,94817973.64204681,95011546.11371738,0
2016-02-10,0.30000000000000004,0.455,0.245,0.30000000000000004,0.0,0.0,0.001042899692027763,0.001042899692027763,hold,False,False,False,False,0.8754828149543636,0.7248936112301568,0.07606139524382954,0.015225065201123211,-0.007628523788084873,-0.0002189450805329951,0.76,0.8,0.86,0.92,0.98,94916859.27755679,95110633.62589845,0
2016-02-11,0.30000000000000004,0.455,0.245,0.30000000000000004,0.0,0.0,0.005406281963272355,0.005406281963272355,hold,False,False,False,False,0.880466762517872,0.7484712266670634,0.07300097538845945,0.022546765150662118,-0.0029840606196182007,0.0,0.76,0.8,0.86,0.92,0.98,95430006.5818795,95624828.52898555,0
2016-02-12,0.30000000000000004,0.455,0.245,0.30000000000000004,0.0,0.0,0.005680127460447385,0.005680127460447385,hold,False,False,False,False,0.8830493840090801,0.7692741230188517,0.06903489259107173,0.022647801106115084,-0.0024488194975541555,0.0,0.76,0.8,0.86,0.92,0.98,95972061.18281591,96167989.74341361,0
2016-02-16,0.30000000000000004,0.455,0.245,0.30000000000000004,0.0,0.0,-0.0012610212953301876,-0.0012610212953301876,hold,False,False,False,False,0.8746659437203682,0.7715672459658852,0.07358645794917865,-0.011414825547247709,0.0046368639054708005,0.0002189930279792307,0.76,0.8,0.86,0.92,0.98,95851038.36990765,96046719.86041807,0
2016-02-17,0.30000000000000004,0.455,0.245,0.42,0.0,0.0,0.0008882402092929455,0.0008882402092929455,hold,False,False,False,False,0.8518120519358126,0.7621135878889534,0.08075887644886741,0.002960800697643151,0.0,0.0,0.76,0.8,0.86,0.92,0.98,95936177.11629027,96132032.41896877,0
2016-02-18,0.30000000000000004,0.455,0.245,0.42,0.0,0.0,0.004417793016328794,0.004417793016328794,hold,False,False,False,False,0.8531349869100904,0.7664635368676226,0.08079135444788639,0.016235240304927956,-0.0009951188464826233,0.0,0.76,0.8,0.86,0.92,0.98,96360003.2895679,96556723.84043477,0
