Date,tier_opt_stock_weight,tier_opt_bond_weight,tier_opt_cash_weight,tier_opt_signal_stock_weight,tier_opt_turnover,tier_opt_transaction_cost,tier_opt_return_gross,tier_opt_return_net,tier_opt_hold_reason,tier1_signal,tier2_signal,tier3_signal,full_stock_signal,prob_high_vol,prob_up_strengthening_score,prob_down_strengthening_score,stock_next_return,bond_next_return,cash_next_return,base_lt25_weight,tier1_weight,tier2_weight,tier3_weight,full_weight,tier_opt_equity_net,tier_opt_equity_gross,tier_opt_fold
2016-02-19,0.30000000000000004,0.455,0.245,0.42,0.0,0.0,-0.004084761389334928,-0.004084761389334928,hold,False,False,False,False,0.8497344837731611,0.7717485349116386,0.08014494134434375,-0.01645992521967854,0.001993093892965314,-0.0002189450805329951,0.76,0.8,0.86,0.92,0.98,95966395.66865449,96162312.6630107,0
2016-02-22,0.42,0.37700000000000006,0.203,0.42,0.23999999999999988,0.0002399999999999999,0.00405500605196291,0.0038150060519629107,scheduled,False,False,False,False,0.8481278230359026,0.7799827966478216,0.07731695946418451,0.009548929684007446,0.0,0.0002189930279792307,0.76,0.8,0.86,0.92,0.98,96332508.04891546,96552251.42282996,0
2016-02-23,0.42,0.37700000000000006,0.203,0.42,0.0,0.0,0.00521687257971171,0.00521687257971171,hold,False,False,False,False,0.8555284306116304,0.7860249666240667,0.07419933106447954,0.009848884566209914,0.002983519663797729,-0.0002189450805329951,0.76,0.8,0.86,0.92,0.98,96835062.46869071,97055952.21578714,0
2016-02-24,0.42,0.37700000000000006,0.203,0.42,0.0,0.0,-0.0023624423692717536,-0.0023624423692717536,hold,False,False,False,False,0.8541989382138402,0.7853720893493912,0.0741229603723605,-0.001255129447417902,-0.004868137934631922,0.0,0.76,0.8,0.86,0.92,0.98,96606295.2142836,96826663.12208256,0
2016-02-25,0.42,0.37700000000000006,0.203,0.42,0.0,0.0,-0.0031172951968488505,-0.0031172951968488505,hold,False,False,False,False,0.8479460951708667,0.7901522498454584,0.0723991120548041,-0.008991655200190074,0.0016306217574302284,0.0002189930279792307,0.76,0.8,0.86,0.92,0.98,96305144.87422675,96524825.83020519,0
2016-02-26,0.42,0.37700000000000006,0.203,0.42,0.0,0.0,0.010534296682081097,0.010534296682081097,hold,False,False,False,False,0.8459962753223563,0.7905996817925467,0.07226312699146854,0.03209728078482055,-0.007815812327701677,0.0,0.76,0.8,0.86,0.92,0.98,97319651.84234266,97541646.98268679,0
2016-02-29,0.42,0.37700000000000006,0.203,0.42,0.0,0.0,-0.0005394905801669709,-0.0005394905801669709,hold,False,False,False,False,0.8538283011143792,0.788941682845376,0.07352441229021187,0.00037832170807328147,-0.0017345884514842203,-0.0002189450805329951,0.76,0.8,0.86,0.92,0.98,97267148.8069086,97489024.18296565,0
2016-03-01,0.42,0.37700000000000006,0.203,0.42,0.0,0.0,-0.0003012791748159373,-0.0003012791748159373,hold,False,False,False,False,0.8509169050175986,0.7793388859469024,0.0782768113243827,-0.0018899618911104588,0.0011884595086755212,0.0002189930279792307,0.76,0.8,0.86,0.92,0.98,97237844.24057934,97459652.7702062,0
2016-03-02,0.42,0.37700000000000006,0.203,0.42,0.0,0.0,-0.0011146761961574492,-0.0011146761961574492,hold,False,False,False,False,0.8406528717368128,0.7838017451489772,0.07871656492731718,0.00037873922369890956,-0.0033786383822572708,0.0,0.76,0.8,0.86,0.92,0.98,97129455.53023869,97351016.81517747,0
2016-03-03,0.42,0.37700000000000006,0.203,0.42,0.0,0.0,-0.003343756210839273,-0.003343756210839273,hold,False,False,False,False,0.8358383503622772,0.7918729824111403,0.07681004143764604,-0.006151424498889058,-0.002016334008768883,0.0,0.76,0.8,0.86,0.92,0.98,96804678.31005402,97025498.74807021,0
2016-03-04,0.42,0.37700000000000006,0.203,0.42,0.0,0.0,-0.0013427611967795439,-0.0013427611967795439,hold,False,False,False,False,0.8322598492404044,0.8005703395363346,0.07420327122937848,-0.008284077533278644,0.005785138510731258,-0.0002189450805329951,0.76,0.8,0.86,0.92,0.98,96674692.74435255,96895216.67325312,0
2016-03-07,0.42,0.37700000000000006,0.203,0.42,0.0,0.0,0.0012662237325260404,0.0012662237325260404,hold,False,False,False,False,0.8261854078844354,0.8111610607687034,0.07157340339942823,0.006433222520939363,-0.003926220983947681,0.0002189930279792307,0.76,0.8,0.86,0.92,0.98,96797104.5346401,97017907.69617304,0
2016-03-08,0.8,0.12999999999999998,0.06999999999999998,0.8,0.7600000000000002,0.0007600000000000003,-0.001685889704476853,-0.0024458897044768533,scheduled,True,False,False,False,0.8142985140141223,0.8237242060235352,0.06771825723195103,-0.0015265068966660023,-0.003574493747261931,0.0,0.76,0.8,0.86,0.92,0.98,96560349.49323566,96854346.2044382,0
2016-03-09,0.8,0.12999999999999998,0.06999999999999998,0.8,0.0,0.0,0.013602194659995874,0.013602194659995874,hold,True,False,False,False,0.7886879686159175,0.8348198437854395,0.06435236479261766,0.0174853011330387,-0.0028516930061367463,-0.0002189450805329951,0.76,0.8,0.86,0.92,0.98,97873782.16347988,98171777.87517758,0
2016-03-10,0.8,0.12999999999999998,0.06999999999999998,0.8,0.0,0.0,0.0014480381752651162,0.0014480381752651162,hold,True,False,False,False,0.7882954480977566,0.8475485886385847,0.06104739264595961,0.0016901381510934232,0.0007379050337721349,0.0,0.76,0.8,0.86,0.92,0.98,98015507.13641018,98313934.35727447,0
2016-03-11,0.8,0.12999999999999998,0.06999999999999998,0.8,0.0,0.0,-0.0003237648193995135,-0.0003237648193995135,hold,True,False,False,False,0.7723858269104146,0.8403115568513445,0.06618656850554357,-0.000374815652757432,-0.00018394074764283008,0.0,0.76,0.8,0.86,0.92,0.98,97983773.1634438,98282103.76407284,0
2016-03-14,0.8,0.12999999999999998,0.06999999999999998,0.8,0.0,0.0,0.007826031843885325,0.007826031843885325,hold,True,False,False,False,0.7395100334323036,0.8297668393201134,0.06979354644229614,0.008909368898200265,0.005255440102819753,0.0002189930279792307,0.76,0.8,0.86,0.92,0.98,98750597.29240495,99051262.63781452,0
2016-03-15,0.8,0.12999999999999998,0.06999999999999998,0.86,0.0,0.0,-0.0003186641133431479,-0.0003186641133431479,hold,True,True,False,False,0.6990141588476737,0.8243875795424925,0.0704087029354728,-0.000557925670833459,0.0011000198381609927,-0.0002189450805329951,0.76,0.8,0.86,0.92,0.98,98719129.02087666,99019698.55503052,0
2016-03-16,0.92,0.05199999999999998,0.027999999999999983,0.92,0.24,0.00024,0.0015322827125443545,0.0012922827125443545,tier_force,True,True,True,False,0.6641484929641663,0.8038939589546079,0.07948426962828122,0.0015671583018561641,0.0017403283622439147,0.0,0.76,0.8,0.86,0.92,0.98,98846702.04470778,99171424.72732775,0
2016-03-17,0.92,0.05199999999999998,0.027999999999999983,0.92,0.0,0.0,0.0034577175384281076,0.0034577175384281076,tier_force,True,True,True,False,0.6534332169980243,0.7614654441174082,0.09660515215187805,0.00391191793422796,-0.0028342070354814286,0.0002189930279792307,0.76,0.8,0.86,0.92,0.98,99188486.01998353,99514331.50191833,0
2016-03-18,0.92,0.05199999999999998,0.027999999999999983,0.92,0.0,0.0,0.0027068827637255965,0.0027068827637255965,tier_force,True,True,True,False,0.6301698065467503,0.7114577356769374,0.11350745863981804,0.0030615317048467983,-0.0021101231679511168,0.0,0.76,0.8,0.86,0.92,0.98,99456977.62315106,99783705.13060454,0
2016-03-21,0.92,0.05199999999999998,0.027999999999999983,0.92,0.0,0.0,-0.007340260776941102,-0.007340260776941102,tier_force,True,True,True,False,0.6043678527077903,0.67118895383369,0.1259561142436928,-0.008231642985498056,0.004595792922539088,-0.0002189450805329951,0.76,0.8,0.86,0.92,0.98,98726937.47131075,99051266.7136565,0
2016-03-22,0.92,0.05199999999999998,0.027999999999999983,0.92,0.0,0.0,0.00021115459639245112,0.00021115459639245112,tier_force,True,True,True,False,0.5801928769797734,0.62667166476154,0.13243135843730908,0.00027973292569560826,-0.0010063750005947503,0.0002189930279792307,0.76,0.8,0.86,0.92,0.98,98747784.11794558,99072181.84390159,0
2016-03-23,0.98,0.013000000000000012,0.007000000000000005,0.98,0.11999999999999988,0.00011999999999999988,-0.0013517090604731419,-0.0014717090604731418,tier_force,True,True,True,True,0.5647069309838602,0.6098060259613192,0.13837411015087783,-0.0013987315601968753,0.001465220655368915,0.0,0.76,0.8,0.86,0.92,0.98,98602456.10935757,98938265.07806236,0
2016-03-24,0.98,0.013000000000000012,0.007000000000000005,0.98,0.0,0.0,0.01582524704029798,0.01582524704029798,tier_force,True,True,True,True,0.5213807817316047,0.5530421606714672,0.15560005400982924,0.016058440478670555,0.00676733624621817,0.0,0.76,0.8,0.86,0.92,0.98,100162864.33606829,100503987.56466119,0
2016-03-28,0.92,0.05199999999999998,0.027999999999999983,0.92,0.11999999999999988,0.00011999999999999988,0.004409373745284177,0.004289373745284177,tier_force,True,True,True,False,0.49101626470804155,0.4789513346038533,0.2000676528351737,0.004869819975426681,-0.0013627044636225216,0.0,0.76,0.8,0.86,0.92,0.98,100592500.29660389,100947147.20872517,0
2016-03-29,0.92,0.05199999999999998,0.027999999999999983,0.86,0.0,0.0,-0.0011567750274905785,-0.0011567750274905785,hold,True,True,False,False,0.4708072457098956,0.39194057950888905,0.22327698974865912,-0.0014630012612002474,0.0036381948618009474,0.0,0.76,0.8,0.86,0.92,0.98,100476137.40430795,100830374.06973772,0
2016-03-30,0.68,0.20799999999999996,0.11199999999999997,0.68,0.48,0.00048,0.007163235657687935,0.0066832356576879345,scheduled,False,False,False,False,0.4488976425218578,0.31522752194432785,0.20067057412795472,0.010622936992100929,-0.00029019950452258136,0.0,0.76,0.8,0.86,0.92,0.98,101147643.10855517,101552645.80065206,0
2016-03-31,0.68,0.20799999999999996,0.11199999999999997,0.68,0.0,0.0,-0.0023424352640799505,-0.0023424352640799505,hold,False,False,False,False,0.4163727615988252,0.26027385918590096,0.18488385964301374,-0.003805856853896228,0.0011805163296609855,0.0,0.76,0.8,0.86,0.92,0.98,100910711.30245912,101314765.301968,0
2016-04-01,0.68,0.20799999999999996,0.11199999999999997,0.68,0.0,0.0,-0.005701986466656481,-0.005701986466656481,hold,False,False,False,False,0.39990710949271896,0.21073893696984197,0.17253662451356305,-0.009641677011976157,0.003989856147177617,0.00021842698994967158,0.76,0.8,0.86,0.92,0.98,100335319.79227182,100737069.88134369,0
2016-04-04,0.68,0.20799999999999996,0.11199999999999997,0.68,0.0,0.0,0.010728391473516492,0.010728391473516492,hold,False,False,False,False,0.39096242178507135,0.17692092190236322,0.1673037659416861,0.016440054259421855,-0.0021675260715883216,0.0,0.76,0.8,0.86,0.92,0.98,101411756.38162379,101817816.60292575,0
2016-04-05,0.68,0.20799999999999996,0.11199999999999997,0.68,0.0,0.0,-0.008720768621631165,-0.008720768621631165,hold,False,False,False,False,0.4154574408309719,0.16071607053554673,0.1891186208021163,-0.014367008755568844,0.0051598837146045184,-0.00021837929001866652,0.76,0.78,0.84,0.92,0.98,100527367.91870642,100929886.98277196,1
2016-04-06,0.68,0.20799999999999996,0.11199999999999997,0.68,0.0,0.0,-0.0007927561334012401,-0.0007927561334012401,hold,False,False,False,False,0.4397119726372556,0.13267028463769814,0.17863162557118123,-0.0007333782914470399,-0.0015313592215943084,0.00021842698994967158,0.76,0.78,0.84,0.92,0.98,100447674.2312142,100849874.19582288,1
2016-04-07,0.68,0.20799999999999996,0.11199999999999997,0.68,0.0,0.0,-0.0025572758551838143,-0.0025572758551838143,hold,False,False,False,False,0.46433968734985565,0.12490521114051174,0.19564715878832117,-0.003669657776577795,-0.00018004849340780282,-0.00021837929001866652,0.76,0.78,0.84,0.92,0.98,100190801.81919333,100591973.24754356,1
2016-04-08,0.68,0.20799999999999996,0.11199999999999997,0.68,0.0,0.0,0.004872246864642616,0.004872246864642616,hold,False,False,False,False,0.4704370945114343,0.1229625205610138,0.2242984359395819,0.008379322107819664,-0.003969673887859404,0.0,0.76,0.78,0.84,0.92,0.98,100678956.13922293,101082082.17380714,1
2016-04-11,0.68,0.20799999999999996,0.11199999999999997,0.68,0.0,0.0,0.008868289296008157,0.008868289296008157,hold,False,False,False,False,0.4749591592266,0.12555927374894074,0.26197205324579576,0.012783987028247346,0.0007245879515653808,0.00021842698994967158,0.76,0.78,0.84,0.92,0.98,101571806.24828568,101978507.32116733,1
2016-04-12,0.68,0.20799999999999996,0.11199999999999997,0.68,0.0,0.0,-0.0004278772212964215,-0.0004278772212964215,hold,False,False,False,False,0.47384884307636593,0.12177136199993736,0.28869514060812124,9.051966037554315e-05,-0.0023530316843836108,0.0,0.76,0.78,0.84,0.92,0.98,101528345.9860661,101934873.04082279,1
2016-04-13,0.68,0.20799999999999996,0.11199999999999997,0.68,0.0,0.0,-0.0011183400149079568,-0.0011183400149079568,hold,False,False,False,False,0.46152624320129887,0.11095956290430911,0.2938996940463394,-0.0025244283141426793,0.0029938928807267118,-0.00021837929001866652,0.76,0.78,0.84,0.92,0.98,101414802.77410246,101820875.19338667,1
2016-04-14,0.68,0.20799999999999996,0.11199999999999997,0.68,0.0,0.0,0.003443643168413077,0.003443643168413077,hold,False,False,False,False,0.4497033680315341,0.10230415717264249,0.29593278733408307,0.005332597737955469,-0.0009951303666875244,0.00021842698994967158,0.76,0.78,0.84,0.92,0.98,101764039.16685146,102171509.95464821,1
2016-04-15,0.68,0.20799999999999996,0.11199999999999997,0.68,0.0,0.0,-0.004496095885389553,-0.004496095885389553,hold,False,False,False,False,0.4255588617053274,0.09615501694210797,0.3005538842047323,-0.0061134792499503154,-0.0016294711318429744,0.0,0.76,0.78,0.84,0.92,0.98,101306498.28907277,101712137.04913709,1
2016-04-18,0.68,0.20799999999999996,0.11199999999999997,0.68,0.0,0.0,-0.0005027208778751325,-0.0005027208778751325,hold,False,False,False,False,0.40782411833305987,0.11849437520586512,0.27343224028572316,0.0008141445297280558,-0.005078553644664474,0.0,0.76,0.78,0.84,0.92,0.98,101255569.39731844,101661004.2343092,1
2016-04-19,0.68,0.20799999999999996,0.11199999999999997,0.68,0.0,0.0,-0.0003041584220590375,-0.0003041584220590375,hold,False,False,False,False,0.4061782266177224,0.1385249127871026,0.2608350056396788,9.051849482322183e-05,-0.0016406371060420089,-0.00021837929001866652,0.76,0.78,0.84,0.92,0.98,101224771.66310586,101630083.18367635,1
2016-04-20,0.68,0.20799999999999996,0.11199999999999997,0.68,0.0,0.0,-0.010466479554578528,-0.010466479554578528,hold,False,False,False,False,0.40034591000359404,0.15304599105762168,0.24242301344773665,-0.015092648358077998,-0.001095877374806986,0.00021842698994967158,0.76,0.78,0.84,0.92,0.98,100165304.66007707,100566373.99590427,1
2016-04-21,0.68,0.20799999999999996,0.11199999999999997,0.68,0.0,0.0,-0.0002525596441792483,-0.0002525596441792483,hold,False,False,False,False,0.385399337418982,0.16154659488808015,0.22763305822966468,0.0,-0.001096640210082489,-0.00021837929001866652,0.76,0.78,0.84,0.92,0.98,100140006.94637302,100540974.98827146,1
2016-04-22,0.68,0.20799999999999996,0.11199999999999997,0.68,0.0,0.0,-0.0037204366911539784,-0.0037204366911539784,hold,False,False,False,False,0.4191185566098307,0.21330310312030276,0.2585713362316435,-0.004863492345926312,-0.002104450571146388,0.00021842698994967158,0.76,0.78,0.84,0.92,0.98,99767442.39027731,100166918.65596071,1
2016-04-25,0.68,0.20799999999999996,0.11199999999999997,0.68,0.0,0.0,-0.004310560647628486,-0.004310560647628486,hold,False,False,False,False,0.4259892599516224,0.25051347256661755,0.28712057233726157,-0.00802198010467381,0.0055018549209120415,0.0,0.76,0.78,0.84,0.92,0.98,99337388.77919525,99735143.0782081,1
2016-04-26,0.68,0.20799999999999996,0.11199999999999997,0.68,0.0,0.0,-0.007496366899947183,-0.007496366899947183,hold,False,False,False,False,0.4613021006236308,0.27755557476789783,0.3083835756588054,-0.012083998832947751,0.003465155319506197,0.0,0.76,0.78,0.84,0.92,0.98,98592719.26602371,98987491.85287514,1
2016-04-27,0.78,0.143,0.07699999999999999,0.78,0.19999999999999996,0.00019999999999999996,-0.004145103751610201,-0.004345103751610201,scheduled,True,False,False,False,0.48521331102027243,0.31521770332278565,0.3027849406476733,-0.005269203869964323,-0.00036377417409583224,0.00021941524490487474,0.76,0.78,0.84,0.92,0.98,98164323.67165945,98577178.42903331,1
2016-04-28,0.78,0.143,0.07699999999999999,0.78,0.0,0.0,0.006945742158920168,0.006945742158920168,hold,True,False,False,False,0.5271857883809041,0.3730510719527461,0.2816103494456287,0.009458852566111453,-0.0029039970279071126,-0.00021936711241621332,0.76,0.78,0.84,0.92,0.98,98846147.75308758,99261870.09315524,1
