from_regime,EXTREME_RISK,NORMAL,RISK_OFF,WATCH
EXTREME_RISK,0.9523809523809523,0.0,0.047619047619047616,0.0
NORMAL,0.0,0.9811039283938339,0.0,0.018896071606166086
RISK_OFF,0.030864197530864196,0.0,0.8981481481481481,0.07098765432098765
WATCH,0.0,0.04714640198511166,0.028535980148883373,0.924317617866005
