section,count,pct,rebalance_type,trade_day_ratio,avg_turnover,annual_turnover_est,total_turnover,avg_trade_size_on_trade,max_turnover,cost_sum,allocation_regime
by_rebalance_type,140,0.04170390229371462,emergency,0.2857142857142857,0.09428571428571428,23.759999999999998,13.2,0.32999999999999996,1.0,0.013199999999999998,
by_rebalance_type,2283,0.680071492403932,no_rebalance,0.022339027595269383,0.008655278142794568,2.1811300919842314,19.759999999999998,0.387450980392157,0.7600000000000002,0.01976,
by_rebalance_type,934,0.27822460530235327,scheduled_or_initial,0.26017130620985013,0.0699357601713062,17.623811563169163,65.32,0.2688065843621399,1.3199999999999998,0.06531999999999999,
by_regime,1456,0.43372058385463214,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime,381,0.11349419124218052,,0.05511811023622047,0.013228346456692902,3.3335433070866114,5.039999999999996,0.23999999999999988,0.2399999999999998,0.005039999999999996,EXTREME_RISK
by_regime,77,0.022937146261543043,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGH_VOL
by_regime,608,0.18111408996127495,,0.22697368421052633,0.05480263157894737,13.810263157894736,33.32,0.24144927536231883,0.52,0.03332,NORMAL
by_regime,295,0.08787607983318439,,0.2271186440677966,0.1080677966101695,27.233084745762717,31.880000000000003,0.4758208955223881,1.0,0.031880000000000006,RISK_OFF
by_regime,540,0.16085790884718498,,0.2,0.05192592592592592,13.085333333333331,28.039999999999996,0.25962962962962954,1.3199999999999998,0.028039999999999995,WATCH
by_regime_rebalance_type,11,0.0032767351802204347,emergency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime_rebalance_type,1202,0.3580577896931784,no_rebalance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime_rebalance_type,243,0.07238605898123325,scheduled_or_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CUSTOM
by_regime_rebalance_type,76,0.02263926124515937,emergency,0.14473684210526316,0.03473684210526313,8.753684210526309,2.639999999999998,0.2399999999999998,0.2399999999999998,0.002639999999999998,EXTREME_RISK
by_regime_rebalance_type,250,0.07447125409591898,no_rebalance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EXTREME_RISK
by_regime_rebalance_type,55,0.016383675901102176,scheduled_or_initial,0.18181818181818182,0.043636363636363605,10.996363636363629,2.399999999999998,0.23999999999999982,0.2399999999999998,0.002399999999999998,EXTREME_RISK
by_regime_rebalance_type,73,0.021745606196008342,no_rebalance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGH_VOL
by_regime_rebalance_type,4,0.0011915400655347036,scheduled_or_initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIGH_VOL
by_regime_rebalance_type,275,0.08191837950551087,no_rebalance,0.11272727272727273,0.032145454545454547,8.100654545454546,8.84,0.28516129032258064,0.43999999999999995,0.00884,NORMAL
by_regime_rebalance_type,333,0.09919571045576407,scheduled_or_initial,0.3213213213213213,0.07351351351351351,18.525405405405404,24.48,0.228785046728972,0.52,0.02448,NORMAL
by_regime_rebalance_type,53,0.015787905868334822,emergency,0.5471698113207547,0.19924528301886793,50.20981132075472,10.56,0.3641379310344827,1.0,0.010560000000000002,RISK_OFF
by_regime_rebalance_type,192,0.05719392314566577,no_rebalance,0.07291666666666667,0.046458333333333345,11.707500000000003,8.920000000000002,0.6371428571428572,0.7600000000000002,0.008920000000000003,RISK_OFF
by_regime_rebalance_type,50,0.014894250819183795,scheduled_or_initial,0.48,0.24800000000000005,62.496000000000016,12.400000000000002,0.5166666666666667,1.0,0.012400000000000001,RISK_OFF
by_regime_rebalance_type,291,0.08668453976764968,no_rebalance,0.020618556701030927,0.006872852233676974,1.7319587628865976,1.9999999999999993,0.3333333333333332,0.43999999999999995,0.001999999999999999,WATCH
by_regime_rebalance_type,249,0.0741733690795353,scheduled_or_initial,0.40963855421686746,0.10457831325301205,26.353734939759036,26.04,0.2552941176470587,1.3199999999999998,0.02604,WATCH
