feature,importance
atr_rank_252,0.07933171215751497
ma_gap_60_120,0.05026983462100997
price_ma_120_gap,0.04652926170028153
drawdown_20,0.04636529356702766
vol_rank_20_252,0.04615901331252427
ma200_slope_60,0.046092876517502344
vol_rank_60_252,0.04594582701910625
price_ma_60_gap,0.04057004565241194
downside_vol_20,0.04051231137354265
ma_gap_50_200,0.033897849185128524
return_120d,0.032742779701948166
high_volume_down_ratio_20,0.032480149554599706
atr_pct_60,0.028962822331206263
realized_vol_60,0.02601562882316416
positive_return_ratio_60,0.02595428204003194
ma_gap_20_60,0.02498578927047956
price_ma_20_gap,0.024151365479775828
price_position_120,0.023597454137078165
drawdown_60,0.023250278324482187
price_position_20,0.02064455283879904
downside_vol_60,0.020455487379989694
return_10d,0.0191791555658807
return_60d,0.01819843389954113
atr_pct_10,0.018097811704862087
drawdown_60_over_vol60,0.017871806833818886
realized_vol_20,0.016452808811873262
true_range_pct,0.013819750572505316
return_20d,0.013582454958263027
positive_return_ratio_20,0.012646639995705502
close_to_20d_high,0.012411356054707966
return_5d,0.010612113247790366
close_to_60d_high,0.01030157267041834
down_volume_ratio_20,0.009551369980702886
volume_zscore_20,0.009332385943739972
volume_ratio_20,0.008885732246408306
atr_pct_14,0.007919834796401086
return_60d_over_vol60,0.007829168042635743
atr_pct_20,0.006273316353378175
trend_slope_60,0.00568119359441695
drawdown_120,0.005346497986980805
price_position_60,0.004958254404662721
return_20d_over_hvol,0.004499888247439424
close_to_120d_high,0.003969063924674967
trend_slope_20,0.0036647828889235985
